# 214neu_10000_eV_Tif_510_Norm.dat	c0_Subtracted c0=	0.02873475120997528
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697267451812003e-01	5.996772139503026011e+01	2.023339625508577377e+00
2.043117271404169821e-01	5.347379439307713511e+01	1.086436391544437496e+00
2.244537275356527362e-01	4.582176726295018199e+01	7.904011058589092142e-01
2.445957279308885179e-01	3.845370619727635386e+01	6.183667635977229127e-01
2.647377283261242997e-01	3.165505927039647105e+01	4.879037942983443510e-01
2.848797287213600815e-01	2.550767271949315074e+01	3.857897513166875236e-01
3.050217291165958633e-01	2.040239088965916636e+01	3.090277856192214512e-01
3.251637295118315896e-01	1.564745276404881302e+01	2.654777242432659334e-01
3.453057299070674269e-01	1.153693621589207474e+01	2.213416128551693451e-01
3.654477303023031531e-01	8.189446858897445836e+00	1.811063522078358023e-01
3.855897306975389904e-01	5.650539330973862739e+00	1.470529255926211754e-01
4.057317310927747167e-01	3.763790063395737739e+00	1.149294856725654179e-01
4.258737314880104985e-01	2.451406650080918403e+00	8.658587486378964415e-02
4.460157318832462803e-01	1.525008611216782439e+00	6.514910681265194403e-02
4.661577322784820065e-01	9.227488560822000307e-01	4.884457577300009568e-02
4.862997326737178438e-01	5.786744876053323550e-01	3.749243600049589203e-02
5.064417330689535701e-01	4.136617405560006899e-01	3.095813425860544088e-02
5.265837334641894074e-01	3.659193439629068179e-01	2.854029855073705185e-02
5.467257338594251337e-01	3.879816455986490054e-01	2.872984298722243771e-02
5.668677342546609710e-01	4.378531499054422182e-01	2.986132622996702513e-02
5.870097346498966973e-01	4.895232839729776186e-01	3.094967006691839648e-02
6.071517350451324235e-01	5.292454285767068667e-01	3.149196508644059450e-02
6.272937354403682608e-01	5.432102008011331362e-01	3.126499554317526547e-02
6.474357358356039871e-01	5.341921968605508608e-01	3.050088903909889751e-02
6.675777362308398244e-01	5.026697440292825503e-01	2.913162206719403791e-02
6.877197366260755507e-01	4.586953444626321597e-01	2.812230016172305794e-02
7.078617370213112769e-01	4.028887076523294253e-01	2.663680491225137864e-02
7.280037374165471142e-01	3.428248984959115786e-01	2.466098026901239817e-02
7.481457378117828405e-01	2.845252378132333559e-01	2.252094919789716237e-02
7.682877382070186778e-01	2.318988068249215606e-01	2.032732746729597542e-02
7.884297386022544041e-01	1.865022404339303497e-01	1.824623891170225332e-02
8.085717389974902414e-01	1.500907017137994293e-01	1.649510029290001886e-02
8.287137393927259676e-01	1.230043245699395799e-01	1.508426445911596574e-02
8.488557397879616939e-01	1.051225288059701585e-01	1.407161540500372239e-02
8.689977401831975312e-01	9.415916337036987771e-02	1.313952455444671041e-02
8.891397405784332575e-01	8.797208948397537698e-02	1.238335557573378744e-02
9.092817409736690948e-01	8.669769002461334695e-02	1.206223905344751268e-02
9.294237413689048211e-01	8.497264219784637918e-02	1.177999060651538712e-02
9.495657417641406584e-01	8.442753536963364114e-02	1.162166659959329787e-02
9.697077421593763846e-01	8.439154906535049905e-02	1.146811151008725153e-02
9.898497425546122219e-01	8.322356624865433206e-02	1.125327070801197989e-02
1.009991742949847948e+00	8.085273934864899148e-02	1.098693350461578053e-02
1.030133743345083674e+00	7.748165710234543313e-02	1.068090545209626589e-02
1.050275743740319623e+00	7.307156158947845925e-02	1.032854555838003466e-02
1.070417744135555349e+00	6.851045770907303323e-02	9.972892291313336863e-03
1.090559744530791075e+00	6.343059225344559182e-02	9.596449282332763023e-03
1.110701744926026802e+00	5.897149427199264993e-02	9.254007152140733897e-03
1.130843745321262750e+00	5.492928607725998391e-02	8.940020115299511169e-03
1.150985745716498476e+00	5.142061395907303323e-02	8.659017044840008198e-03
1.171127746111734202e+00	4.810684902930160989e-02	8.389816234020991415e-03
1.191269746506969929e+00	4.558741284871002664e-02	8.168836575420902399e-03
1.211411746902205655e+00	4.374327494168182839e-02	7.987632417394908285e-03
1.231553747297441381e+00	4.220335169100662698e-02	7.824284383133839685e-03
1.251695747692677330e+00	4.064032418990036477e-02	7.668874250942163753e-03
1.271837748087913056e+00	3.929853422903915872e-02	7.525606762312300746e-03
1.291979748483148782e+00	3.851740045809647073e-02	7.415017990481310127e-03
1.312121748878384508e+00	3.739826364779373635e-02	7.291013681477896517e-03
1.332263749273620235e+00	3.657423688435455789e-02	7.183914088829652413e-03
1.352405749668856183e+00	3.542382998728653420e-02	7.060385682416616890e-03
1.372547750064091909e+00	3.475916369223495950e-02	6.966462480078375145e-03
1.392689750459327636e+00	3.414809687399765481e-02	6.878146717846107122e-03
1.412831750854563362e+00	3.271384893321892251e-02	6.749528812707909949e-03
1.432973751249799310e+00	3.201425431632896890e-02	6.667493731976283436e-03
1.453115751645035036e+00	3.120526654982467771e-02	6.705397235102198220e-03
1.473257752040270763e+00	3.056875599884887815e-02	6.713449928503656579e-03
1.493399752435506489e+00	2.961315198206802488e-02	6.650990956687169442e-03
1.513541752830742215e+00	2.901969088578125119e-02	6.611903576109293655e-03
1.533683753225978164e+00	2.862521244549652219e-02	6.586091228886043446e-03
1.553825753621213890e+00	2.795746533536811948e-02	6.540546932641707299e-03
1.573967754016449616e+00	2.701228468084236264e-02	6.476378759106005134e-03
1.594109754411685342e+00	2.680569870734115720e-02	6.454636960853646355e-03
1.614251754806921291e+00	2.662201954388519407e-02	6.433276322880122737e-03
1.634393755202157017e+00	2.601048333907028318e-02	6.269080283278999875e-03
1.654535755597392743e+00	2.560842020773788572e-02	6.127020703285190883e-03
1.674677755992628470e+00	2.501951514148613095e-02	6.038609355101146742e-03
1.694819756387864196e+00	2.458953840994735837e-02	5.975071622348127227e-03
1.714961756783100144e+00	2.459054423832794309e-02	5.942065307401591008e-03
1.735103757178335870e+00	2.414009703659912229e-02	5.885598774271518126e-03
1.755245757573571597e+00	2.350899560713668943e-02	5.822329777069532204e-03
1.775387757968807323e+00	2.348662151360412717e-02	5.793148579784170894e-03
1.795529758364043271e+00	2.357456071638961911e-02	5.770796611336362521e-03
1.815671758759278998e+00	2.296849323773285032e-02	5.710848686600961989e-03
1.835813759154514724e+00	2.270474640989204526e-02	5.671996128484037107e-03
1.855955759549750450e+00	2.228521539235015989e-02	5.623844672852752920e-03
1.876097759944986176e+00	2.247737704181572080e-02	5.610042196388968436e-03
1.896239760340222125e+00	2.229678986930748105e-02	5.577506149777549174e-03
1.916381760735457851e+00	2.214360220694442868e-02	5.545244216474545275e-03
1.936523761130693577e+00	2.192039026284118772e-02	5.502528277090431783e-03
1.956665761525929303e+00	2.153944952750106931e-02	5.444743753809385724e-03
1.976807761921165030e+00	2.128540708088775754e-02	5.381484363239989049e-03
1.996949762316400978e+00	2.113280056381126523e-02	5.318225354470820093e-03
2.017091762711636704e+00	2.082599683070083738e-02	5.249940156797114170e-03
2.037233763106872431e+00	2.077215521001716733e-02	5.201973064660683418e-03
2.057375763502108157e+00	2.064043639564415097e-02	5.151337223150622736e-03
2.077517763897344327e+00	2.033304779195686460e-02	5.094191231800777875e-03
2.097659764292580054e+00	2.043174190783401609e-02	5.055196117310167304e-03
2.117801764687815780e+00	2.032424493098159909e-02	5.007668405335199274e-03
2.137943765083051506e+00	2.017535997891327024e-02	4.960833547098988071e-03
