# Example_ASAXS	Resonant
# q	I-Resonant
# nm-1	cm-1
1.534133308534822715e-01	1.220515334172084659e-01
1.700041095732476026e-01	1.457309493689346036e-01
1.865948882930129338e-01	1.659614569168350040e-01
2.031856670127782927e-01	1.496215273267834378e-01
2.197764457325436238e-01	1.635802028187107460e-01
2.363672244523089550e-01	1.329506053102281204e-01
2.529580031720742861e-01	1.013688819680092779e-01
2.695487818918396172e-01	8.865644540216656433e-02
2.861395606116049484e-01	6.545164811271768357e-02
3.027303393313702795e-01	5.321973062145717720e-02
3.193211180511356106e-01	4.268183932293424104e-02
3.359118967709009418e-01	3.213812267827378250e-02
3.525026754906662729e-01	2.182625886218558103e-02
3.690934542104316041e-01	1.459023709546160112e-02
3.856842329301969352e-01	8.982601448722971754e-03
4.022750116499622663e-01	6.589803950872505714e-03
4.188657903697275975e-01	4.415764132859595695e-03
4.354565690894929286e-01	2.926520556134077754e-03
4.520473478092582598e-01	2.122571837371706009e-03
4.686381265290235909e-01	1.599698097421572854e-03
4.852289052487889220e-01	1.321867560266167018e-03
5.018196839685542532e-01	1.210577168159117280e-03
5.184104626883195843e-01	1.331154048394286166e-03
5.350012414080849155e-01	1.520301383837336859e-03
5.515920201278503576e-01	1.670486929197815586e-03
5.681827988476156888e-01	2.012272886079620546e-03
5.847735775673810199e-01	1.934548530651716272e-03
6.013643562871463510e-01	2.179918879100711370e-03
6.179551350069116822e-01	2.138824556423594807e-03
6.345459137266770133e-01	2.187018125519531175e-03
6.511366924464423445e-01	2.026181431710273595e-03
6.677274711662076756e-01	1.906998182000268615e-03
6.843182498859730067e-01	1.753211144880657563e-03
7.009090286057383379e-01	1.409408346671918834e-03
7.174998073255036690e-01	1.144103445833104856e-03
7.340905860452690002e-01	1.097941788188902664e-03
7.506813647650343313e-01	8.963583648296973624e-04
7.672721434847996624e-01	7.290946130831863327e-04
7.838629222045649936e-01	6.615209456635963350e-04
8.004537009243303247e-01	5.309020998575726029e-04
8.170444796440956559e-01	4.992213145233904015e-04
8.336352583638609870e-01	4.941937138948185619e-04
8.502260370836263181e-01	3.771762232105298749e-04
8.668168158033916493e-01	3.387700099383674683e-04
