# Normalized	7000 eV	214neu
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189675265935975e-01	7.855947113037109375e+01	2.522753889128858340e+00
1.430183855482416166e-01	7.425247955322265625e+01	1.480096167979646271e+00
1.571178035698896636e-01	6.911580657958984375e+01	1.162041743726072829e+00
1.712172215915376827e-01	6.352965164184570312e+01	9.757294339964962537e-01
1.853166396131857019e-01	5.741520690917968750e+01	8.250673451332419805e-01
1.994160576348337210e-01	5.175161743164062500e+01	7.055037455020503057e-01
2.135154756564817680e-01	4.643501663208007812e+01	6.101445646153552671e-01
2.276148936781297871e-01	4.100211715698242188e+01	5.608170579562840041e-01
2.417143116997778063e-01	3.612412643432617188e+01	5.112024854050239986e-01
2.558137297214258532e-01	3.135418510437011719e+01	4.616592260378609147e-01
2.699131477430738446e-01	2.701870155334472656e+01	4.169326998065489565e-01
2.840125657647218915e-01	2.309182357788085938e+01	3.685204554783614861e-01
2.981119837863699384e-01	1.952607727050781250e+01	3.168737561265904668e-01
3.122114018080179854e-01	1.634003448486328125e+01	2.748721402471736019e-01
3.263108198296659768e-01	1.343268013000488281e+01	2.370630737888339001e-01
3.404102378513140237e-01	1.089165782928466797e+01	2.028958667194667997e-01
3.545096558729620151e-01	8.713382720947265625e+00	1.729073450726846539e-01
3.686090738946100620e-01	6.856441974639892578e+00	1.466846428779059464e-01
3.827084919162581089e-01	5.279151439666748047e+00	1.231251031133950846e-01
3.968079099379061003e-01	4.004367351531982422e+00	1.027736363745673370e-01
4.109073279595541472e-01	2.964431762695312500e+00	8.483903077055408859e-02
4.250067459812021942e-01	2.153685569763183594e+00	6.929667995633730093e-02
4.391061640028501856e-01	1.533274650573730469e+00	5.613264728546226573e-02
4.532055820244982325e-01	1.077059984207153320e+00	4.539382738742656770e-02
4.673050000461462794e-01	7.521409392356872559e-01	3.669967106467929979e-02
4.814044180677942708e-01	5.383945703506469727e-01	3.088535672229933762e-02
4.955038360894423177e-01	4.115060269832611084e-01	2.695857340022799961e-02
5.096032541110904202e-01	3.474840819835662842e-01	2.464315084097870590e-02
5.237026721327383560e-01	3.315245211124420166e-01	2.397168779034853162e-02
5.378020901543864030e-01	3.436630070209503174e-01	2.425152052934594071e-02
5.519015081760344499e-01	3.729595541954040527e-01	2.509768431557957147e-02
5.660009261976823858e-01	4.079187810420989990e-01	2.618147405063862496e-02
5.801003442193304327e-01	4.433574974536895752e-01	2.723835473301955759e-02
5.941997622409784796e-01	4.724741280078887939e-01	2.804186920911011863e-02
6.082991802626265265e-01	4.913040101528167725e-01	2.797555908438869796e-02
6.223985982842745734e-01	5.016449093818664551e-01	2.743309007418024900e-02
6.364980163059226204e-01	5.003944039344787598e-01	2.687152032700815610e-02
6.505974343275706673e-01	4.874867796897888184e-01	2.610020102087403857e-02
6.646968523492186032e-01	4.663161039352416992e-01	2.521650029317047334e-02
6.787962703708666501e-01	4.374824762344360352e-01	2.406130646249976177e-02
6.928956883925146970e-01	4.026814401149749756e-01	2.271407263211437308e-02
7.069951064141627439e-01	3.663032352924346924e-01	2.131939935337156741e-02
7.210945244358107908e-01	3.281714916229248047e-01	1.986237120647918117e-02
7.351939424574588378e-01	2.904735505580902100e-01	1.839464572371969642e-02
7.492933604791067737e-01	2.549258172512054443e-01	1.696485613115245386e-02
7.633927785007548206e-01	2.215707153081893921e-01	1.557669825021797128e-02
7.774921965224028675e-01	1.930997520685195923e-01	1.432648832259070942e-02
7.915916145440509144e-01	1.673617362976074219e-01	1.314814266181468100e-02
8.056910325656989613e-01	1.473520845174789429e-01	1.217392939796125249e-02
8.197904505873470082e-01	1.310341656208038330e-01	1.133325159388623091e-02
8.338898686089949441e-01	1.183855086565017700e-01	1.064380850265393176e-02
8.479892866306429910e-01	1.095297187566757202e-01	1.012320851806924708e-02
8.620887046522910380e-01	1.035981178283691406e-01	9.739645812309740205e-03
8.761881226739390849e-01	9.967605024576187134e-02	9.464295102995743184e-03
8.902875406955871318e-01	9.717954695224761963e-02	9.258953369037526554e-03
9.043869587172351787e-01	9.667813032865524292e-02	9.154278644796114139e-03
9.184863767388831146e-01	9.639357030391693115e-02	9.066723146887971027e-03
9.325857947605311615e-01	9.641916304826736450e-02	8.994322971520935656e-03
9.466852127821792084e-01	9.658312797546386719e-02	8.930310612760570046e-03
9.607846308038272554e-01	9.650410711765289307e-02	8.856793157140043990e-03
9.748840488254753023e-01	9.595232456922531128e-02	8.763424680178870385e-03
