# Normalized	8239 eV	AgBeh
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517372972275117804e-01	6.645676269531250000e+02	6.682270615909469136e+00
1.683322765328058579e-01	4.817718200683593750e+02	3.187675599820848582e+00
1.849272558380999354e-01	3.415156250000000000e+02	2.080716140764503397e+00
2.015222351433940129e-01	2.464211425781250000e+02	1.493943888504103201e+00
2.181172144486880904e-01	1.803060913085937500e+02	1.102500900218450264e+00
2.347121937539821679e-01	1.368175048828125000e+02	8.424943841858362203e-01
2.513071730592763009e-01	1.074287109375000000e+02	6.680074562432719576e-01
2.679021523645703784e-01	8.460396575927734375e+01	5.858172850508345242e-01
2.844971316698644559e-01	6.683444976806640625e+01	5.097902661238838951e-01
3.010921109751585334e-01	5.370055770874023438e+01	4.479866049164997754e-01
3.176870902804526109e-01	4.395100021362304688e+01	3.999211729232665102e-01
3.342820695857466884e-01	3.617089843750000000e+01	3.502475146555851793e-01
3.508770488910407659e-01	3.006166458129882812e+01	2.999883218825036280e-01
3.674720281963348434e-01	2.547389221191406250e+01	2.648256694770835251e-01
3.840670075016289209e-01	2.159854316711425781e+01	2.353628722703250409e-01
4.006619868069229984e-01	1.844622230529785156e+01	2.100325460413901280e-01
4.172569661122170759e-01	1.592856788635253906e+01	1.892372950639326645e-01
4.338519454175111534e-01	1.384054374694824219e+01	1.719675970611778959e-01
4.504469247228052309e-01	1.205972290039062500e+01	1.566723554442840394e-01
4.670419040280993084e-01	1.063055706024169922e+01	1.438460727291571428e-01
4.836368833333933859e-01	9.398126602172851562e+00	1.324291788084170085e-01
5.002318626386874634e-01	8.401528358459472656e+00	1.223398385863037480e-01
5.168268419439815409e-01	7.495518207550048828e+00	1.130011896850399572e-01
5.334218212492756184e-01	6.694698333740234375e+00	1.048184068896922810e-01
5.500168005545698069e-01	6.045202732086181641e+00	9.783789924063027166e-02
5.666117798598637734e-01	5.416205406188964844e+00	9.332746578985566532e-02
