# Normalized	8330 eV	Empty Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.534133308534822715e-01	7.579430472105741501e-03	2.127073256961810668e-02
1.701916127139985468e-01	7.296501193195581436e-03	1.132523336578235632e-02
1.869698945745147944e-01	6.959477905184030533e-03	8.507290806048414464e-03
2.037481764350310698e-01	6.686671636998653412e-03	7.047324169802057607e-03
2.205264582955473451e-01	6.412493996322154999e-03	5.961566951054212554e-03
2.373047401560635927e-01	6.383532192558050156e-03	5.223962751595238700e-03
2.540830220165798403e-01	6.288223899900913239e-03	4.645809754745136057e-03
2.708613038770961157e-01	6.152990739792585373e-03	4.589465546331430654e-03
2.876395857376123910e-01	6.173813715577125549e-03	4.539802508396610300e-03
3.044178675981286664e-01	6.236787419766187668e-03	4.505518158676657774e-03
3.211961494586449417e-01	6.129546090960502625e-03	4.435224540981086080e-03
3.379744313191611615e-01	6.021159235388040543e-03	4.261730712930237447e-03
3.547527131796774924e-01	5.941333714872598648e-03	3.985793305438930720e-03
3.715309950401937122e-01	6.002106703817844391e-03	3.852190510587575386e-03
3.883092769007099876e-01	5.975995678454637527e-03	3.720711506754228667e-03
4.050875587612262629e-01	5.962754134088754654e-03	3.598104566182927771e-03
4.218658406217424828e-01	5.999825429171323776e-03	3.507923934591231693e-03
4.386441224822588136e-01	5.860690958797931671e-03	3.387807390473483900e-03
4.554224043427750335e-01	5.837597884237766266e-03	3.307465119764868480e-03
4.722006862032912533e-01	5.848655477166175842e-03	3.243902400301936894e-03
4.889789680638075842e-01	5.854933988302946091e-03	3.183967766166038819e-03
5.057572499243238040e-01	5.801579449325799942e-03	3.101376916496551266e-03
5.225355317848401349e-01	5.840444471687078476e-03	3.047718210811405700e-03
5.393138136453563547e-01	5.846842657774686813e-03	2.997755262479232744e-03
5.560920955058726856e-01	5.799549166113138199e-03	2.936586541631724424e-03
5.728703773663889054e-01	5.803469102829694748e-03	2.967006201052174805e-03
5.896486592269051252e-01	5.800698418170213699e-03	2.993325239159530960e-03
6.064269410874214561e-01	5.719480104744434357e-03	2.973534935496396393e-03
6.232052229479376759e-01	5.724397953599691391e-03	2.966565574782295545e-03
6.399835048084540068e-01	5.722620058804750443e-03	2.942476551287301692e-03
6.567617866689702266e-01	5.764862056821584702e-03	2.924187245827817271e-03
6.735400685294865575e-01	5.673616193234920502e-03	2.883386773369496416e-03
6.903183503900027773e-01	5.779562052339315414e-03	2.894408128653422341e-03
7.070966322505189972e-01	5.728280637413263321e-03	2.865574850028401038e-03
7.238749141110353280e-01	5.663192365318536758e-03	2.777962687217883000e-03
7.406531959715515478e-01	5.675212014466524124e-03	2.689546233052230850e-03
7.574314778320678787e-01	5.662279203534126282e-03	2.630668561058648828e-03
7.742097596925840985e-01	5.642416886985301971e-03	2.583725991326056657e-03
7.909880415531003184e-01	5.618886556476354599e-03	2.549454364182255576e-03
8.077663234136166492e-01	5.639649461954832077e-03	2.520325747599998743e-03
8.245446052741328691e-01	5.655818618834018707e-03	2.489300899602305255e-03
8.413228871346491999e-01	5.580259021371603012e-03	2.440031424611824491e-03
8.581011689951654198e-01	5.560537334531545639e-03	2.405481795140291396e-03
8.748794508556816396e-01	5.540336016565561295e-03	2.372282399515951001e-03
8.916577327161979705e-01	5.548289511352777481e-03	2.346133492181517143e-03
9.084360145767141903e-01	5.558732431381940842e-03	2.322095637932578872e-03
9.252142964372305212e-01	5.542913451790809631e-03	2.292987794248861795e-03
9.419925782977467410e-01	5.486710928380489349e-03	2.257233931481553765e-03
9.587708601582630719e-01	5.464257206767797470e-03	2.229682734315048629e-03
9.755491420187792917e-01	5.525204818695783615e-03	2.219456929012339139e-03
9.923274238792955115e-01	5.464931484311819077e-03	2.185669490026111595e-03
1.009105705739811842e+00	5.448993295431137085e-03	2.161291587752620525e-03
1.025883987600328062e+00	5.452014971524477005e-03	2.140730563053451063e-03
1.042662269460844282e+00	5.411251448094844818e-03	2.113940932283480366e-03
1.059440551321360502e+00	5.413330625742673874e-03	2.095375732020256492e-03
1.076218833181876722e+00	5.381703842431306839e-03	2.070418389591895288e-03
1.092997115042393164e+00	5.369931925088167191e-03	2.050806932868743260e-03
1.109775396902909383e+00	5.355830769985914230e-03	2.030731826314015939e-03
1.126553678763425603e+00	5.350686609745025635e-03	2.012794912104801017e-03
1.143331960623941823e+00	5.316417198628187180e-03	1.989935950541516126e-03
1.160110242484458043e+00	5.333347711712121964e-03	1.977388121484105823e-03
1.176888524344974263e+00	5.341747310012578964e-03	1.964760024542057480e-03
1.193666806205490705e+00	5.336078349500894547e-03	1.951044982133111685e-03
1.210445088066006925e+00	5.246920045465230942e-03	1.959210813024656571e-03
1.227223369926523144e+00	5.293394438922405243e-03	1.981213643412530184e-03
1.244001651787039364e+00	5.285776220262050629e-03	1.977641151315853545e-03
1.260779933647555584e+00	5.239383317530155182e-03	1.967516987311990727e-03
1.277558215508072026e+00	5.228325258940458298e-03	1.964591545032138252e-03
1.294336497368588246e+00	5.212367046624422073e-03	1.959640737680490817e-03
1.311114779229104466e+00	5.166985560208559036e-03	1.948478396389989207e-03
1.327893061089620685e+00	5.176228005439043045e-03	1.947332422635685966e-03
1.344671342950136905e+00	5.174709018319845200e-03	1.943841477062981755e-03
1.361449624810653347e+00	5.169583018869161606e-03	1.903572273247496971e-03
1.378227906671169567e+00	5.200093146413564682e-03	1.872550677613900707e-03
1.395006188531685787e+00	5.173735786229372025e-03	1.850863428614506201e-03
1.411784470392202007e+00	5.133588332682847977e-03	1.831554084890157181e-03
1.428562752252718226e+00	5.157463718205690384e-03	1.825558727713714503e-03
1.445341034113234668e+00	5.129753146320581436e-03	1.811010182828761295e-03
1.462119315973750888e+00	5.132049787789583206e-03	1.802848993107901161e-03
1.478897597834267108e+00	5.108692683279514313e-03	1.789979874989641858e-03
1.495675879694783328e+00	5.098623689264059067e-03	1.779669953027504352e-03
1.512454161555299548e+00	5.124826915562152863e-03	1.776166345376784710e-03
1.529232443415815990e+00	5.091425962746143341e-03	1.762779416430790584e-03
1.546010725276332209e+00	5.026355851441621780e-03	1.743695412606007921e-03
1.562789007136848429e+00	5.043292418122291565e-03	1.738935481044441523e-03
1.579567288997364649e+00	5.015891510993242264e-03	1.727133171903104869e-03
1.596345570857880869e+00	5.020289216190576553e-03	1.720446813624529336e-03
1.613123852718397311e+00	4.976592492312192917e-03	1.703387826806291834e-03
1.629902134578913531e+00	4.981420002877712250e-03	1.692688700140470908e-03
1.646680416439429750e+00	4.990574438124895096e-03	1.678713962014412439e-03
1.663458698299945970e+00	4.967488348484039307e-03	1.657475274276426925e-03
1.680236980160462190e+00	4.949791356921195984e-03	1.638200854188400380e-03
1.697015262020978632e+00	4.959297366440296173e-03	1.625526423425760134e-03
