# Normalized	8973 eV	GC
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.652559211728595046e-01	3.346154022216796875e+01	1.492953006059779097e+00
1.833293851628065851e-01	2.775035476684570312e+01	7.643924853423490484e-01
2.014028491527536380e-01	2.276218414306640625e+01	5.405540993766997371e-01
2.194763131427007186e-01	1.922356796264648438e+01	4.234277449901808765e-01
2.375497771326477991e-01	1.675788497924804688e+01	3.444356567440141070e-01
2.556232411225948797e-01	1.491245365142822266e+01	2.877506161054065870e-01
2.736967051125419603e-01	1.368573760986328125e+01	2.490679855734272974e-01
2.917701691024889854e-01	1.268456459045410156e+01	2.383261571115844191e-01
3.098436330924361215e-01	1.192493438720703125e+01	2.276491564565808756e-01
3.279170970823831466e-01	1.128355407714843750e+01	2.182322513501885330e-01
3.459905610723302827e-01	1.076492404937744141e+01	2.112280132443979108e-01
3.640640250622773078e-01	1.034426879882812500e+01	2.010032635124645028e-01
3.821374890522243883e-01	1.000098037719726562e+01	1.870739382913384485e-01
4.002109530421714689e-01	9.666682243347167969e+00	1.773382797609235340e-01
4.182844170321184940e-01	9.452445030212402344e+00	1.702101597487721829e-01
4.363578810220656301e-01	9.213493347167968750e+00	1.631008093219866173e-01
4.544313450120126552e-01	9.010219573974609375e+00	1.571172889759098190e-01
4.725048090019597913e-01	8.839903831481933594e+00	1.523513643527387995e-01
4.905782729919068164e-01	8.693495750427246094e+00	1.480665311767403736e-01
5.086517369818539525e-01	8.547386169433593750e+00	1.440906200240404667e-01
5.267252009718009775e-01	8.401764869689941406e+00	1.403456551098671012e-01
5.447986649617480026e-01	8.287454605102539062e+00	1.366805156555490064e-01
5.628721289516951387e-01	8.160157203674316406e+00	1.330778057177567919e-01
5.809455929416421638e-01	8.054163932800292969e+00	1.301661188999830576e-01
5.990190569315892999e-01	7.963041305541992188e+00	1.275036594481010754e-01
6.170925209215363250e-01	7.848293781280517578e+00	1.275251778904624433e-01
6.351659849114834611e-01	7.741924285888671875e+00	1.275172055331207643e-01
6.532394489014304861e-01	7.658494949340820312e+00	1.267769609162557598e-01
6.713129128913775112e-01	7.552925109863281250e+00	1.254729131274150145e-01
6.893863768813246473e-01	7.470950126647949219e+00	1.238375059201078099e-01
7.074598408712716724e-01	7.395267009735107422e+00	1.220718193114454508e-01
7.255333048612188085e-01	7.317811489105224609e+00	1.207109801643723168e-01
7.436067688511658336e-01	7.257955551147460938e+00	1.195796791620262062e-01
7.616802328411128586e-01	7.187622070312500000e+00	1.183509522001786884e-01
7.797536968310599947e-01	7.135624408721923828e+00	1.153320444443269865e-01
7.978271608210070198e-01	7.064688205718994141e+00	1.114475861812811164e-01
8.159006248109541559e-01	6.995659351348876953e+00	1.088572783067614652e-01
8.339740888009011810e-01	6.929227828979492188e+00	1.067766823461347853e-01
8.520475527908483171e-01	6.865921497344970703e+00	1.052029776838742520e-01
8.701210167807953422e-01	6.803696155548095703e+00	1.034737878297246338e-01
8.881944807707424783e-01	6.741172790527343750e+00	1.017251993997745629e-01
9.062679447606895033e-01	6.695344924926757812e+00	1.001983333748865945e-01
9.243414087506365284e-01	6.637982845306396484e+00	9.865520831467373963e-02
9.424148727405836645e-01	6.576131343841552734e+00	9.712763295703226440e-02
9.604883367305306896e-01	6.511633396148681641e+00	9.561772863601915307e-02
9.785618007204778257e-01	6.461075305938720703e+00	9.428944956298766777e-02
9.966352647104248508e-01	6.398159027099609375e+00	9.287738103053981564e-02
1.014708728700371987e+00	6.335098266601562500e+00	9.152612046949012981e-02
1.032782192690319123e+00	6.288457870483398438e+00	9.035546010797863847e-02
1.050855656680266037e+00	6.226470947265625000e+00	8.907176633797683762e-02
1.068929120670213173e+00	6.175849914550781250e+00	8.792281341472574230e-02
1.087002584660160309e+00	6.125180721282958984e+00	8.679051627722943196e-02
1.105076048650107445e+00	6.069920063018798828e+00	8.562517383221568412e-02
1.123149512640054359e+00	6.025219917297363281e+00	8.463077802413426776e-02
1.141222976630001495e+00	5.965512752532958984e+00	8.350840040776605355e-02
1.159296440619948632e+00	5.923786640167236328e+00	8.254222394277924146e-02
1.177369904609895546e+00	5.878609180450439453e+00	8.159888050998667652e-02
1.195443368599842682e+00	5.830356121063232422e+00	8.063217578200614077e-02
1.213516832589789818e+00	5.774589061737060547e+00	7.962128803606702276e-02
1.231590296579736732e+00	5.737599849700927734e+00	7.878384367203511429e-02
1.249663760569683868e+00	5.681902885437011719e+00	7.781957657517375726e-02
1.267737224559631004e+00	5.642247200012207031e+00	7.703821793722599731e-02
1.285810688549578140e+00	5.588144779205322266e+00	7.619278304493591614e-02
1.303884152539525054e+00	5.539790153503417969e+00	7.660518472953542490e-02
1.321957616529472190e+00	5.484777927398681641e+00	7.658492469227877464e-02
1.340031080519419326e+00	5.443109989166259766e+00	7.617456020226366642e-02
1.358104544509366240e+00	5.390707015991210938e+00	7.569999940302138408e-02
