# Normalized	8239 eV	Hexane Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517372972275117804e-01	8.855024725198745728e-02	7.283854825004211497e-02
1.683322765328058579e-01	9.507125616073608398e-02	4.102874226519932777e-02
1.849272558380999354e-01	8.604824542999267578e-02	3.004652659365239509e-02
2.015222351433940129e-01	7.844136655330657959e-02	2.425666912130701805e-02
2.181172144486880904e-01	7.197359949350357056e-02	2.008061700482693945e-02
2.347121937539821679e-01	6.895481050014495850e-02	1.727169692050804090e-02
2.513071730592763009e-01	6.697363406419754028e-02	1.526083419737524899e-02
2.679021523645703784e-01	6.438693404197692871e-02	1.494105771827007774e-02
2.844971316698644559e-01	6.256052851676940918e-02	1.454263022723599995e-02
3.010921109751585334e-01	6.130354106426239014e-02	1.421416539314046372e-02
3.176870902804526109e-01	5.983673781156539917e-02	1.394377585541827988e-02
3.342820695857466884e-01	5.937404930591583252e-02	1.346857516699206427e-02
3.508770488910407659e-01	5.827353149652481079e-02	1.256682601599091835e-02
3.674720281963348434e-01	5.783143267035484314e-02	1.204046284691308658e-02
3.840670075016289209e-01	5.739758908748626709e-02	1.161334705518032168e-02
4.006619868069229984e-01	5.674395337700843811e-02	1.118082725816476990e-02
4.172569661122170759e-01	5.633066967129707336e-02	1.082885574520161057e-02
4.338519454175111534e-01	5.598574131727218628e-02	1.055104250858909624e-02
4.504469247228052309e-01	5.542816594243049622e-02	1.027084248004832279e-02
4.670419040280993084e-01	5.500933155417442322e-02	1.002689136755285752e-02
4.836368833333933859e-01	5.478156730532646179e-02	9.817164981296384180e-03
5.002318626386874634e-01	5.447871610522270203e-02	9.581334349493573349e-03
5.168268419439815409e-01	5.414419248700141907e-02	9.356364674288261338e-03
5.334218212492756184e-01	5.382712185382843018e-02	9.171872647119352212e-03
5.500168005545698069e-01	5.368085578083992004e-02	9.010294347341371232e-03
5.666117798598637734e-01	5.322632938623428345e-02	9.060641220161218604e-03
5.832067591651579619e-01	5.336111038923263550e-02	9.154248683624894786e-03
5.998017384704519284e-01	5.288377404212951660e-02	9.116767104891936729e-03
6.163967177757461169e-01	5.266795679926872253e-02	9.072856824917015575e-03
6.329916970810400834e-01	5.271658301353454590e-02	9.005393654027332717e-03
6.495866763863342719e-01	5.255876481533050537e-02	8.903587645089187930e-03
6.661816556916282384e-01	5.230664834380149841e-02	8.828960423820260417e-03
6.827766349969224269e-01	5.233593657612800598e-02	8.783549470902089762e-03
6.993716143022163934e-01	5.204260349273681641e-02	8.710655489450814387e-03
7.159665936075105819e-01	5.190710350871086121e-02	8.483607966725514524e-03
7.325615729128045484e-01	5.215072631835937500e-02	8.226771451385598080e-03
7.491565522180987369e-01	5.202564969658851624e-02	8.047633944176494150e-03
7.657515315233927033e-01	5.173566564917564392e-02	7.896758888297232895e-03
7.823465108286868919e-01	5.184025317430496216e-02	7.817241402072794276e-03
7.989414901339808583e-01	5.180940404534339905e-02	7.712240720743694308e-03
8.155364694392750469e-01	5.141521617770195007e-02	7.577892483122767621e-03
8.321314487445690133e-01	5.143161490559577942e-02	7.480509808047952972e-03
8.487264280498632019e-01	5.129840597510337830e-02	7.378913354754836583e-03
8.653214073551571683e-01	5.098409205675125122e-02	7.268547536360082419e-03
8.819163866604513569e-01	5.097852647304534912e-02	7.183688903603558870e-03
8.985113659657453233e-01	5.087138339877128601e-02	7.096572995656576927e-03
9.151063452710395119e-01	5.105680972337722778e-02	7.031469836502865500e-03
9.317013245763334783e-01	5.076880380511283875e-02	6.938204417676062039e-03
9.482963038816276669e-01	5.079389363527297974e-02	6.870138534970424322e-03
9.648912831869218554e-01	5.079872533679008484e-02	6.801608583698970020e-03
9.814862624922158219e-01	5.046105757355690002e-02	6.713042323439101684e-03
9.980812417975100104e-01	5.045802891254425049e-02	6.648427724566765250e-03
1.014676221102803977e+00	5.047851428389549255e-02	6.585401848199740754e-03
1.031271200408098165e+00	5.026205629110336304e-02	6.513977437265452801e-03
1.047866179713392132e+00	5.028155818581581116e-02	6.457435363039442343e-03
1.064461159018686320e+00	5.041987076401710510e-02	6.408979325254947519e-03
1.081056138323980287e+00	5.015319958329200745e-02	6.338736541713952538e-03
1.097651117629274475e+00	4.996643215417861938e-02	6.273678619347508589e-03
1.114246096934568442e+00	5.001318454742431641e-02	6.224832725128627738e-03
1.130841076239862630e+00	4.991989582777023315e-02	6.168798348706503419e-03
1.147436055545156597e+00	4.984002932906150818e-02	6.115660194404587240e-03
1.164031034850450563e+00	4.984751343727111816e-02	6.072762042256427302e-03
1.180626014155744752e+00	4.975178465247154236e-02	6.028145780960439924e-03
1.197220993461038718e+00	4.971481114625930786e-02	6.101760998250172971e-03
1.213815972766332907e+00	4.962389916181564331e-02	6.136736838382610137e-03
1.230410952071627095e+00	4.966240003705024719e-02	6.132614776724682609e-03
1.247005931376921062e+00	4.964395239949226379e-02	6.127261529225879431e-03
1.263600910682215250e+00	4.950154945254325867e-02	6.115739863428910211e-03
1.280195889987509217e+00	4.960097000002861023e-02	6.116045438401104123e-03
1.296790869292803405e+00	4.936759173870086670e-02	6.093486788462426813e-03
1.313385848598097372e+00	4.941757768392562866e-02	6.087666188832992903e-03
1.329980827903391560e+00	4.937799274921417236e-02	6.075287396681277631e-03
1.346575807208685527e+00	4.932111501693725586e-02	5.950334630398046096e-03
1.363170786513979715e+00	4.934680089354515076e-02	5.838942162460153580e-03
1.379765765819273682e+00	4.942787811160087585e-02	5.791596911487971455e-03
1.396360745124567870e+00	4.935905709862709045e-02	5.750092986598260604e-03
1.412955724429861837e+00	4.929262027144432068e-02	5.714356002894947599e-03
1.429550703735156025e+00	4.936800897121429443e-02	5.689031817705543677e-03
1.446145683040449992e+00	4.913425445556640625e-02	5.648758705651573883e-03
1.462740662345744180e+00	4.924309253692626953e-02	5.628036399030344680e-03
1.479335641651038147e+00	4.916731640696525574e-02	5.597124686994719121e-03
1.495930620956332335e+00	4.900979995727539062e-02	5.562896780392260696e-03
1.512525600261626302e+00	4.900062456727027893e-02	5.538964244725321992e-03
1.529120579566920490e+00	4.885626211762428284e-02	5.506645237396833210e-03
1.545715558872214457e+00	4.898647964000701904e-02	5.490074968320920144e-03
1.562310538177508645e+00	4.879949614405632019e-02	5.457429187574192042e-03
1.578905517482802612e+00	4.876552522182464600e-02	5.432272245034427786e-03
1.595500496788096800e+00	4.876947030425071716e-02	5.402774312933729221e-03
1.612095476093390767e+00	4.880075901746749878e-02	5.368449329148973666e-03
1.628690455398684955e+00	4.859615862369537354e-02	5.308446402890475840e-03
1.645285434703978922e+00	4.868516698479652405e-02	5.259189001191421145e-03
1.661880414009273110e+00	4.856031760573387146e-02	5.201257890714562800e-03
1.678475393314567077e+00	4.848836734890937805e-02	5.152730366903716074e-03
1.695070372619861265e+00	4.845783859491348267e-02	5.107913545215871098e-03
1.711665351925155232e+00	4.838901385664939880e-02	5.063741192976719749e-03
1.728260331230449420e+00	4.841627925634384155e-02	5.021312920564928971e-03
1.744855310535743609e+00	4.835098236799240112e-02	4.976273482599394282e-03
1.761450289841037575e+00	4.826139658689498901e-02	4.932751378728702021e-03
1.778045269146331764e+00	4.835381731390953064e-02	4.902086794810816064e-03
1.794640248451625730e+00	4.824553430080413818e-02	4.867452954934954439e-03
1.811235227756919919e+00	4.818132519721984863e-02	4.838807232247397186e-03
1.827830207062213885e+00	4.822921380400657654e-02	4.816681162851413518e-03
1.844425186367508074e+00	4.801396280527114868e-02	4.782724446857520954e-03
1.861020165672802040e+00	4.813531786203384399e-02	4.763755957342005742e-03
1.877615144978096229e+00	4.799636825919151306e-02	4.732970847577937061e-03
1.894210124283390195e+00	4.798168316483497620e-02	4.709220098063114125e-03
1.910805103588684384e+00	4.806648194789886475e-02	4.691555200779001095e-03
1.927400082893978350e+00	4.798892885446548462e-02	4.665087848574302892e-03
1.943995062199272539e+00	4.790863767266273499e-02	4.638669210851938986e-03
1.960590041504566505e+00	4.788219556212425232e-02	4.615518189167280676e-03
1.977185020809860694e+00	4.771514981985092163e-02	4.586389083245850061e-03
1.993780000115154660e+00	4.773329198360443115e-02	4.566272003391751849e-03
2.010374979420448849e+00	4.786424338817596436e-02	4.552607500611254021e-03
2.026969958725743037e+00	4.769284650683403015e-02	4.523776882216909087e-03
2.043564938031037226e+00	4.777600616216659546e-02	4.508624547203898651e-03
2.060159917336330970e+00	4.761072248220443726e-02	4.480372123368072529e-03
2.076754896641625159e+00	4.767585173249244690e-02	4.464968651860616415e-03
2.093349875946919347e+00	4.773280769586563110e-02	4.447945513056409880e-03
2.109944855252213536e+00	4.756003245711326599e-02	4.421268184002619464e-03
2.126539834557507280e+00	4.747917875647544861e-02	4.398411349510784538e-03
2.143134813862801469e+00	4.746416583657264709e-02	4.379887711851882838e-03
2.159729793168095657e+00	4.734654724597930908e-02	4.356533386235203649e-03
2.176324772473389402e+00	4.743460565805435181e-02	4.342996115632154902e-03
2.192919751778683590e+00	4.735278710722923279e-02	4.321218446348006233e-03
2.209514731083977779e+00	4.742351174354553223e-02	4.306274069203900982e-03
2.226109710389271967e+00	4.721607267856597900e-02	4.280097659543811994e-03
2.242704689694565712e+00	4.721271246671676636e-02	4.262655580474485062e-03
2.259299668999859900e+00	4.722101241350173950e-02	4.246711676579467167e-03
2.275894648305154089e+00	4.724110662937164307e-02	4.230805644881903763e-03
2.292489627610448277e+00	4.713067412376403809e-02	4.209756793179581305e-03
2.309084606915742466e+00	4.718643426895141602e-02	4.196268251796051417e-03
2.325679586221036210e+00	4.712118953466415405e-02	4.177074200934507986e-03
2.342274565526330399e+00	4.707969725131988525e-02	4.159570845513839953e-03
2.358869544831624587e+00	4.707881808280944824e-02	4.144097694701493612e-03
2.375464524136918776e+00	4.711447283625602722e-02	4.125247311312168173e-03
2.392059503442212520e+00	4.708004370331764221e-02	4.105007914527169198e-03
2.408654482747506709e+00	4.696151614189147949e-02	4.084448073353964467e-03
2.425249462052800897e+00	4.711265861988067627e-02	4.076335265390724528e-03
2.441844441358095086e+00	4.703265801072120667e-02	4.058216422307288872e-03
2.458439420663388830e+00	4.701681062579154968e-02	4.073357618129786611e-03
2.475034399968683019e+00	4.695960134267807007e-02	4.106495351556270143e-03
2.491629379273977207e+00	4.688233882188796997e-02	4.116582387825010528e-03
2.508224358579271396e+00	4.700319841504096985e-02	4.131911106556868628e-03
2.524819337884565140e+00	4.696859791874885559e-02	4.137505739197687091e-03
2.541414317189859329e+00	4.687290266156196594e-02	4.138513224231968844e-03
2.558009296495153517e+00	4.692981764674186707e-02	4.143506929768751498e-03
2.574604275800447706e+00	4.697031900286674500e-02	4.147795006909839148e-03
2.591199255105741450e+00	4.697398841381072998e-02	4.148564522235422859e-03
2.607794234411035639e+00	4.694257304072380066e-02	4.122228204187080788e-03
2.624389213716329827e+00	4.695444554090499878e-02	4.065372797244125140e-03
2.640984193021624016e+00	4.686705395579338074e-02	4.030856160487206186e-03
2.657579172326917760e+00	4.690102860331535339e-02	4.004953731219134186e-03
2.674174151632211949e+00	4.679510742425918579e-02	3.977245566456157934e-03
2.690769130937506137e+00	4.690405353903770447e-02	3.961251608856616868e-03
2.707364110242800326e+00	4.693167656660079956e-02	3.942879864188187852e-03
2.723959089548094070e+00	4.674911126494407654e-02	3.916205348334560708e-03
2.740554068853388259e+00	4.696213826537132263e-02	3.908303078861982173e-03
2.757149048158682447e+00	4.683077335357666016e-02	3.885688417283634285e-03
2.773744027463976636e+00	4.686632379889488220e-02	3.871431367531518938e-03
2.790339006769270380e+00	4.685679823160171509e-02	3.856070110820189033e-03
2.806933986074564569e+00	4.693524911999702454e-02	3.844163249702532790e-03
2.823528965379858757e+00	4.691892117261886597e-02	3.828947789391786392e-03
2.840123944685152946e+00	4.687381535768508911e-02	3.811692042203566368e-03
2.856718923990447134e+00	4.681479930877685547e-02	3.795283276419141472e-03
2.873313903295740879e+00	4.672197252511978149e-02	3.777894784433527206e-03
2.889908882601035067e+00	4.691645503044128418e-02	3.772511260654810763e-03
2.906503861906329256e+00	4.696907103061676025e-02	3.761381308476742687e-03
2.923098841211623444e+00	4.690166190266609192e-02	3.745779033890581176e-03
2.939693820516917189e+00	4.690044373273849487e-02	3.732611338455166499e-03
2.956288799822211377e+00	4.689623787999153137e-02	3.719950993440783709e-03
2.972883779127505566e+00	4.691964015364646912e-02	3.708548621847860844e-03
2.989478758432799754e+00	4.699101299047470093e-02	3.699318132050359847e-03
3.006073737738093499e+00	4.694660380482673645e-02	3.685071132107541753e-03
3.022668717043387687e+00	4.699630662798881531e-02	3.675767527198706489e-03
3.039263696348681876e+00	4.705522954463958740e-02	3.665862613941499835e-03
3.055858675653976064e+00	4.697670415043830872e-02	3.651728925714130703e-03
3.072453654959269809e+00	4.701640084385871887e-02	3.641704308873876944e-03
3.089048634264563997e+00	4.706129431724548340e-02	3.675524782669020198e-03
3.105643613569858186e+00	4.712884873151779175e-02	3.696456469934492669e-03
3.122238592875152374e+00	4.710650444030761719e-02	3.707454293145554056e-03
3.138833572180446119e+00	4.698092117905616760e-02	3.710471763806328423e-03
3.155428551485740307e+00	4.690983146429061890e-02	3.713639017546645910e-03
3.172023530791034496e+00	4.685492441058158875e-02	3.715379598699202618e-03
3.188618510096328684e+00	4.704567417502403259e-02	3.725616344033760852e-03
3.205213489401622429e+00	4.693450033664703369e-02	3.722649511371878620e-03
3.221808468706916617e+00	4.703170061111450195e-02	3.727698306004239084e-03
3.238403448012210806e+00	4.700167477130889893e-02	3.688327048933106190e-03
3.254998427317504994e+00	4.699556156992912292e-02	3.653074494858781635e-03
3.271593406622798739e+00	4.696642607450485229e-02	3.626979225576857334e-03
3.288188385928092927e+00	4.700691625475883484e-02	3.608504147674572882e-03
3.304783365233387116e+00	4.704361408948898315e-02	3.592495682147578678e-03
3.321378344538681304e+00	4.710471630096435547e-02	3.578916039854904661e-03
3.337973323843975493e+00	4.712354019284248352e-02	3.564760015760755699e-03
3.354568303149269237e+00	4.715468734502792358e-02	3.552021251213125647e-03
3.371163282454563426e+00	4.701449722051620483e-02	3.533530685401742311e-03
3.387758261759857614e+00	4.701076447963714600e-02	3.520631812801025030e-03
3.404353241065151803e+00	4.713528603315353394e-02	3.512936779922208336e-03
3.420948220370445547e+00	4.706808924674987793e-02	3.498825025341065730e-03
3.437543199675739736e+00	4.731931537389755249e-02	3.496867464261012304e-03
3.454138178981033924e+00	4.733989760279655457e-02	3.486280748790608966e-03
3.470733158286328113e+00	4.726472496986389160e-02	3.472778954661005779e-03
3.487328137591621857e+00	4.725928977131843567e-02	3.461331635403304841e-03
3.503923116896916046e+00	4.729365929961204529e-02	3.452398636587324706e-03
3.520518096202210234e+00	4.729681089520454407e-02	3.442172457955366190e-03
3.537113075507504423e+00	4.728427529335021973e-02	3.431151158278422392e-03
3.553708054812798167e+00	4.741826280951499939e-02	3.426561395341293833e-03
3.570303034118092356e+00	4.743124917149543762e-02	3.417149527117697115e-03
