	Time	VacSampleX	VacSampleY	Energy	Pilatus_Tiff	Pilatus_Trigger	Pilatus_filename	PilatusAcqTime	Keysight1	Keysight2	Keysight3	Keysight4	Keysight1:StandardDeviation	Keysight2:StandardDeviation	Keysight3:StandardDeviation	Keysight4:StandardDeviation	PilatusPos	SampleName	SampleThickness	Empty_Index	Background_Index	Reference_Index	MaskFile	BackGround_SubtractionFactor	x_Center	y_Center	SampleToDet_Distance	AbsCalibrationFactor	BackGrTransm	ReferenceTransm	SampleName_Reduction	Transm	TransmDev
0	34.827	133.0	-1.09999999999585e-05	7000.002692	378	379	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00378.tif	600	2.29931757071548e-06	5.430642595673871e-10	5.54026114808652e-13	2.9335713144758703e-07	2.64288650697307e-09	2.69551369036128e-11	2.46005505071559e-14	3.44247630385555e-10	3012.8740000000003	Empty	1.0	0	0	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	1.0	0.935972710692432	Empty	1.0	0.002322898396343198
1	639.8340000000001	123.0	-3.9999999999584605e-06	7000.002692	379	380	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00379.tif	300	2.15285342192691e-06	5.4320023255814e-10	5.48337249169435e-13	2.9346003654485104e-07	2.7358944761664602e-09	2.4277617626373497e-11	2.3299910641767998e-14	3.70475067078327e-10	3012.8740000000003	GC	0.0054	0	0	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	1.0	0.935972710692432	GC	0.935972710692432	0.0023710625470877915
2	944.835	113.0	4.16333634234434e-17	7000.002692	380	381	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00380.tif	10	1.3375292727272699e-06	5.67580909090909e-10	5.62672272727273e-13	2.93090727272727e-07	2.51455797670104e-10	1.68630551529345e-11	1.21750434996423e-14	6.61272877246502e-11	3012.8740000000003	AgBeh	0.02	0	0	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	1.0	0.935972710692432	AgBeh	0.5822358051283638	0.00024082481542033683
3	963.534	88.15999999999991	1.00000000004177e-06	7000.002692	381	382	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00381.tif	600	1.44882327121464e-06	5.8200302828619e-10	5.45635450915142e-13	2.91848594009983e-07	7.234392630897869e-09	3.0772020053086e-11	2.01442178073013e-14	1.5523205934657e-09	3012.8740000000003	Empty Cap	0.10690380000000001	0	0	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	1.0	0.935972710692432	Empty Cap	0.6333670992319331	0.006531416362882512
4	1567.693	83.09999999999991	4.16333634234434e-17	7000.002692	382	383	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00382.tif	600	9.86093605657238e-07	5.6570990016639e-10	5.56691207986688e-13	2.90003594009983e-07	1.58149734615697e-09	2.4581832057911197e-11	2.25467718497572e-14	4.82797585154158e-10	3012.8740000000003	Hexane Cap	0.09617711	0	0	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	1.0	0.935972710692432	Hexane Cap	0.43382288152770393	0.001417993060347255
5	2475.185	73.0299999999999	3.0000000000416e-06	7000.002692	384	385	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00384.tif	300	1.06328556810631e-06	5.68110398671096e-10	5.305718604651161e-13	2.90510634551495e-07	2.45771399329665e-09	2.67275245363377e-11	2.8287434244445e-14	6.5744116036003e-10	3012.8740000000003	214neu	0.10437619999999999	0	3	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	0.6333670992319331	0.935972710692432	214neu	0.4669663397171284	0.002136131582936522
6	4410.358	53.2699999999999	4.16333634234434e-17	7000.002692	388	389	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00388.tif	600	1.0474978069883498e-06	5.45345124792014e-10	5.636258336106489e-13	2.91830998336107e-07	2.28431435067162e-09	2.78960302556846e-11	3.72378232527844e-14	6.99125478721299e-10	3012.8740000000003	207	0.09635023	0	3	1	mask.edf	1	456.736	556.5790000000001	0.80169	1.3671607132622592e-09	0.6333670992319331	0.935972710692432	207	0.4579514028903755	0.0020957624493975514
7	36.196	133.0	-1.9999999999582e-06	8003.995109	396	397	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00396.tif	600	1.69596772212978e-06	5.68020366056572e-10	5.60830344425956e-13	1.51771174043261e-07	2.01575005585008e-09	2.7149836633009696e-11	2.3901302479561797e-14	1.81301044835542e-10	3012.875	Empty	1.0	7	7	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	1.0	0.9568321706819854	Empty	1.0	0.0023831228684128413
8	641.2909999999999	123.0	4.16333634234434e-17	8003.995109	397	398	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00397.tif	300	1.6228405083056499e-06	5.76919468438538e-10	5.26650588039867e-13	1.51779033222591e-07	1.8588226212929998e-09	2.2673393108439603e-11	2.30692031370048e-14	1.7756892978761401e-10	3012.875	GC	0.0054	7	7	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	1.0	0.9568321706819854	GC	0.9568321706819854	0.002215382602648657
9	946.289	113.0	2.00000000004147e-06	8003.995109	398	399	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00398.tif	10	1.15681636363636e-06	5.83316363636363e-10	5.34894272727273e-13	1.51570009090909e-07	1.8688513730488501e-10	1.5988981376389998e-11	6.88728106136101e-15	2.93626788473255e-11	3012.875	AgBeh	0.02	7	7	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	1.0	0.9568321706819854	AgBeh	0.6830033877620901	0.00024265389030428985
10	964.988	88.15999999999991	-9.999999999584992e-07	8003.995109	399	400	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00399.tif	600	1.2502117936771999e-06	5.90927254575707e-10	5.44188777038269e-13	1.51816058236273e-07	1.6050827540535199e-09	2.9124008949377496e-11	2.60495970860115e-14	1.91334297246692e-10	3012.875	Empty Cap	0.10690380000000001	7	7	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	1.0	0.9568321706819854	Empty Cap	0.7369492674309248	0.0018749110214400103
11	1569.1129999999998	83.09999999999991	4.16333634234434e-17	8003.995109	400	401	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00400.tif	600	9.730317420965058e-07	5.96709151414309e-10	5.493260648918471e-13	1.51832894675541e-07	1.29140597349367e-09	2.6291738419359702e-11	2.0618967518059198e-14	1.91299194121925e-10	3012.875	Hexane Cap	0.09617711	7	7	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	1.0	0.9568321706819854	Hexane Cap	0.5734992408224067	0.0014837174736919056
12	2476.64	73.0299999999999	4.16333634234434e-17	8003.995109	402	403	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00402.tif	300	1.0136617574750798e-06	5.67190863787375e-10	5.629521794019929e-13	1.51901497342193e-07	3.6483432346275e-09	2.81708210728415e-11	2.4789848953440104e-14	5.39892829667383e-10	3012.875	214neu	0.10437619999999999	7	10	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	0.7369492674309248	0.9568321706819854	214neu	0.5971765129116462	0.004271843676300931
13	4411.83	53.2699999999999	1.00000000004177e-06	8003.995109	406	407	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00406.tif	600	1.00528381166667e-06	5.489035833333339e-10	5.40517336666667e-13	1.52004702333333e-07	1.22698338616032e-09	2.83852384923367e-11	3.6374919679078596e-14	1.81534816708417e-10	3012.875	207	0.09635023	7	10	8	mask.edf	1	456.736	556.5790000000001	0.80169	1.034603928219127e-09	0.7369492674309248	0.9568321706819854	207	0.591838723183201	0.0014291753274662524
14	37.239000000000004	133.0	5.00000000004143e-06	8238.985877	414	415	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00414.tif	600	1.55166095507488e-06	5.795604492512481e-10	5.400212146422629e-13	1.29205636439268e-07	1.8427976013781498e-09	3.01087594557549e-11	2.30568761087053e-14	1.54995756242806e-10	3012.8759999999997	Empty	1.0	14	14	15	mask.edf	1	456.736	556.5790000000001	0.80169	9.718761837632041e-10	1.0	0.9602907496065891	Empty	1.0	0.002387234256585638
15	642.357	123.0	-3.9999999999584605e-06	8238.985877	415	416	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00415.tif	300	1.4894951594684401e-06	5.74557441860465e-10	5.037227774086391e-13	1.2915790099667803e-07	1.8396869881816398e-09	2.69523948305299e-11	2.1977436338366502e-14	1.59825568560443e-10	3012.8759999999997	GC	0.0054	14	14	15	mask.edf	1	456.736	556.5790000000001	0.80169	9.718761837632041e-10	1.0	0.9602907496065891	GC	0.9602907496065891	0.002374367804593457
16	947.3589999999999	113.0	4.16333634234434e-17	8238.985877	416	417	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00416.tif	10	1.08956654545455e-06	5.72521818181818e-10	5.18897454545455e-13	1.28991336363636e-07	3.72255923696747e-10	1.19219980021654e-11	1.79845254280653e-14	3.16363484848356e-11	3012.8759999999997	AgBeh	0.02	14	14	15	mask.edf	1	456.736	556.5790000000001	0.80169	9.718761837632041e-10	1.0	0.9602907496065891	AgBeh	0.7033602901198264	0.0004128123834837046
17	966.075	88.15999999999991	4.16333634234434e-17	8238.985877	417	418	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00417.tif	600	1.17269059234609e-06	5.703487021630611e-10	5.24001587354409e-13	1.29105423294509e-07	1.65839333750296e-09	3.8825096213396296e-11	1.9949684998835802e-14	1.79923404230228e-10	3012.8759999999997	Empty Cap	0.10690380000000001	14	14	15	mask.edf	1	456.736	556.5790000000001	0.80169	9.718761837632041e-10	1.0	0.9602907496065891	Empty Cap	0.7563513438346978	0.0021236789511718934
