	Time	VacSampleX	VacSampleY	Energy	Pilatus_Tiff	Pilatus_Trigger	Pilatus_filename	PilatusAcqTime	Keysight1	Keysight2	Keysight3	Keysight4	Keysight1:StandardDeviation	Keysight2:StandardDeviation	Keysight3:StandardDeviation	Keysight4:StandardDeviation	PilatusPos	SampleName	SampleThickness	Empty_Index	Background_Index	Reference_Index	MaskFile	BackGround_SubtractionFactor	x_Center	y_Center	SampleToDet_Distance
0	34.827	133	-1.09999999999585E-5	7000.002692	378	379	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00378.tif	600	2.29931757071548E-6	5.43064259567387E-10	5.54026114808652E-13	2.93357131447587E-7	2.64288650697307E-9	2.69551369036128E-11	2.46005505071559E-14	3.44247630385555E-10	3012.874	Empty	1	0	0	1	mask.edf	1	456.736	556.579	0.80169
1	639.834	123	-3.99999999995846E-6	7000.002692	379	380	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00379.tif	300	2.15285342192691E-6	5.4320023255814E-10	5.48337249169435E-13	2.93460036544851E-7	2.73589447616646E-9	2.42776176263735E-11	2.3299910641768E-14	3.70475067078327E-10	3012.874	GC	0.0054	0	0	1	mask.edf	1	456.736	556.579	0.80169
2	944.835	113	4.16333634234434E-17	7000.002692	380	381	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00380.tif	10	1.33752927272727E-6	5.67580909090909E-10	5.62672272727273E-13	2.93090727272727E-7	2.51455797670104E-10	1.68630551529345E-11	1.21750434996423E-14	6.61272877246502E-11	3012.874	AgBeh	0.02	0	0	1	mask.edf	1	456.736	556.579	0.80169
3	963.534	88.1599999999999	1.00000000004177E-6	7000.002692	381	382	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00381.tif	600	1.44882327121464E-6	5.8200302828619E-10	5.45635450915142E-13	2.91848594009983E-7	7.23439263089787E-9	3.0772020053086E-11	2.01442178073013E-14	1.5523205934657E-9	3012.874	Empty Cap	0.1069038	0	0	1	mask.edf	1	456.736	556.579	0.80169
4	1567.693	83.0999999999999	4.16333634234434E-17	7000.002692	382	383	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00382.tif	600	9.86093605657238E-7	5.6570990016639E-10	5.56691207986688E-13	2.90003594009983E-7	1.58149734615697E-9	2.45818320579112E-11	2.25467718497572E-14	4.82797585154158E-10	3012.874	Hexane Cap	0.09617711	0	0	1	mask.edf	1	456.736	556.579	0.80169
5	2475.185	73.0299999999999	3.0000000000416E-6	7000.002692	384	385	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00384.tif	300	1.06328556810631E-6	5.68110398671096E-10	5.30571860465116E-13	2.90510634551495E-7	2.45771399329665E-9	2.67275245363377E-11	2.8287434244445E-14	6.5744116036003E-10	3012.874	214neu	0.1043762	0	3	1	mask.edf	1	456.736	556.579	0.80169
6	4410.358	53.2699999999999	4.16333634234434E-17	7000.002692	388	389	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00388.tif	600	1.04749780698835E-6	5.45345124792014E-10	5.63625833610649E-13	2.91830998336107E-7	2.28431435067162E-9	2.78960302556846E-11	3.72378232527844E-14	6.99125478721299E-10	3012.874	207	0.09635023	0	3	1	mask.edf	1	456.736	556.579	0.80169
7	36.196	133	-1.9999999999582E-6	8003.995109	396	397	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00396.tif	600	1.69596772212978E-6	5.68020366056572E-10	5.60830344425956E-13	1.51771174043261E-7	2.01575005585008E-9	2.71498366330097E-11	2.39013024795618E-14	1.81301044835542E-10	3012.875	Empty	1	7	7	8	mask.edf	1	456.736	556.579	0.80169
8	641.291	123	4.16333634234434E-17	8003.995109	397	398	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00397.tif	300	1.62284050830565E-6	5.76919468438538E-10	5.26650588039867E-13	1.51779033222591E-7	1.858822621293E-9	2.26733931084396E-11	2.30692031370048E-14	1.77568929787614E-10	3012.875	GC	0.0054	7	7	8	mask.edf	1	456.736	556.579	0.80169
9	946.289	113	2.00000000004147E-6	8003.995109	398	399	/messung/kmc/daten/2020/20_kw29tg14/pilatus_2020kw29tg14_00398.tif	10	1.15681636363636E-6	5.83316363636363E-10	5.34894272727273E-13	1.51570009090909E-7	1.86885137304885E-10	1.598898137639E-11	6.88728106136101E-15	2.93626788473255E-11	3012.875	AgBeh	0.02	7	7	8	mask.edf	1	456.736	556.579	0.80169
