# q in nm-1,I,poisson_error
1.289159550736672655e-01,7.327925292968750000e+03,2.089426732554636956e+01
1.430153771324736700e-01,6.117609863281250000e+03,1.035177536709063872e+01
1.571147991912800745e-01,5.100083984375000000e+03,7.266380348634868369e+00
1.712142212500865068e-01,4.342417480468750000e+03,5.664403764491336091e+00
1.853136433088929114e-01,3.740930664062500000e+03,4.539973108674226765e+00
1.994130653676993159e-01,3.330007568359375000e+03,3.760416845064386671e+00
2.135124874265057482e-01,3.033922363281250000e+03,3.214996685768120699e+00
2.276119094853121527e-01,2.761118164062500000e+03,3.062939959843343107e+00
2.417113315441185573e-01,2.569513427734375000e+03,2.917686557322373808e+00
2.558107536029249340e-01,2.412028320312500000e+03,2.791133519090944759e+00
2.699101756617313663e-01,2.293880859375000000e+03,2.702819929116139885e+00
2.840095977205377986e-01,2.199266113281250000e+03,2.565589938393100677e+00
2.981090197793442309e-01,2.114537109375000000e+03,2.368022566153558106e+00
3.122084418381506077e-01,2.055431640625000000e+03,2.244549369059609667e+00
3.263078638969570400e-01,1.997959350585937500e+03,2.141792407179426316e+00
3.404072859557634168e-01,1.944109130859375000e+03,2.045089924963853001e+00
3.545067080145698490e-01,1.902031372070312500e+03,1.965737799964721422e+00
3.686061300733762813e-01,1.862963500976562500e+03,1.900898417832302290e+00
3.827055521321826581e-01,1.818687622070312500e+03,1.837074919328557598e+00
3.968049741909890904e-01,1.783013671875000000e+03,1.782136125341879929e+00
4.109043962497954672e-01,1.738615722656250000e+03,1.726193707679257061e+00
4.250038183086018995e-01,1.702846069335937500e+03,1.671519094406355821e+00
4.391032403674083318e-01,1.666590087890625000e+03,1.619393158355971529e+00
4.532026624262147085e-01,1.628527343750000000e+03,1.573540588303849130e+00
4.673020844850211408e-01,1.585410034179687500e+03,1.526972725241994233e+00
4.814015065438275731e-01,1.545991210937500000e+03,1.523049005274442314e+00
4.955009286026339499e-01,1.517304199218750000e+03,1.522680722566863043e+00
5.096003506614403822e-01,1.470930908203125000e+03,1.499918800506027106e+00
5.236997727202468145e-01,1.435868774414062500e+03,1.477801021718576191e+00
5.377991947790532468e-01,1.401195678710937500e+03,1.448159899986423138e+00
5.518986168378596791e-01,1.364405395507812500e+03,1.414820136569214792e+00
5.659980388966660003e-01,1.327102783203125000e+03,1.386911413696507056e+00
5.800974609554724326e-01,1.297710937500000000e+03,1.363918380705534839e+00
5.941968830142788649e-01,1.265018676757812500e+03,1.339163309921520995e+00
6.082963050730851862e-01,1.227101806640625000e+03,1.285804740269372193e+00
6.223957271318916185e-01,1.200224487304687500e+03,1.229620541205579398e+00
