# q in nm-1,I,poisson_error
1.289159550736672655e-01,1.133580625000000000e+05,8.217937223868030117e+01
1.430153771324736700e-01,1.036344921875000000e+05,4.260652313037419958e+01
1.571147991912800745e-01,9.291223437500000000e+04,3.101457993208834196e+01
1.712142212500865068e-01,8.191842968750000000e+04,2.460249895935809761e+01
1.853136433088929114e-01,7.015478125000000000e+04,1.966038796203608285e+01
1.994130653676993159e-01,5.994076562500000000e+04,1.595418159683503134e+01
2.135124874265057482e-01,5.082555859375000000e+04,1.315889368272328142e+01
2.276119094853121527e-01,4.192637109375000000e+04,1.193547316679237724e+01
2.417113315441185573e-01,3.404605078125000000e+04,1.062054006783653648e+01
2.558107536029249340e-01,2.720976367187500000e+04,9.374580439881448513e+00
2.699101756617313663e-01,2.143599414062500000e+04,8.262349273056306842e+00
2.840095977205377986e-01,1.665399804687500000e+04,7.060048132908674390e+00
2.981090197793442309e-01,1.274338183593750000e+04,5.813271355955999198e+00
3.122084418381506077e-01,9.608256835937500000e+03,4.852885213883157967e+00
3.263078638969570400e-01,7.093982910156250000e+03,4.035796076191198622e+00
3.404072859557634168e-01,5.158391601562500000e+03,3.331266152916228851e+00
3.545067080145698490e-01,3.713971923828125000e+03,2.746857613190435199e+00
3.686061300733762813e-01,2.655652832031250000e+03,2.269564332962560105e+00
3.827055521321826581e-01,1.899462524414062500e+03,1.877427939405687196e+00
3.968049741909890904e-01,1.407311645507812500e+03,1.583283836050362936e+00
4.109043962497954672e-01,1.085656372070312500e+03,1.364061664818098096e+00
4.250038183086018995e-01,8.951575317382812500e+02,1.211918548555005470e+00
4.391032403674083318e-01,7.919872436523437500e+02,1.116341378946945850e+00
4.532026624262147085e-01,7.410195312500000000e+02,1.061439552480966109e+00
4.673020844850211408e-01,7.155764160156250000e+02,1.025860897684095496e+00
4.814015065438275731e-01,6.999605712890625000e+02,1.024818959655094064e+00
4.955009286026339499e-01,6.919699707031250000e+02,1.028291233505264746e+00
5.096003506614403822e-01,6.703435058593750000e+02,1.012558936396771081e+00
5.236997727202468145e-01,6.461198120117187500e+02,9.913228585143625260e-01
5.377991947790532468e-01,6.155727539062500000e+02,9.598576587119359571e-01
5.518986168378596791e-01,5.768121948242187500e+02,9.199129897323901073e-01
5.659980388966660003e-01,5.350313720703125000e+02,8.806150418798733837e-01
5.800974609554724326e-01,4.949100036621093750e+02,8.422917891066930007e-01
5.941968830142788649e-01,4.511117248535156250e+02,7.997001058270347684e-01
6.082963050730851862e-01,4.104025268554687500e+02,7.436006694538499495e-01
6.223957271318916185e-01,3.748981018066406250e+02,6.872211680991069382e-01
6.364951491906980507e-01,3.443080749511718750e+02,6.448275832547465392e-01
6.505945712495044830e-01,3.176878967285156250e+02,6.093623304170168176e-01
6.646939933083109153e-01,2.958284912109375000e+02,5.814054571537766725e-01
6.787934153671173476e-01,2.760189819335937500e+02,5.541100548383748325e-01
6.928928374259236689e-01,2.607218627929687500e+02,5.310958435280148660e-01
7.069922594847301012e-01,2.498282470703125000e+02,5.130095531746771131e-01
7.210916815435365335e-01,2.400825805664062500e+02,4.966274413237914964e-01
7.351911036023429658e-01,2.315544281005859375e+02,4.818394457126037866e-01
7.492905256611493980e-01,2.237739105224609375e+02,4.680793766082947394e-01
7.633899477199558303e-01,2.176591339111328125e+02,4.564435879733311774e-01
7.774893697787621516e-01,2.132441406250000000e+02,4.467345609086552094e-01
7.915887918375685839e-01,2.065036315917968750e+02,4.349569092002360526e-01
8.056882138963750162e-01,2.020488739013671875e+02,4.258371048090672240e-01
8.197876359551814485e-01,1.988217163085937500e+02,4.181145316184598504e-01
8.338870580139878808e-01,1.934635620117187500e+02,4.083840939314404284e-01
8.479864800727942020e-01,1.901528625488281250e+02,4.009208924504207849e-01
8.620859021316006343e-01,1.863280792236328125e+02,3.929554443058193014e-01
8.761853241904070666e-01,1.823346099853515625e+02,3.852865921853955711e-01
8.902847462492134989e-01,1.801487579345703125e+02,3.795086125899029827e-01
9.043841683080199312e-01,1.765061187744140625e+02,3.722505269675027706e-01
9.184835903668263635e-01,1.741837310791015625e+02,3.666723177483272589e-01
9.325830124256326847e-01,1.719206695556640625e+02,3.611720247354204272e-01
9.466824344844391170e-01,1.698771514892578125e+02,3.559981686611965457e-01
9.607818565432455493e-01,1.678440399169921875e+02,3.509552076398445575e-01
9.748812786020519816e-01,1.657839508056640625e+02,3.460202854304725295e-01
9.889807006608584139e-01,1.636856384277343750e+02,3.413384327449974776e-01
1.003080122719664846e+00,1.626308593750000000e+02,3.380253465055004236e-01
1.017179544778471278e+00,1.602763366699218750e+02,3.398780090862411618e-01
1.031278966837277711e+00,1.584353332519531250e+02,3.402188196176475499e-01
1.045378388896084143e+00,1.577404327392578125e+02,3.391032982366908310e-01
1.059477810954890575e+00,1.559239349365234375e+02,3.369097602565240823e-01
1.073577233013696786e+00,1.542584533691406250e+02,3.349628387978649258e-01
1.087676655072503218e+00,1.530608673095703125e+02,3.333296347294357198e-01
1.101776077131309650e+00,1.526197052001953125e+02,3.324107289464506843e-01
1.115875499190116082e+00,1.508663635253906250e+02,3.300007985501509644e-01
1.129974921248922293e+00,1.502785034179687500e+02,3.288112466600799921e-01
1.144074343307728725e+00,1.496854095458984375e+02,3.214763990247929137e-01
1.158173765366535157e+00,1.488375244140625000e+02,3.143589569229028324e-01
1.172273187425341590e+00,1.475974578857421875e+02,3.101919932469396346e-01
1.186372609484148022e+00,1.463678894042968750e+02,3.068611912339763714e-01
1.200472031542954454e+00,1.454965667724609375e+02,3.042193549994519075e-01
1.214571453601760886e+00,1.449581909179687500e+02,3.020422405840754165e-01
1.228670875660567319e+00,1.441387939453125000e+02,2.997511350645405415e-01
1.242770297719373751e+00,1.427557983398437500e+02,2.968504492154017127e-01
1.256869719778180183e+00,1.420018463134765625e+02,2.946416549385045824e-01
1.270969141836986616e+00,1.412199554443359375e+02,2.924835907894918208e-01
1.285068563895793048e+00,1.403769073486328125e+02,2.903568251270978728e-01
1.299167985954599480e+00,1.396765136718750000e+02,2.883491103560762436e-01
1.313267408013405912e+00,1.393759155273437500e+02,2.867553713209725075e-01
1.327366830072212345e+00,1.376196746826171875e+02,2.837779307122799688e-01
1.341466252131018777e+00,1.371348571777343750e+02,2.820463948492347162e-01
1.355565674189825209e+00,1.366656799316406250e+02,2.799901806986749841e-01
1.369665096248631642e+00,1.358443908691406250e+02,2.772434749987542357e-01
1.383764518307438074e+00,1.358659820556640625e+02,2.747012636346949366e-01
1.397863940366244506e+00,1.350084533691406250e+02,2.709776652173352951e-01
1.411963362425050494e+00,1.343889923095703125e+02,2.676702645834883598e-01
1.426062784483856927e+00,1.340464172363281250e+02,2.649844509938356074e-01
1.440162206542663359e+00,1.335615234375000000e+02,2.622388144271601829e-01
1.454261628601469791e+00,1.330296630859375000e+02,2.595945035212881002e-01
1.468361050660276224e+00,1.328717803955078125e+02,2.571414024610414462e-01
1.482460472719082656e+00,1.322146911621093750e+02,2.543307068233149337e-01
1.496559894777889088e+00,1.318540649414062500e+02,2.519553092361441204e-01
1.510659316836695520e+00,1.317385406494140625e+02,2.499922281108939159e-01
1.524758738895501953e+00,1.307042541503906250e+02,2.474985662064092540e-01
1.538858160954308385e+00,1.306991729736328125e+02,2.461744567204812162e-01
1.552957583013114817e+00,1.307136688232421875e+02,2.449080201031909598e-01
1.567057005071921250e+00,1.300056762695312500e+02,2.430499871759398689e-01
1.581156427130727682e+00,1.292654266357421875e+02,2.410537018491974437e-01
1.595255849189534114e+00,1.289750061035156250e+02,2.395520772726943970e-01
1.609355271248340546e+00,1.281981048583984375e+02,2.376400260322356350e-01
1.623454693307146979e+00,1.285574951171875000e+02,2.368391263440408345e-01
1.637554115365953411e+00,1.286411132812500000e+02,2.357464452390974630e-01
1.651653537424759843e+00,1.275205230712890625e+02,2.335607607543234154e-01
1.665752959483566276e+00,1.271551132202148438e+02,2.321003678716586083e-01
1.679852381542372708e+00,1.266684875488281250e+02,2.305802110052830867e-01
1.693951803601179140e+00,1.261778335571289062e+02,2.290530418727417528e-01
1.708051225659985572e+00,1.263048629760742188e+02,2.281368719011218071e-01
1.722150647718791561e+00,1.259862365722656250e+02,2.267967630674100343e-01
1.736250069777597993e+00,1.259644927978515625e+02,2.257917058649765996e-01
1.750349491836404425e+00,1.256703796386718750e+02,2.244873496173628580e-01
1.764448913895210858e+00,1.249733810424804688e+02,2.229146610023208519e-01
1.778548335954017290e+00,1.253100433349609375e+02,2.222024706188333032e-01
1.792647758012823722e+00,1.249671936035156250e+02,2.209541461653407035e-01
1.806747180071630154e+00,1.244899597167968750e+02,2.195587234638827490e-01
1.820846602130436587e+00,1.240039520263671875e+02,2.182194103399096863e-01
1.834946024189243019e+00,1.239851684570312500e+02,2.172926695656808016e-01
1.849045446248049451e+00,1.238032913208007812e+02,2.162294094060243921e-01
1.863144868306855884e+00,1.236893157958984375e+02,2.152133132940643456e-01
1.877244290365662316e+00,1.233038940429687500e+02,2.139469916575923447e-01
1.891343712424468748e+00,1.229540481567382812e+02,2.128009752748744043e-01
1.905443134483275180e+00,1.230535278320312500e+02,2.120045037149016764e-01
1.919542556542081613e+00,1.224759750366210938e+02,2.106749043240441210e-01
1.933641978600888045e+00,1.222956466674804688e+02,2.096632437302486107e-01
1.947741400659694477e+00,1.223336105346679688e+02,2.088819214460354567e-01
1.961840822718500910e+00,1.222960662841796875e+02,2.080332617781547599e-01
1.975940244777307342e+00,1.222428436279296875e+02,2.071620292879030878e-01
1.990039666836113774e+00,1.219241943359375000e+02,2.060972298154450655e-01
2.004139088894920206e+00,1.216777572631835938e+02,2.051041649089938579e-01
2.018238510953726195e+00,1.219044570922851562e+02,2.042544714046136967e-01
2.032337933012532627e+00,1.216581726074218750e+02,2.030977859946872244e-01
2.046437355071339059e+00,1.212227249145507812e+02,2.019590220506249367e-01
2.060536777130145492e+00,1.213129119873046875e+02,2.012803157732238613e-01
2.074636199188951924e+00,1.210025787353515625e+02,2.002840624293060479e-01
2.088735621247758356e+00,1.209000167846679688e+02,2.010026652238349476e-01
2.102835043306564788e+00,1.210072937011718750e+02,2.029030762089611972e-01
2.116934465365371221e+00,1.208098907470703125e+02,2.034257034128149066e-01
2.131033887424177653e+00,1.207430267333984375e+02,2.038704073093277613e-01
2.145133309482984085e+00,1.205723953247070312e+02,2.040888740285240199e-01
2.159232731541790518e+00,1.204770889282226562e+02,2.042787130557477127e-01
2.173332153600596950e+00,1.204309768676757812e+02,2.043619945033983420e-01
2.187431575659403382e+00,1.205870361328125000e+02,2.046186699983469914e-01
2.201530997718209814e+00,1.201628570556640625e+02,2.042890221675417173e-01
