# q in nm-1,I,poisson_error
1.255411823637068991e-01,2.540808984375000000e+04,8.872934691000364182e+01
1.325900275049027854e-01,2.363522851562500000e+04,4.155460592696271505e+01
1.396388726460986995e-01,2.024223828125000000e+04,2.911816457960473770e+01
1.466877177872945859e-01,1.765516406250000000e+04,2.298193078810202650e+01
1.537365629284905000e-01,1.540933789062500000e+04,1.879975224721441762e+01
1.607854080696863863e-01,1.354776855468750000e+04,1.594749449577535927e+01
1.678342532108823004e-01,1.204114941406250000e+04,1.383036696375929786e+01
1.748830983520781868e-01,1.075685546875000000e+04,1.215905191825646270e+01
1.819319434932741009e-01,9.657750000000000000e+03,1.067278666521110786e+01
1.889807886344699872e-01,8.755561523437500000e+03,9.484051255731742458e+00
1.960296337756659013e-01,7.991065917968750000e+03,8.500239810887968872e+00
2.030784789168617877e-01,7.411098632812500000e+03,7.670292475665139165e+00
2.101273240580576740e-01,6.879839355468750000e+03,6.882867506637511568e+00
2.171761691992535881e-01,6.441288085937500000e+03,6.576694624629999986e+00
2.242250143404495022e-01,6.039037109375000000e+03,6.375388313043107935e+00
2.312738594816453885e-01,5.706629394531250000e+03,6.259054827815369926e+00
2.383227046228412749e-01,5.438499023437500000e+03,6.039604214660325709e+00
2.453715497640371890e-01,5.172312011718750000e+03,5.816961492003640544e+00
2.524203949052330476e-01,4.939255371093750000e+03,5.651890694180063512e+00
2.594692400464290172e-01,4.735916015625000000e+03,5.528508920544561001e+00
2.665180851876248758e-01,4.563087402343750000e+03,5.409401034556843513e+00
2.735669303288207899e-01,4.413668945312500000e+03,5.282937471253740469e+00
2.806157754700167040e-01,4.298776367187500000e+03,5.177951183031230364e+00
2.876646206112125626e-01,4.137313476562500000e+03,4.872370977153312133e+00
2.947134657524084767e-01,4.038154785156250000e+03,4.680273623474631606e+00
3.017623108936043907e-01,3.924160644531250000e+03,4.508272615552926688e+00
3.088111560348002493e-01,3.835636962890625000e+03,4.368954194995709805e+00
3.158600011759962189e-01,3.768009765625000000e+03,4.263165160623932692e+00
3.229088463171920775e-01,3.679797119140625000e+03,4.143137945390233945e+00
3.299576914583879916e-01,3.587416259765625000e+03,4.024769063981548989e+00
3.370065365995839057e-01,3.530472900390625000e+03,3.928737258800951260e+00
3.440553817407797643e-01,3.481143554687500000e+03,3.836935799324008300e+00
3.511042268819756784e-01,3.414807373046875000e+03,3.742856923061947505e+00
3.581530720231715925e-01,3.375103027343750000e+03,3.684623622816106892e+00
3.652019171643674511e-01,3.324442138671875000e+03,3.609892096237079517e+00
3.722507623055633652e-01,3.277075195312500000e+03,3.545349530822397011e+00
3.792996074467592793e-01,3.226538085937500000e+03,3.479266339941593955e+00
3.863484525879551379e-01,3.189521240234375000e+03,3.420812197708201108e+00
3.933972977291511075e-01,3.156510986328125000e+03,3.371612399656776393e+00
4.004461428703469661e-01,3.116516113281250000e+03,3.312939790163328180e+00
4.074949880115428247e-01,3.087449218750000000e+03,3.268646875602951862e+00
4.145438331527387943e-01,3.042259277343750000e+03,3.212889859209455246e+00
4.215926782939346529e-01,3.023229003906250000e+03,3.167156332021652698e+00
4.286415234351306225e-01,2.994170410156250000e+03,3.116325158078172564e+00
4.356903685763264811e-01,2.967750976562500000e+03,3.069050234901001595e+00
4.427392137175223397e-01,2.942937011718750000e+03,3.029724204073521943e+00
4.497880588587183093e-01,2.916870117187500000e+03,2.990944101235326613e+00
4.568369039999141679e-01,2.898596679687500000e+03,2.955692262924760172e+00
4.638857491411100265e-01,2.867324707031250000e+03,2.915586195256913538e+00
4.709345942823059961e-01,2.837219482421875000e+03,2.876640839670357330e+00
4.779834394235018546e-01,2.817326904296875000e+03,2.892357439440810474e+00
4.850322845646977132e-01,2.790800292968750000e+03,2.908042087399825615e+00
4.920811297058936828e-01,2.783835449218750000e+03,2.914270131911386397e+00
4.991299748470895414e-01,2.762904296875000000e+03,2.907185161364074233e+00
5.061788199882855110e-01,2.735515380859375000e+03,2.892755920626297161e+00
5.132276651294813696e-01,2.720820312500000000e+03,2.883647945183912320e+00
