# q in nm-1	I	poisson_error
1.841697148967067765e-01	8.014186859130859375e+00	7.113678822818221281e-01
2.043117153216008064e-01	7.217363834381103516e+00	3.739134063705572553e-01
2.244537157464948640e-01	6.275283813476562500e+00	2.708436495507791086e-01
2.445957161713888939e-01	5.376597404479980469e+00	2.129885789810045671e-01
2.647377165962829237e-01	4.534903049468994141e+00	1.696015524272922737e-01
2.848797170211769814e-01	3.765806913375854492e+00	1.360322664514882207e-01
3.050217174460709835e-01	3.118854761123657227e+00	1.110117212635978734e-01
3.251637178709650411e-01	2.507023334503173828e+00	9.867362529594038423e-02
3.453057182958590987e-01	1.967738866806030273e+00	8.574877506811350025e-02
3.654477187207531008e-01	1.512206315994262695e+00	7.373467828142690750e-02
3.855897191456471029e-01	1.148351192474365234e+00	6.339584358906995287e-02
4.057317195705412161e-01	8.616262078285217285e-01	5.297295224657625617e-02
4.258737199954352182e-01	6.465525031089782715e-01	4.305205479263641416e-02
4.460157204203292203e-01	4.789658486843109131e-01	3.548168380407383526e-02
4.661577208452233334e-01	3.531389534473419189e-01	2.937282156577377887e-02
4.862997212701173355e-01	2.607540190219879150e-01	2.434792193874725508e-02
5.064417216950113376e-01	1.961123645305633545e-01	2.045927399938040486e-02
5.265837221199054508e-01	1.518758088350296021e-01	1.754963807272697657e-02
5.467257225447994529e-01	1.225179880857467651e-01	1.538979807651182780e-02
5.668677229696934550e-01	1.036377847194671631e-01	1.385059347177108359e-02
5.870097233945874571e-01	9.118075668811798096e-02	1.273278374017287190e-02
6.071517238194815702e-01	8.253010362386703491e-02	1.184661790430911049e-02
6.272937242443755723e-01	7.593458890914916992e-02	1.112410789448998669e-02
6.474357246692695744e-01	7.041841745376586914e-02	1.052634194803903078e-02
6.675777250941636876e-01	6.493854522705078125e-02	9.937831889422935744e-03
6.877197255190576897e-01	5.992459878325462341e-02	9.634765679708169953e-03
7.078617259439516918e-01	5.460818484425544739e-02	9.273782699453336775e-03
7.280037263688456939e-01	4.914142191410064697e-02	8.794541969141887738e-03
7.481457267937398070e-01	4.379201307892799377e-02	8.272638409534537052e-03
7.682877272186338091e-01	3.876476362347602844e-02	7.715634780173899303e-03
7.884297276435278112e-01	3.394256904721260071e-02	7.143049239543687243e-03
8.085717280684219244e-01	2.983598597347736359e-02	6.651969302658937606e-03
8.287137284933159265e-01	2.597245387732982635e-02	6.167854007759882538e-03
8.488557289182099286e-01	2.272444032132625580e-02	5.733666618391703405e-03
8.689977293431040417e-01	1.975026540458202362e-02	5.208696149883205312e-03
8.891397297679980438e-01	1.741047576069831848e-02	4.727503424556083952e-03
9.092817301928920459e-01	1.543472427874803543e-02	4.356634523573850795e-03
9.294237306177861591e-01	1.380611490458250046e-02	4.052204096552741719e-03
9.495657310426801612e-01	1.260036975145339966e-02	3.826519243626253300e-03
9.697077314675741633e-01	1.133337710052728653e-02	3.579467353367635739e-03
9.898497318924681654e-01	1.054661814123392105e-02	3.404680609338134843e-03
1.009991732317362390e+00	9.676023386418819427e-03	3.217275991467658317e-03
1.030133732742256392e+00	8.823568001389503479e-03	3.033177677226018502e-03
1.050275733167150394e+00	8.149195462465286255e-03	2.879196349335583997e-03
1.070417733592044396e+00	7.618139963597059250e-03	2.750490318483165154e-03
1.090559734016938398e+00	7.174755912274122238e-03	2.638861137757410671e-03
1.110701734441832400e+00	6.522321142256259918e-03	2.487244936338697116e-03
1.130843734866726624e+00	6.112898234277963638e-03	2.382046967750393787e-03
1.150985735291620626e+00	5.711412988603115082e-03	2.278583192634458122e-03
1.171127735716514628e+00	5.325644277036190033e-03	2.177507357603651952e-03
1.191269736141408631e+00	5.004702135920524597e-03	2.089836182616459145e-03
1.211411736566302633e+00	4.710400477051734924e-03	2.007411143826304343e-03
