# q in nm-1	I	poisson_error
1.474094827239109673e-01	4.043869018554687500e+00	5.158600484126039110e-01
1.635311436027687693e-01	3.919780015945434570e+00	2.862853808102118758e-01
1.796528044816265435e-01	3.813162565231323242e+00	2.222820571300276882e-01
1.957744653604843177e-01	3.701565980911254883e+00	1.882832551561548773e-01
2.118961262393421197e-01	3.527063608169555664e+00	1.612269496397551183e-01
2.280177871181999216e-01	3.386391162872314453e+00	1.408707840234749709e-01
2.441394479970576958e-01	3.247308015823364258e+00	1.252759000785469146e-01
2.602611088759154701e-01	3.084476947784423828e+00	1.214644407527942505e-01
2.763827697547732720e-01	2.945570707321166992e+00	1.170181321270729602e-01
2.925044306336310740e-01	2.793558120727539062e+00	1.122782495276199999e-01
3.086260915124888760e-01	2.651155710220336914e+00	1.082944699174843706e-01
3.247477523913466224e-01	2.511169195175170898e+00	1.022336568552268260e-01
3.408694132702044244e-01	2.366309642791748047e+00	9.386050951393458408e-02
3.569910741490622264e-01	2.238972663879394531e+00	8.793680341431323044e-02
3.731127350279199728e-01	2.101530075073242188e+00	8.246881205836867346e-02
3.892343959067777748e-01	1.974072217941284180e+00	7.738509161181389429e-02
4.053560567856355767e-01	1.854961156845092773e+00	7.286835694921257878e-02
4.214777176644933787e-01	1.735406041145324707e+00	6.875757629072608290e-02
4.375993785433511807e-01	1.613234519958496094e+00	6.469800472782541445e-02
4.537210394222089271e-01	1.506595373153686523e+00	6.112806398696800370e-02
4.698427003010667291e-01	1.396417737007141113e+00	5.756338412147772587e-02
4.859643611799245311e-01	1.295234560966491699e+00	5.411576268507688192e-02
5.020860220587822775e-01	1.201180219650268555e+00	5.090931358256362005e-02
5.182076829376400795e-01	1.110769867897033691e+00	4.796983804021365955e-02
5.343293438164978815e-01	1.022429108619689941e+00	4.510506359640627932e-02
5.504510046953556834e-01	9.414643049240112305e-01	4.341168560088517342e-02
5.665726655742134854e-01	8.693677783012390137e-01	4.182863139049887435e-02
5.826943264530712874e-01	7.948141694068908691e-01	3.978529975328204404e-02
5.988159873319289783e-01	7.318610548973083496e-01	3.789308326461594129e-02
6.149376482107868913e-01	6.732206344604492188e-01	3.590936770065251971e-02
6.310593090896445823e-01	6.166707873344421387e-01	3.389507545385039844e-02
6.471809699685023842e-01	5.641145110130310059e-01	3.208563047496741649e-02
6.633026308473601862e-01	5.176425576210021973e-01	3.044420361096445218e-02
6.794242917262179882e-01	4.736964404582977295e-01	2.884574093882230281e-02
6.955459526050757901e-01	4.320592880249023438e-01	2.680109513417813089e-02
7.116676134839335921e-01	3.957275450229644775e-01	2.477648927244145011e-02
7.277892743627913941e-01	3.621369004249572754e-01	2.315378168463917002e-02
7.439109352416490850e-01	3.314456939697265625e-01	2.173386602002209261e-02
7.600325961205068870e-01	3.022329807281494141e-01	2.045412470524837420e-02
7.761542569993646890e-01	2.763901054859161377e-01	1.924485499438915656e-02
7.922759178782224909e-01	2.523229122161865234e-01	1.808361599064874439e-02
8.083975787570802929e-01	2.314208894968032837e-01	1.704595960111675995e-02
8.245192396359380949e-01	2.114082872867584229e-01	1.604547113926376237e-02
8.406409005147958968e-01	1.934541910886764526e-01	1.512451998739953660e-02
8.567625613936535878e-01	1.775104403495788574e-01	1.428199318301763207e-02
8.728842222725113897e-01	1.629948168992996216e-01	1.349944350261155987e-02
8.890058831513691917e-01	1.504661142826080322e-01	1.279793729776468672e-02
9.051275440302269937e-01	1.380996406078338623e-01	1.210278315835066135e-02
9.212492049090847956e-01	1.281986683607101440e-01	1.151989142977367583e-02
9.373708657879425976e-01	1.187975704669952393e-01	1.095561434731936491e-02
9.534925266668003996e-01	1.102690622210502625e-01	1.043226696114022724e-02
9.696141875456582016e-01	1.030749753117561340e-01	9.972275887501408365e-03
9.857358484245160035e-01	9.660514444112777710e-02	9.545447703107279303e-03
