# Normalized	8239 eV	193neu
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517372972275117804e-01	3.715590953826904297e+00	4.950781014590361906e-01
1.683322765328058579e-01	3.603134870529174805e+00	2.750651559706823734e-01
1.849272558380999354e-01	3.509191036224365234e+00	2.138226147362471963e-01
2.015222351433940129e-01	3.391860723495483398e+00	1.807521308221060885e-01
2.181172144486880904e-01	3.230622768402099609e+00	1.547915995745851592e-01
2.347121937539821679e-01	3.091962814331054688e+00	1.350435919377236393e-01
2.513071730592763009e-01	2.960068702697753906e+00	1.200085642865591773e-01
2.679021523645703784e-01	2.803248643875122070e+00	1.161479225610853594e-01
2.844971316698644559e-01	2.667019367218017578e+00	1.116513103114471356e-01
3.010921109751585334e-01	2.524342060089111328e+00	1.070019866605715492e-01
3.176870902804526109e-01	2.387262105941772461e+00	1.029923420581888294e-01
3.342820695857466884e-01	2.253468990325927734e+00	9.703683231025661549e-02
3.508770488910407659e-01	2.118066787719726562e+00	8.896252243478874888e-02
3.674720281963348434e-01	1.998197197914123535e+00	8.320736633407263549e-02
3.840670075016289209e-01	1.869944930076599121e+00	7.789870175386898188e-02
4.006619868069229984e-01	1.752528309822082520e+00	7.300019847317629207e-02
4.172569661122170759e-01	1.638719797134399414e+00	6.854404208630808515e-02
4.338519454175111534e-01	1.527691364288330078e+00	6.454466016829769892e-02
4.504469247228052309e-01	1.415268301963806152e+00	6.061301307536106492e-02
4.670419040280993084e-01	1.315379977226257324e+00	5.710996668600777648e-02
4.836368833333933859e-01	1.213306069374084473e+00	5.363043518054271680e-02
5.002318626386874634e-01	1.121731758117675781e+00	5.032456346826036375e-02
5.168268419439815409e-01	1.036289453506469727e+00	4.723924809110748718e-02
5.334218212492756184e-01	9.551038146018981934e-01	4.442789966784987249e-02
5.500168005545698069e-01	8.756009936332702637e-01	4.167975989485282057e-02
5.666117798598637734e-01	8.029875159263610840e-01	4.002511673803264836e-02
5.832067591651579619e-01	7.392149567604064941e-01	3.850134945904597900e-02
5.998017384704519284e-01	6.737089753150939941e-01	3.655880706730300911e-02
6.163967177757461169e-01	6.178273558616638184e-01	3.474311816105107170e-02
6.329916970810400834e-01	5.669382810592651367e-01	3.288158530609090052e-02
6.495866763863342719e-01	5.170474648475646973e-01	3.096376168938110712e-02
6.661816556916282384e-01	4.714343249797821045e-01	2.926001939423731810e-02
6.827766349969224269e-01	4.315848946571350098e-01	2.772952130863618608e-02
6.993716143022163934e-01	3.937217593193054199e-01	2.623107050590565287e-02
7.159665936075105819e-01	3.576829433441162109e-01	2.431955081729160820e-02
7.325615729128045484e-01	3.273429870605468750e-01	2.247308929247976775e-02
7.491565522180987369e-01	2.986328899860382080e-01	2.096694838823262574e-02
7.657515315233927033e-01	2.720203101634979248e-01	1.963123010694018192e-02
7.823465108286868919e-01	2.480022460222244263e-01	1.847525440263808605e-02
7.989414901339808583e-01	2.262931615114212036e-01	1.736341750405740597e-02
8.155364694392750469e-01	2.067332714796066284e-01	1.632325198137895075e-02
8.321314487445690133e-01	1.892401874065399170e-01	1.537162193754850262e-02
8.487264280498632019e-01	1.731734722852706909e-01	1.448405821859905830e-02
8.653214073551571683e-01	1.586178392171859741e-01	1.366079391223092195e-02
8.819163866604513569e-01	1.459125131368637085e-01	1.291821191410815785e-02
8.985113659657453233e-01	1.344870775938034058e-01	1.223593569781585531e-02
9.151063452710395119e-01	1.245507523417472839e-01	1.162079683229522674e-02
9.317013245763334783e-01	1.149600073695182800e-01	1.102336328107120927e-02
9.482963038816276669e-01	1.070965677499771118e-01	1.051275226586090468e-02
9.648912831869218554e-01	1.000771522521972656e-01	1.004290746773867787e-02
9.814862624922158219e-01	9.342443197965621948e-02	9.592561454581371994e-03
9.980812417975100104e-01	8.794219791889190674e-02	9.203957560451409697e-03
1.014676221102803977e+00	8.315677195787429810e-02	8.851765516158221353e-03
1.031271200408098165e+00	7.898674160242080688e-02	8.541844505465169546e-03
1.047866179713392132e+00	7.555853575468063354e-02	8.272313221251105866e-03
1.064461159018686320e+00	7.224547863006591797e-02	8.009259518104759959e-03
1.081056138323980287e+00	6.954234838485717773e-02	7.786770243673963102e-03
1.097651117629274475e+00	6.728713959455490112e-02	7.590533629148348005e-03
1.114246096934568442e+00	6.518196314573287964e-02	7.404763512872727764e-03
1.130841076239862630e+00	6.341949850320816040e-02	7.241686983487410217e-03
1.147436055545156597e+00	6.212407723069190979e-02	7.109369505041775693e-03
1.164031034850450563e+00	6.115867197513580322e-02	7.002696695339875183e-03
1.180626014155744752e+00	5.996668338775634766e-02	6.887738892828649574e-03
1.197220993461038718e+00	5.899852141737937927e-02	6.911402665960360292e-03
1.213815972766332907e+00	5.834155902266502380e-02	6.914737695844924877e-03
