# Normalized	193neu	8324.0 eV
# q in nm-1	I in cm-1	poisson_error
1.533027402487101842e-01	3.281340837478637695e+00	4.504747090285598499e-01
1.700689274230457460e-01	3.171895503997802734e+00	2.437629977629878764e-01
1.868351145973813354e-01	3.080040454864501953e+00	1.863869755585337296e-01
2.036013017717168971e-01	2.975118398666381836e+00	1.558172013673382872e-01
2.203674889460524589e-01	2.811737775802612305e+00	1.316032347024666815e-01
2.371336761203880483e-01	2.696847200393676758e+00	1.138591750802384062e-01
2.538998632947235823e-01	2.581184148788452148e+00	1.003277312535545557e-01
2.706660504690591718e-01	2.438004255294799805e+00	9.720813955618330671e-02
2.874322376433947612e-01	2.318159818649291992e+00	9.352528487065883689e-02
3.041984248177302952e-01	2.192513704299926758e+00	8.972059866164763808e-02
3.209646119920659402e-01	2.070826530456542969e+00	8.646869268909454509e-02
3.377307991664014741e-01	1.951785326004028320e+00	8.138587669831763571e-02
3.544969863407370081e-01	1.831089258193969727e+00	7.433381108793392367e-02
3.712631735150726531e-01	1.722955346107482910e+00	6.936077523393149868e-02
3.880293606894081870e-01	1.611718535423278809e+00	6.492463217400995523e-02
4.047955478637437210e-01	1.505439043045043945e+00	6.073251594239122836e-02
4.215617350380793660e-01	1.405174016952514648e+00	5.699829723036767271e-02
4.383279222124148999e-01	1.307432532310485840e+00	5.367820254157643078e-02
4.550941093867504339e-01	1.210522532463073730e+00	5.046955617673482691e-02
4.718602965610860789e-01	1.121220350265502930e+00	4.753741211455993210e-02
4.886264837354216128e-01	1.031112313270568848e+00	4.465658937885529089e-02
5.053926709097571468e-01	9.505111575126647949e-01	4.190533367803370157e-02
5.221588580840927918e-01	8.778459429740905762e-01	3.939559000781840681e-02
5.389250452584283257e-01	8.072373270988464355e-01	3.708343964461788267e-02
5.556912324327638597e-01	7.385785579681396484e-01	3.483364450578124022e-02
5.724574196070995047e-01	6.765806674957275391e-01	3.358027024175883751e-02
5.892236067814350386e-01	6.220808625221252441e-01	3.241157528288716311e-02
6.059897939557706836e-01	5.662912130355834961e-01	3.086833169194652671e-02
6.227559811301062176e-01	5.182675719261169434e-01	2.939228711341477715e-02
6.395221683044417516e-01	4.737368524074554443e-01	2.783096649546960497e-02
6.562883554787772855e-01	4.319610595703125000e-01	2.627104660144437276e-02
6.730545426531129305e-01	3.935241997241973877e-01	2.488207193781112603e-02
6.898207298274484645e-01	3.600901663303375244e-01	2.363441323624650495e-02
7.065869170017839984e-01	3.277959525585174561e-01	2.238944034462961308e-02
7.233531041761196434e-01	2.980601787567138672e-01	2.079641445094920424e-02
7.401192913504551774e-01	2.726446390151977539e-01	1.922508145885779354e-02
7.568854785247907113e-01	2.490817308425903320e-01	1.797626789094772248e-02
7.736516656991263563e-01	2.266551703214645386e-01	1.685203201938077766e-02
7.904178528734618903e-01	2.074110358953475952e-01	1.592160328840659667e-02
8.071840400477974242e-01	1.897597312927246094e-01	1.501070423584313120e-02
8.239502272221330692e-01	1.734771430492401123e-01	1.414009998637108870e-02
8.407164143964686032e-01	1.598163247108459473e-01	1.338112117924217942e-02
8.574826015708041371e-01	1.464352160692214966e-01	1.263705586158569809e-02
8.742487887451397821e-01	1.349466592073440552e-01	1.197479468577552879e-02
8.910149759194753161e-01	1.246074140071868896e-01	1.136200718300529530e-02
9.077811630938108500e-01	1.153798401355743408e-01	1.080209232785223419e-02
9.245473502681464950e-01	1.079419702291488647e-01	1.032506680779489948e-02
9.413135374424820290e-01	1.001079976558685303e-01	9.830966945133252921e-03
9.580797246168175629e-01	9.411438554525375366e-02	9.429609903215766323e-03
9.748459117911532079e-01	8.870633691549301147e-02	9.056911944856209720e-03
9.916120989654887419e-01	8.360652625560760498e-02	8.701983545044592733e-03
1.008378286139824498e+00	7.964953780174255371e-02	8.407672375184128272e-03
1.025144473314159921e+00	7.581756263971328735e-02	8.119200421678518520e-03
1.041910660488495566e+00	7.269458472728729248e-02	7.877704458583564481e-03
1.058676847662831211e+00	7.008824497461318970e-02	7.663640596168146309e-03
1.075443034837166634e+00	6.756220757961273193e-02	7.454540480490352318e-03
1.092209222011502279e+00	6.579156965017318726e-02	7.293316842574648282e-03
1.108975409185837924e+00	6.392493098974227905e-02	7.126777477145491459e-03
1.125741596360173347e+00	6.256533414125442505e-02	6.990888920633768662e-03
1.142507783534508992e+00	6.124043464660644531e-02	6.859289044257698385e-03
