# Normalized	8330.0 eV	195
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.534133308534822715e-01	2.888767623901367188e+01	1.375925188362119744e+00
1.701916127139985468e-01	3.458201599121093750e+01	8.549652056020350388e-01
1.869698945745147944e-01	4.334923934936523438e+01	7.660168548134282940e-01
2.037481764350310698e-01	4.959229278564453125e+01	7.152800898963038723e-01
2.205264582955473451e-01	4.355054855346679688e+01	5.863985700171991944e-01
2.373047401560635927e-01	2.803507041931152344e+01	4.071854339544138668e-01
2.540830220165798403e-01	1.478340339660644531e+01	2.571948749849947702e-01
2.708613038770961157e-01	7.534123897552490234e+00	1.767049488623993747e-01
2.876395857376123910e-01	4.127395153045654297e+00	1.260902738321476868e-01
3.044178675981286664e-01	2.693176984786987305e+00	9.923830280811456184e-02
3.211961494586449417e-01	2.121917724609375000e+00	8.690993653360146176e-02
3.379744313191611615e-01	1.930300593376159668e+00	8.028706472413656148e-02
3.547527131796774924e-01	1.860341072082519531e+00	7.436262600849699589e-02
3.715309950401937122e-01	1.787029385566711426e+00	7.014459293775074378e-02
3.883092769007099876e-01	1.632872819900512695e+00	6.484975056909568492e-02
4.050875587612262629e-01	1.426306724548339844e+00	5.855574216541341998e-02
4.218658406217424828e-01	1.218558907508850098e+00	5.245720786384103218e-02
4.386441224822588136e-01	1.021600961685180664e+00	4.677917337938812536e-02
4.554224043427750335e-01	8.394894599914550781e-01	4.133027941720287396e-02
4.722006862032912533e-01	6.858820319175720215e-01	3.647404285540276070e-02
4.889789680638075842e-01	5.584449768066406250e-01	3.217517039375468457e-02
5.057572499243238040e-01	4.626378715038299561e-01	2.857715738138832604e-02
5.225355317848401349e-01	3.909690976142883301e-01	2.567014474777901123e-02
5.393138136453563547e-01	3.359220027923583984e-01	2.334434229369069386e-02
5.560920955058726856e-01	2.919383049011230469e-01	2.136807428269992329e-02
5.728703773663889054e-01	2.551782131195068359e-01	2.013323466142151463e-02
5.896486592269051252e-01	2.263989001512527466e-01	1.910187557501064753e-02
6.064269410874214561e-01	1.995975822210311890e-01	1.791482892040922176e-02
6.232052229479376759e-01	1.787928342819213867e-01	1.688691725339323130e-02
6.399835048084540068e-01	1.603016853332519531e-01	1.584486422169239031e-02
6.567617866689702266e-01	1.460477262735366821e-01	1.496165938980030877e-02
6.735400685294865575e-01	1.335959285497665405e-01	1.421152284594299174e-02
6.903183503900027773e-01	1.224374771118164062e-01	1.351969224689472150e-02
7.070966322505189972e-01	1.109596788883209229e-01	1.278804559633915303e-02
7.238749141110353280e-01	1.004570573568344116e-01	1.185658265968552762e-02
7.406531959715515478e-01	9.061518311500549316e-02	1.088504467398539004e-02
7.574314778320678787e-01	8.064547181129455566e-02	1.004750850811810849e-02
7.742097596925840985e-01	7.210566848516464233e-02	9.340238567932290445e-03
7.909880415531003184e-01	6.405481696128845215e-02	8.697318007655717095e-03
8.077663234136166492e-01	5.658784881234169006e-02	8.059395380337355808e-03
8.245446052741328691e-01	5.192699655890464783e-02	7.610287913529115503e-03
8.413228871346491999e-01	4.704242199659347534e-02	7.143924503088588430e-03
8.581011689951654198e-01	4.393452033400535583e-02	6.815612527100296109e-03
8.748794508556816396e-01	4.154295846819877625e-02	6.546042603183920526e-03
8.916577327161979705e-01	3.877514600753784180e-02	6.247545864174258376e-03
