# Normalized	195	8304.0 eV
# q in nm-1	I in cm-1	poisson_error
1.529343905150668814e-01	3.202157211303710938e+01	1.618490674333630919e+00
1.696602923870779989e-01	3.789976119995117188e+01	1.095614391170822044e+00
1.863861942590890886e-01	4.709497833251953125e+01	1.047229716338132777e+00
2.031120961311002060e-01	5.359910202026367188e+01	1.026483336863730944e+00
2.198379980031113234e-01	4.743029785156250000e+01	8.626602717275806409e-01
2.365638998751224409e-01	3.093768501281738281e+01	5.917022340179503015e-01
2.532898017471335583e-01	1.662681198120117188e+01	3.612061812314529274e-01
2.700157036191446203e-01	8.627134323120117188e+00	2.351422865187135225e-01
2.867416054911557932e-01	4.833821773529052734e+00	1.623709970663037572e-01
3.034675073631668551e-01	3.243260145187377930e+00	1.263829247259058708e-01
3.201934092351780281e-01	2.624999523162841797e+00	1.108841438626126108e-01
3.369193111071890900e-01	2.435046672821044922e+00	1.034124008036487324e-01
3.536452129792002075e-01	2.373101949691772461e+00	9.691445760179018265e-02
3.703711148512113249e-01	2.298302650451660156e+00	9.208604114621761483e-02
3.870970167232223869e-01	2.095228672027587891e+00	8.488453130874271113e-02
4.038229185952335598e-01	1.823307275772094727e+00	7.614090957556181316e-02
4.205488204672446217e-01	1.547366857528686523e+00	6.753416940437320659e-02
4.372747223392557947e-01	1.296325206756591797e+00	5.974945454317091842e-02
4.540006242112668566e-01	1.065662860870361328e+00	5.236586870312326392e-02
4.707265260832780296e-01	8.722461462020874023e-01	4.588049638195696583e-02
4.874524279552890915e-01	7.122976183891296387e-01	4.021793682923729962e-02
5.041783298273001535e-01	5.911080837249755859e-01	3.552295950978221623e-02
5.209042316993113264e-01	4.995307624340057373e-01	3.173783858858580248e-02
5.376301335713223883e-01	4.269003570079803467e-01	2.864014980272594837e-02
5.543560354433335613e-01	3.669822216033935547e-01	2.595124061201931412e-02
5.710819373153446232e-01	3.177078068256378174e-01	2.418794126311785836e-02
5.878078391873557962e-01	2.783724069595336914e-01	2.268745466878258066e-02
6.045337410593668581e-01	2.420789450407028198e-01	2.103587090152679931e-02
6.212596429313779200e-01	2.145922631025314331e-01	1.965633161589480302e-02
6.379855448033890930e-01	1.910418868064880371e-01	1.832517484066658459e-02
6.547114466754001549e-01	1.716830879449844360e-01	1.714281203501534859e-02
6.714373485474113279e-01	1.557816714048385620e-01	1.618076308756096621e-02
6.881632504194223898e-01	1.426444202661514282e-01	1.535675684098005908e-02
7.048891522914334518e-01	1.296360939741134644e-01	1.451714730511422663e-02
7.216150541634446247e-01	1.165215075016021729e-01	1.339302308103013962e-02
7.383409560354556866e-01	1.052711904048919678e-01	1.229586832524560622e-02
7.550668579074668596e-01	9.291435778141021729e-02	1.128133221967805681e-02
7.717927597794779215e-01	8.113631606101989746e-02	1.033953303763401367e-02
7.885186616514890945e-01	7.026197761297225952e-02	9.480889696196842520e-03
8.052445635235001564e-01	6.140663474798202515e-02	8.719874622680597043e-03
8.219704653955113294e-01	5.462353304028511047e-02	8.092074430977478847e-03
8.386963672675223913e-01	4.887619242072105408e-02	7.537700163807154081e-03
8.554222691395334532e-01	4.482124745845794678e-02	7.117794014436410605e-03
8.721481710115446262e-01	4.130382835865020752e-02	6.741401952079472716e-03
8.888740728835556881e-01	3.893215581774711609e-02	6.462531060797585374e-03
9.055999747555668611e-01	3.627423569560050964e-02	6.161277755191461175e-03
9.223258766275779230e-01	3.390093147754669189e-02	5.883912773072285697e-03
9.390517784995890960e-01	3.103592246770858765e-02	5.562284568353751887e-03
