# Normalized	8330.0 eV	203
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.534133333808537225e-01	5.142135620117187500e+01	1.879448568581659762e+00
1.701916152350436418e-01	4.739599990844726562e+01	1.030198371985927341e+00
1.869698970892335610e-01	4.488027572631835938e+01	7.943641662500877665e-01
2.037481789434235080e-01	4.380384063720703125e+01	6.789306616534679373e-01
2.205264607976133995e-01	4.341591262817382812e+01	5.981358609355844624e-01
2.373047426518033465e-01	4.503973388671875000e+01	5.504554882836745211e-01
2.540830245059932935e-01	4.798490905761718750e+01	5.248519598199866687e-01
2.708613063601831850e-01	5.191998291015625000e+01	5.504437829097114099e-01
2.876395882143730764e-01	5.889653015136718750e+01	5.896878825666098667e-01
3.044178700685630234e-01	6.699576568603515625e+01	6.334725077423749573e-01
3.211961519227529704e-01	7.427376556396484375e+01	6.729318206716866646e-01
3.379744337769428619e-01	7.913237762451171875e+01	6.854355821171804752e-01
3.547527156311328089e-01	8.001593017578125000e+01	6.616439554571575954e-01
3.715309974853227004e-01	7.814068603515625000e+01	6.339297474544652866e-01
3.883092793395126474e-01	7.174790954589843750e+01	5.861037472423964445e-01
4.050875611937025389e-01	6.195769882202148438e+01	5.207283949885882501e-01
4.218658430478924859e-01	5.061711883544921875e+01	4.478271158734449808e-01
4.386441249020824329e-01	3.956922149658203125e+01	3.764344632147387237e-01
4.554224067562723244e-01	3.009049034118652344e+01	3.118875299002168977e-01
4.722006886104622714e-01	2.278252029418945312e+01	2.586789200504645558e-01
4.889789704646521629e-01	1.716531944274902344e+01	2.146392807650732704e-01
5.057572523188420544e-01	1.308193778991699219e+01	1.793693414829367616e-01
5.225355341730320013e-01	1.014364051818847656e+01	1.518193145282066558e-01
5.393138160272219483e-01	7.998510360717773438e+00	1.303693864029400740e-01
5.560920978814118953e-01	6.423950672149658203e+00	1.133360820716067113e-01
5.728703797356018423e-01	5.294825553894042969e+00	1.024336487831316728e-01
5.896486615897917893e-01	4.496671676635742188e+00	9.418895382425090945e-02
6.064269434439816253e-01	3.869656562805175781e+00	8.665283932155842805e-02
6.232052252981715723e-01	3.402168750762939453e+00	8.048069462583504197e-02
6.399835071523614083e-01	3.028681755065917969e+00	7.493576352654822414e-02
6.567617890065513553e-01	2.704691886901855469e+00	6.978668070808681512e-02
6.735400708607413023e-01	2.424851894378662109e+00	6.537546292886724231e-02
6.903183527149312493e-01	2.180431842803955078e+00	6.138498261573129694e-02
7.070966345691211963e-01	1.955134630203247070e+00	5.755830021695787502e-02
7.238749164233111433e-01	1.745315432548522949e+00	5.287626454765409489e-02
7.406531982775009793e-01	1.570217132568359375e+00	4.841967850563453496e-02
7.574314801316909262e-01	1.402782797813415527e+00	4.468284778529046930e-02
7.742097619858808732e-01	1.249377965927124023e+00	4.135242546662181579e-02
7.909880438400708202e-01	1.111094832420349121e+00	3.842262966149277009e-02
8.077663256942606562e-01	9.895422458648681641e-01	3.566325863824887366e-02
8.245446075484506032e-01	8.829497694969177246e-01	3.312463910405492179e-02
8.413228894026405502e-01	7.880839705467224121e-01	3.079282727661869154e-02
8.581011712568304972e-01	7.057500481605529785e-01	2.869908162647123728e-02
8.748794531110204442e-01	6.358752846717834473e-01	2.684734727367881282e-02
8.916577349652102802e-01	5.766994357109069824e-01	2.521104214050366027e-02
9.084360168194002272e-01	5.239533782005310059e-01	2.371087102173692271e-02
9.252142986735901742e-01	4.802859127521514893e-01	2.240769559407939163e-02
9.419925805277801212e-01	4.391243159770965576e-01	2.116055193666124823e-02
9.587708623819700682e-01	4.057057499885559082e-01	2.010099670564823374e-02
9.755491442361599042e-01	3.763209283351898193e-01	1.913572450265106292e-02
9.923274260903498512e-01	3.480532765388488770e-01	1.819608458278686863e-02
1.009105707944539798e+00	3.235198557376861572e-01	1.734972335403104499e-02
1.025883989798729745e+00	3.016254901885986328e-01	1.656792682345625475e-02
1.042662271652919692e+00	2.804529666900634766e-01	1.581501364535660425e-02
1.059440553507109417e+00	2.624188065528869629e-01	1.514369933462263000e-02
1.076218835361299586e+00	2.444527745246887207e-01	1.446735684400130006e-02
1.092997117215489311e+00	2.282393723726272583e-01	1.384635605681713497e-02
