# q in nm-1	I	poisson_error
1.289189696504384197e-01	8.199739074707031250e+01	2.210214634949226653e+00
1.430183876667701914e-01	7.750191497802734375e+01	1.165115667095072638e+00
1.571178056831019632e-01	7.214045715332031250e+01	8.641827131200024992e-01
1.712172236994337071e-01	6.630983734130859375e+01	6.999443144213556289e-01
1.853166417157655066e-01	5.992781066894531250e+01	5.745967952497549325e-01
1.994160597320972506e-01	5.401637268066406250e+01	4.789138836282499923e-01
2.135154777484290223e-01	4.846710586547851562e+01	4.063376807688677261e-01
2.276148957647607940e-01	4.279645156860351562e+01	3.813331013342004527e-01
2.417143137810925657e-01	3.770498657226562500e+01	3.534418667497900013e-01
2.558137317974243374e-01	3.272630691528320312e+01	3.251185479054313765e-01
2.699131498137561369e-01	2.820109367370605469e+01	2.996857525648798926e-01
2.840125678300878809e-01	2.410236740112304688e+01	2.685778491453838512e-01
2.981119858464196248e-01	2.038057899475097656e+01	2.324777191041557112e-01
3.122114038627513688e-01	1.705510711669921875e+01	2.044569048539425227e-01
3.263108218790831683e-01	1.402052116394042969e+01	1.794169488309902694e-01
3.404102398954149677e-01	1.136829853057861328e+01	1.563856252475606667e-01
3.545096579117467117e-01	9.094697952270507812e+00	1.359281432562859382e-01
3.686090759280784557e-01	7.156494140625000000e+00	1.178162365624887409e-01
3.827084939444102551e-01	5.510177612304687500e+00	1.011181898413829883e-01
3.968079119607419991e-01	4.179606437683105469e+00	8.628390082391748650e-02
4.109073299770737986e-01	3.094161272048950195e+00	7.282121729766853624e-02
4.250067479934055426e-01	2.247935295104980469e+00	6.073145541378635603e-02
4.391061660097373420e-01	1.600373864173889160e+00	5.018196253616379054e-02
4.532055840260690860e-01	1.124194383621215820e+00	4.134280450865943091e-02
4.673050020424008300e-01	7.850561738014221191e-01	3.397896121098382960e-02
4.814044200587326294e-01	5.619558095932006836e-01	2.903773126120669582e-02
4.955038380750643734e-01	4.295143783092498779e-01	2.561896120256521719e-02
5.096032560913961174e-01	3.626906871795654297e-01	2.355262359645731926e-02
5.237026741077279723e-01	3.460327088832855225e-01	2.294121314539624909e-02
5.378020921240597163e-01	3.587023615837097168e-01	2.317037408893168199e-02
5.519015101403914603e-01	3.892810046672821045e-01	2.389793563947120378e-02
5.660009281567233153e-01	4.257701039314270020e-01	2.484180530711225035e-02
5.801003461730549482e-01	4.627597033977508545e-01	2.575593906536669322e-02
5.941997641893868032e-01	4.931505322456359863e-01	2.644077028470314186e-02
6.082991822057185471e-01	5.128044486045837402e-01	2.628502400252130666e-02
6.223986002220502911e-01	5.235978960990905762e-01	2.568248498053192497e-02
6.364980182383821461e-01	5.222926735877990723e-01	2.511460159576534706e-02
6.505974362547137790e-01	5.088201761245727539e-01	2.438691110626760652e-02
6.646968542710456340e-01	4.867230355739593506e-01	2.358302169384710045e-02
6.787962722873774890e-01	4.566276073455810547e-01	2.253757684526172533e-02
6.928956903037091219e-01	4.203035831451416016e-01	2.132382227601467908e-02
7.069951083200409769e-01	3.823333978652954102e-01	2.006897224190133666e-02
7.210945263363726099e-01	3.425329327583312988e-01	1.875861431005612645e-02
7.351939443527044649e-01	3.031852841377258301e-01	1.743529847124329624e-02
7.492933623690363198e-01	2.660818994045257568e-01	1.614069189366597323e-02
7.633927803853679528e-01	2.312671095132827759e-01	1.487836957410970315e-02
7.774921984016998078e-01	2.015501856803894043e-01	1.373415661108206773e-02
7.915916164180314407e-01	1.746858209371566772e-01	1.265059057795004348e-02
8.056910344343632957e-01	1.538005173206329346e-01	1.174880374644125293e-02
8.197904524506951507e-01	1.367684900760650635e-01	1.096619013029684168e-02
8.338898704670267836e-01	1.235662996768951416e-01	1.032093611514249380e-02
8.479892884833586386e-01	1.143229603767395020e-01	9.830454616360987177e-03
8.620887064996902716e-01	1.081317737698554993e-01	9.466310797239111882e-03
8.761881245160221265e-01	1.040380746126174927e-01	9.203328917068751003e-03
8.902875425323539815e-01	1.014323160052299500e-01	9.005209848386219046e-03
9.043869605486856145e-01	1.009089574217796326e-01	8.900612518360414074e-03
9.184863785650174695e-01	1.006119474768638611e-01	8.812491557957507007e-03
9.325857965813491024e-01	1.006386578083038330e-01	8.738404652907982850e-03
9.466852145976809574e-01	1.008098050951957703e-01	8.672240248579305907e-03
9.607846326140128124e-01	1.007273197174072266e-01	8.597500771848978068e-03
9.748840506303444453e-01	1.001513898372650146e-01	8.504689944974368893e-03
9.889834686466763003e-01	9.917392581701278687e-02	8.401917215509775022e-03
1.003082886663008155e+00	9.745552390813827515e-02	8.274686137895548993e-03
1.017182304679339788e+00	9.554062038660049438e-02	8.298205194324942760e-03
