# Normalized	7000.0 eV	214neu
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189696504384197e-01	7.855947113037109375e+01	2.522753789298418425e+00
1.430183876667701914e-01	7.425247955322265625e+01	1.480096152848537239e+00
1.571178056831019632e-01	6.911580657958984375e+01	1.162041736387373847e+00
1.712172236994337071e-01	6.352965164184570312e+01	9.757294352450179842e-01
1.853166417157655066e-01	5.741520690917968750e+01	8.250673387638131073e-01
1.994160597320972506e-01	5.175161743164062500e+01	7.055037439500854157e-01
2.135154777484290223e-01	4.643501663208007812e+01	6.101445676635689486e-01
2.276148957647607940e-01	4.100211715698242188e+01	5.608170571350876710e-01
2.417143137810925657e-01	3.612412261962890625e+01	5.112024593698202279e-01
2.558137317974243374e-01	3.135418510437011719e+01	4.616592382290655161e-01
2.699131498137561369e-01	2.701870155334472656e+01	4.169327003406229082e-01
2.840125678300878809e-01	2.309182357788085938e+01	3.685204595468137834e-01
2.981119858464196248e-01	1.952607727050781250e+01	3.168737600525040055e-01
3.122114038627513688e-01	1.634003448486328125e+01	2.748721399141249577e-01
3.263108218790831683e-01	1.343268013000488281e+01	2.370630765285293429e-01
3.404102398954149677e-01	1.089165782928466797e+01	2.028958676670989114e-01
3.545096579117467117e-01	8.713382720947265625e+00	1.729073482738420209e-01
3.686090759280784557e-01	6.856442451477050781e+00	1.466846481074787489e-01
3.827084939444102551e-01	5.279151439666748047e+00	1.231251028850343515e-01
3.968079119607419991e-01	4.004367351531982422e+00	1.027736400698432834e-01
4.109073299770737986e-01	2.964431762695312500e+00	8.483903244882426420e-02
4.250067479934055426e-01	2.153685808181762695e+00	6.929668217788799434e-02
4.391061660097373420e-01	1.533274769783020020e+00	5.613265011810713440e-02
4.532055840260690860e-01	1.077060103416442871e+00	4.539382848058432646e-02
4.673050020424008300e-01	7.521409988403320312e-01	3.669967243977140942e-02
4.814044200587326294e-01	5.383946299552917480e-01	3.088535749319633664e-02
4.955038380750643734e-01	4.115060567855834961e-01	2.695857439107841869e-02
5.096032560913961174e-01	3.474840819835662842e-01	2.464315075782507955e-02
5.237026741077279723e-01	3.315245211124420166e-01	2.397168809613987178e-02
5.378020921240597163e-01	3.436629772186279297e-01	2.425152074940991817e-02
5.519015101403914603e-01	3.729595541954040527e-01	2.509768353919672804e-02
5.660009281567233153e-01	4.079187512397766113e-01	2.618147484016280363e-02
5.801003461730549482e-01	4.433574676513671875e-01	2.723835382438718686e-02
5.941997641893868032e-01	4.724741280078887939e-01	2.804186859389738370e-02
6.082991822057185471e-01	4.913040101528167725e-01	2.797555934069227354e-02
6.223986002220502911e-01	5.016449093818664551e-01	2.743309123634873198e-02
6.364980182383821461e-01	5.003944039344787598e-01	2.687151982803313160e-02
