# Normalized	8004.0 eV	214neu
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.474094802954485084e-01	6.656822967529296875e+01	2.467633477839709322e+00
1.635311411803850590e-01	6.149130630493164062e+01	1.477686526033015646e+00
1.796528020653215818e-01	5.601889038085937500e+01	1.162249348604081245e+00
1.957744629502581324e-01	5.036052322387695312e+01	9.702347841576458576e-01
2.118961238351946830e-01	4.411169052124023438e+01	8.085247676617605128e-01
2.280177847201312336e-01	3.854350280761718750e+01	6.802654308128711635e-01
2.441394456050677841e-01	3.342302703857421875e+01	5.765205000154657311e-01
2.602611064900043347e-01	2.837250709533691406e+01	5.134513010097268015e-01
2.763827673749408298e-01	2.376024246215820312e+01	4.505383681731924828e-01
2.925044282598774359e-01	1.958955001831054688e+01	3.916710216742708695e-01
3.086260891448139310e-01	1.593779182434082031e+01	3.393021799904192837e-01
3.247477500297504815e-01	1.278108978271484375e+01	2.870082181373724284e-01
3.408694109146870321e-01	1.008908843994140625e+01	2.357395829407613608e-01
3.569910717996235827e-01	7.835317134857177734e+00	1.946299184044217867e-01
3.731127326845601333e-01	5.925271511077880859e+00	1.590226426544091576e-01
3.892343935694966284e-01	4.370409965515136719e+00	1.282272268227148682e-01
4.053560544544332345e-01	3.155949831008911133e+00	1.026477157250004768e-01
4.214777153393697295e-01	2.210561275482177734e+00	8.129268094292683988e-02
4.375993762243063356e-01	1.504787802696228027e+00	6.360695054589815545e-02
4.537210371092428307e-01	1.008336544036865234e+00	4.959341900631506622e-02
4.698426979941794368e-01	6.730756759643554688e-01	3.877875115804139267e-02
4.859643588791159319e-01	4.661939144134521484e-01	3.099187533130711575e-02
5.020860197640524270e-01	3.568024933338165283e-01	2.624702814826548533e-02
5.182076806489890330e-01	3.145200014114379883e-01	2.411759557735206061e-02
5.343293415339255281e-01	3.138398230075836182e-01	2.372894623628526295e-02
5.504510024188621342e-01	3.393211960792541504e-01	2.499134220268662415e-02
5.665726633037986293e-01	3.780095875263214111e-01	2.673793654971917677e-02
5.826943241887352354e-01	4.125018119812011719e-01	2.806872682838765926e-02
5.988159850736717305e-01	4.411275088787078857e-01	2.905795494680187691e-02
6.149376459586082255e-01	4.585984945297241211e-01	2.947938947797330150e-02
6.310593068435448316e-01	4.621844589710235596e-01	2.934592450521147228e-02
6.471809677284813267e-01	4.526605308055877686e-01	2.885233003321373974e-02
6.633026286134179328e-01	4.337018430233001709e-01	2.803663909989862271e-02
6.794242894983544279e-01	4.041555523872375488e-01	2.682747980074198790e-02
6.955459503832910340e-01	3.666839003562927246e-01	2.484991793332320259e-02
7.116676112682275290e-01	3.288685679435729980e-01	2.270650958091157551e-02
7.277892721531641351e-01	2.884185910224914551e-01	2.072615639747204391e-02
7.439109330381006302e-01	2.505022883415222168e-01	1.890314619985985004e-02
7.600325939230372363e-01	2.145516574382781982e-01	1.719235030241981349e-02
7.761542548079737314e-01	1.836396157741546631e-01	1.560618606708796124e-02
7.922759156929103375e-01	1.577830165624618530e-01	1.419381399870012911e-02
8.083975765778468325e-01	1.372031569480895996e-01	1.300372863177962600e-02
8.245192374627833276e-01	1.210268884897232056e-01	1.201615621387360118e-02
8.406408983477199337e-01	1.092404574155807495e-01	1.124711197670844216e-02
8.567625592326564288e-01	1.016974151134490967e-01	1.070607806285434581e-02
8.728842201175930349e-01	9.669584780931472778e-02	1.031230662427318201e-02
8.890058810025295299e-01	9.426426142454147339e-02	1.006686701363974402e-02
9.051275418874661360e-01	9.324775636196136475e-02	9.909786472503156682e-03
9.212492027724026311e-01	9.321548789739608765e-02	9.813386838199215229e-03
9.373708636573391262e-01	9.324022382497787476e-02	9.721482175724877398e-03
9.534925245422757323e-01	9.344704449176788330e-02	9.643822224230375398e-03
9.696141854272122274e-01	9.325698763132095337e-02	9.545767274898656063e-03
9.857358463121488334e-01	9.207832068204879761e-02	9.394072119151537434e-03
1.001857507197085217e+00	9.071149677038192749e-02	9.242591796640740875e-03
1.017979168082021824e+00	8.862789720296859741e-02	9.051641388920821790e-03
1.034100828966958430e+00	8.621611446142196655e-02	8.843885955810940058e-03
1.050222489851894814e+00	8.338708430528640747e-02	8.619253885348135413e-03
1.066344150736831420e+00	8.041877299547195435e-02	8.386660957475653225e-03
1.082465811621768026e+00	7.698930799961090088e-02	8.129443501349871426e-03
1.098587472506704632e+00	7.414971292018890381e-02	7.906973742717208348e-03
1.114709133391641016e+00	7.123121619224548340e-02	7.681957700391209981e-03
1.130830794276577622e+00	6.878993660211563110e-02	7.489569307678512616e-03
1.146952455161514228e+00	6.638237833976745605e-02	7.304136429988480721e-03
1.163074116046450612e+00	6.441449373960494995e-02	7.274466116409757967e-03
1.179195776931387218e+00	6.280910968780517578e-02	7.223286309080935962e-03
1.195317437816323825e+00	6.170367076992988586e-02	7.148205219318389328e-03
1.211439098701260209e+00	6.041393429040908813e-02	7.063890739412312381e-03
1.227560759586196815e+00	5.925369635224342346e-02	6.988798623459026652e-03
1.243682420471133421e+00	5.883907154202461243e-02	6.956344277512485803e-03
1.259804081356070027e+00	5.803430452942848206e-02	6.897194873527910317e-03
1.275925742241006411e+00	5.729802697896957397e-02	6.841026127538452940e-03
1.292047403125943017e+00	5.686800926923751831e-02	6.803153937424286785e-03
1.308169064010879623e+00	5.621128901839256287e-02	6.631827593336917653e-03
1.324290724895816007e+00	5.556537583470344543e-02	6.471432321023691189e-03
1.340412385780752613e+00	5.511968955397605896e-02	6.388676381511183139e-03
1.356534046665689219e+00	5.457672104239463806e-02	6.315877264004629045e-03
1.372655707550625825e+00	5.392387509346008301e-02	6.242412331448363681e-03
1.388777368435562209e+00	5.350509285926818848e-02	6.185627461580838621e-03
1.404899029320498816e+00	5.256640911102294922e-02	6.100358379363117478e-03
1.421020690205435422e+00	5.212854593992233276e-02	6.045449880212768606e-03
1.437142351090372028e+00	5.167564004659652710e-02	5.990355384026052436e-03
1.453264011975308412e+00	5.112151056528091431e-02	5.930568140138551582e-03
1.469385672860245018e+00	5.063827708363533020e-02	5.876958137839540831e-03
1.485507333745181624e+00	5.033963546156883240e-02	5.834189498361331411e-03
