# Normalized	8239 eV	217
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517372972275117804e-01	1.829258918762207031e+01	1.089355617269957666e+00
1.683322765328058579e-01	2.118202209472656250e+01	6.617095876549795586e-01
1.849272558380999354e-01	2.800962829589843750e+01	6.080326821992471098e-01
2.015222351433940129e-01	4.044260787963867188e+01	6.470562375087779428e-01
2.181172144486880904e-01	4.454645538330078125e+01	6.060155287347549491e-01
2.347121937539821679e-01	3.123315048217773438e+01	4.417257169718012411e-01
2.513071730592763009e-01	1.605323791503906250e+01	2.737168736854501128e-01
2.679021523645703784e-01	7.060680389404296875e+00	1.724230415584602216e-01
2.844971316698644559e-01	3.176070213317871094e+00	1.104669488493440349e-01
3.010921109751585334e-01	1.762739896774291992e+00	7.983206163172287817e-02
3.176870902804526109e-01	1.267594933509826660e+00	6.668415454196580106e-02
3.342820695857466884e-01	1.197061300277709961e+00	6.282723075035397120e-02
3.508770488910407659e-01	1.349151611328125000e+00	6.316423566281213764e-02
3.674720281963348434e-01	1.538369536399841309e+00	6.522517240678189776e-02
3.840670075016289209e-01	1.681042790412902832e+00	6.629991565341979143e-02
4.006619868069229984e-01	1.773475527763366699e+00	6.617155435578149503e-02
4.172569661122170759e-01	1.703401088714599609e+00	6.305640904830862870e-02
4.338519454175111534e-01	1.409802556037902832e+00	5.579263213849219860e-02
4.504469247228052309e-01	1.068164467811584473e+00	4.717349203505115385e-02
4.670419040280993084e-01	7.999115586280822754e-01	3.973336353572012175e-02
4.836368833333933859e-01	5.970141291618347168e-01	3.346987054933629746e-02
5.002318626386874634e-01	4.532995820045471191e-01	2.839745490089433042e-02
5.168268419439815409e-01	3.605929613113403320e-01	2.471561518329690177e-02
5.334218212492756184e-01	3.076384067535400391e-01	2.239107224942543661e-02
5.500168005545698069e-01	2.809038758277893066e-01	2.102290066058683585e-02
5.666117798598637734e-01	2.640392184257507324e-01	2.055989543402886657e-02
5.832067591651579619e-01	2.552375793457031250e-01	2.038278565771292974e-02
5.998017384704519284e-01	2.459620237350463867e-01	2.000644678483121455e-02
6.163967177757461169e-01	2.351719439029693604e-01	1.949654282898114280e-02
6.329916970810400834e-01	2.190413326025009155e-01	1.865018569716240734e-02
6.495866763863342719e-01	1.999262720346450806e-01	1.762276009131200777e-02
6.661816556916282384e-01	1.768625080585479736e-01	1.644999789701281565e-02
6.827766349969224269e-01	1.560464203357696533e-01	1.534387466151429860e-02
6.993716143022163934e-01	1.364701092243194580e-01	1.424811152215593735e-02
7.159665936075105819e-01	1.186691299080848694e-01	1.293916982650280753e-02
7.325615729128045484e-01	1.059764251112937927e-01	1.181743486237558059e-02
7.491565522180987369e-01	9.480058401823043823e-02	1.093518662275156685e-02
7.657515315233927033e-01	8.701702207326889038e-02	1.030109737313281495e-02
7.823465108286868919e-01	7.988659292459487915e-02	9.752596694645858724e-03
7.989414901339808583e-01	7.554487884044647217e-02	9.354619925047545290e-03
8.155364694392750469e-01	7.161285728216171265e-02	8.979778890929849752e-03
8.321314487445690133e-01	6.819652020931243896e-02	8.645228654823599451e-03
8.487264280498632019e-01	6.417356431484222412e-02	8.278822776644467404e-03
8.653214073551571683e-01	5.997916311025619507e-02	7.903825601175262089e-03
8.819163866604513569e-01	5.700026452541351318e-02	7.612096132216153443e-03
8.985113659657453233e-01	5.295345559716224670e-02	7.250927383893429091e-03
9.151063452710395119e-01	4.998465254902839661e-02	6.963687862485385717e-03
9.317013245763334783e-01	4.578969255089759827e-02	6.590582856130808818e-03
9.482963038816276669e-01	4.313110932707786560e-02	6.328815071864317236e-03
9.648912831869218554e-01	4.017108306288719177e-02	6.042939893911757759e-03
9.814862624922158219e-01	3.716785088181495667e-02	5.752767422756000990e-03
9.980812417975100104e-01	3.523310273885726929e-02	5.544846512830626899e-03
1.014676221102803977e+00	3.337533026933670044e-02	5.342042140594236745e-03
1.031271200408098165e+00	3.146416321396827698e-02	5.139370623625527830e-03
1.047866179713392132e+00	3.012977354228496552e-02	4.982806611799207863e-03
1.064461159018686320e+00	2.906783297657966614e-02	4.849248127381348104e-03
1.081056138323980287e+00	2.754889987409114838e-02	4.679737099341254626e-03
1.097651117629274475e+00	2.689741738140583038e-02	4.584362725495648612e-03
1.114246096934568442e+00	2.600901387631893158e-02	4.469544018217446422e-03
1.130841076239862630e+00	2.488147653639316559e-02	4.334822084528712482e-03
1.147436055545156597e+00	2.431869320571422577e-02	4.251218162593816199e-03
1.164031034850450563e+00	2.330201491713523865e-02	4.130506556535685526e-03
1.180626014155744752e+00	2.232688665390014648e-02	4.016054236140769937e-03
1.197220993461038718e+00	2.175472676753997803e-02	4.013763070456278018e-03
1.213815972766332907e+00	2.096217311918735504e-02	3.965425318421590163e-03
1.230410952071627095e+00	2.045865729451179504e-02	3.912687134283270030e-03
1.247005931376921062e+00	1.987624540925025940e-02	3.853221374761683048e-03
1.263600910682215250e+00	1.958309859037399292e-02	3.822727134693086701e-03
1.280195889987509217e+00	1.912878267467021942e-02	3.773869633600924773e-03
1.296790869292803405e+00	1.862824894487857819e-02	3.718708449906660794e-03
1.313385848598097372e+00	1.839639060199260712e-02	3.689738248189461736e-03
1.329980827903391560e+00	1.834557764232158661e-02	3.678544782644177936e-03
1.346575807208685527e+00	1.794240623712539673e-02	3.564188131855435242e-03
1.363170786513979715e+00	1.798271760344505310e-02	3.500041968650351512e-03
