# Normalized	8973.0 eV	217
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.652559244913754666e-01	2.203984642028808594e+01	1.196429661026046976e+00
1.833293896666008949e-01	2.802101325988769531e+01	7.648438034486899628e-01
2.014028548418262954e-01	4.002656555175781250e+01	7.355144052089225282e-01
2.194763200170517237e-01	4.232821273803710938e+01	6.563121809405541018e-01
2.375497851922771519e-01	2.697962760925292969e+01	4.474179972815831574e-01
2.556232503675025525e-01	1.224116706848144531e+01	2.560611863031623248e-01
2.736967155427280085e-01	5.255892753601074219e+00	1.458643343238885948e-01
2.917701807179534090e-01	2.654003858566284180e+00	1.010495460898255121e-01
3.098436458931788096e-01	1.800047397613525391e+00	8.135403584282295542e-02
3.279171110684042656e-01	1.725269675254821777e+00	7.860565252670011216e-02
3.459905762436297216e-01	2.101363420486450195e+00	8.662536626781662530e-02
3.640640414188550666e-01	2.482660770416259766e+00	9.189255037669157022e-02
3.821375065940805227e-01	2.706444025039672852e+00	9.092484421027186015e-02
4.002109717693059787e-01	2.823884725570678711e+00	8.967196845138167283e-02
4.182844369445313237e-01	2.635331630706787109e+00	8.382992829988568373e-02
4.363579021197567798e-01	2.089376926422119141e+00	7.183579354341267098e-02
4.544313672949822358e-01	1.519837856292724609e+00	5.905249193628130805e-02
4.725048324702075808e-01	1.088135361671447754e+00	4.843631231752318356e-02
4.905782976454330369e-01	7.845331430435180664e-01	3.995445582853112548e-02
5.086517628206584929e-01	5.874716639518737793e-01	3.369601968624529736e-02
5.267252279958839489e-01	4.696275293827056885e-01	2.944738136373784010e-02
5.447986931711092939e-01	4.096539020538330078e-01	2.686526241904387338e-02
5.628721583463347500e-01	3.766608536243438721e-01	2.520903147653065501e-02
5.809456235215602060e-01	3.546179533004760742e-01	2.403319984985319291e-02
5.990190886967855510e-01	3.406057655811309814e-01	2.316252304442916604e-02
6.170925538720110071e-01	3.222251534461975098e-01	2.272732786129497140e-02
6.351660190472364631e-01	2.974828779697418213e-01	2.200310622561316848e-02
6.532394842224618081e-01	2.670912444591522217e-01	2.082420844849646943e-02
6.713129493976872642e-01	2.338545173406600952e-01	1.939589112173211241e-02
6.893864145729127202e-01	2.006850689649581909e-01	1.779128483044829789e-02
7.074598797481381762e-01	1.731153875589370728e-01	1.633369429721271554e-02
7.255333449233635212e-01	1.514761298894882202e-01	1.516467898234991930e-02
7.436068100985889773e-01	1.329761892557144165e-01	1.411159030201710428e-02
7.616802752738144333e-01	1.187838241457939148e-01	1.324910552069368322e-02
7.797537404490397783e-01	1.088496893644332886e-01	1.235971159789456784e-02
7.978272056242652344e-01	1.004840210080146790e-01	1.148135194586290958e-02
8.159006707994906904e-01	9.440336376428604126e-02	1.089386291631811235e-02
8.339741359747160354e-01	8.894175291061401367e-02	1.039994031138445629e-02
8.520476011499414914e-01	8.358777314424514771e-02	9.964760586890473310e-03
8.701210663251669475e-01	7.894717156887054443e-02	9.552254647517167963e-03
8.881945315003924035e-01	7.414561510086059570e-02	9.126309985638543856e-03
9.062679966756177485e-01	6.930738687515258789e-02	8.703601930963566699e-03
9.243414618508432046e-01	6.458301842212677002e-02	8.293457161233861938e-03
9.424149270260686606e-01	6.012517958879470825e-02	7.902223722608828563e-03
9.604883922012940056e-01	5.586390197277069092e-02	7.523841987760468766e-03
9.785618573765194617e-01	5.199300870299339294e-02	7.173825169503952534e-03
9.966353225517449177e-01	4.910751432180404663e-02	6.891923693807876054e-03
1.014708787726970263e+00	4.664529487490653992e-02	6.644095517648409416e-03
1.032782252902195719e+00	4.417885467410087585e-02	6.398156929841079463e-03
1.050855718077421175e+00	4.248528927564620972e-02	6.209425179894096335e-03
1.068929183252646409e+00	4.068804532289505005e-02	6.015785045087311544e-03
1.087002648427871865e+00	3.914246335625648499e-02	5.841936719253844681e-03
1.105076113603097321e+00	3.754275664687156677e-02	5.663961188553746744e-03
1.123149578778322777e+00	3.654293715953826904e-02	5.538258854510322640e-03
1.141223043953548233e+00	3.551684692502021790e-02	5.410180341373089195e-03
1.159296509128773689e+00	3.415383026003837585e-02	5.256486234552818458e-03
1.177369974303998923e+00	3.200545534491539001e-02	5.043746106794409247e-03
1.195443439479224379e+00	3.096720017492771149e-02	4.918334910672855602e-03
1.213516904654449835e+00	3.032042086124420166e-02	4.825605339096244312e-03
1.231590369829675291e+00	2.891900576651096344e-02	4.673031997552729890e-03
1.249663835004900747e+00	2.776544541120529175e-02	4.541664256329191324e-03
1.267737300180125981e+00	2.729851379990577698e-02	4.470688561836928983e-03
1.285810765355351437e+00	2.638488076627254486e-02	4.366038274931286108e-03
1.303884230530576893e+00	2.606008201837539673e-02	4.393662727464176139e-03
1.321957695705802349e+00	2.527204342186450958e-02	4.354843992576269175e-03
1.340031160881027805e+00	2.456586807966232300e-02	4.288159941704406015e-03
1.358104626056253261e+00	2.437855489552021027e-02	4.268628192086226271e-03
1.376178091231478717e+00	2.387785725295543671e-02	4.222214744910210947e-03
1.394251556406703951e+00	2.366803213953971863e-02	4.199273119310681888e-03
1.412325021581929407e+00	2.348529174923896790e-02	4.177385190572356112e-03
1.430398486757154863e+00	2.307424321770668030e-02	4.134073153404360657e-03
1.448471951932380319e+00	2.261274307966232300e-02	4.085299297053406747e-03
1.466545417107605775e+00	2.264379523694515228e-02	4.005890498348573144e-03
1.484618882282831231e+00	2.199420891702175140e-02	3.871852531295914227e-03
1.502692347458056465e+00	2.203983440995216370e-02	3.841039422227176051e-03
1.520765812633281922e+00	2.165317535400390625e-02	3.781991062519108986e-03
1.538839277808507378e+00	2.168401889503002167e-02	3.763634570843430761e-03
1.556912742983732834e+00	2.150758355855941772e-02	3.728434133018679493e-03
1.574986208158958290e+00	2.135398425161838531e-02	3.697439593216443263e-03
1.593059673334183746e+00	2.173949778079986572e-02	3.713102786588078335e-03
1.611133138509409202e+00	2.134875021874904633e-02	3.661679449368496122e-03
1.629206603684634436e+00	2.133261039853096008e-02	3.643735168101080307e-03
1.647280068859859892e+00	2.154983952641487122e-02	3.646970703892267636e-03
1.665353534035085348e+00	2.170349098742008209e-02	3.644139626829905054e-03
1.683426999210310804e+00	2.169181779026985168e-02	3.627138505059481453e-03
1.701500464385536260e+00	2.187998034060001373e-02	3.628360941357889387e-03
1.719573929560761716e+00	2.167671732604503632e-02	3.595756189186226012e-03
1.737647394735986950e+00	2.187124080955982208e-02	3.592172985166871071e-03
1.755720859911212406e+00	2.213177457451820374e-02	3.589497548181273465e-03
1.773794325086437862e+00	2.223534137010574341e-02	3.565199500472719489e-03
1.791867790261663318e+00	2.225287258625030518e-02	3.529967327264047633e-03
1.809941255436888774e+00	2.234606258571147919e-02	3.502836035182008839e-03
1.828014720612114230e+00	2.238240279257297516e-02	3.475430222762130195e-03
1.846088185787339464e+00	2.271425165235996246e-02	3.471932664729338903e-03
1.864161650962564920e+00	2.311148867011070251e-02	3.474653927075153480e-03
1.882235116137790376e+00	2.310678921639919281e-02	3.443976783724980381e-03
1.900308581313015832e+00	2.332887053489685059e-02	3.431862880750860632e-03
1.918382046488241288e+00	2.334243059158325195e-02	3.405888399807903075e-03
1.936455511663466744e+00	2.394250780344009399e-02	3.425106152534232017e-03
1.954528976838692200e+00	2.416451647877693176e-02	3.420669258615072379e-03
1.972602442013917434e+00	2.409334853291511536e-02	3.397634336176523755e-03
1.990675907189142890e+00	2.420398034155368805e-02	3.388135719446898775e-03
2.008749372364368568e+00	2.451420947909355164e-02	3.393741161959487520e-03
2.026822837539593802e+00	2.458001114428043365e-02	3.380396651492572485e-03
2.044896302714819480e+00	2.502126432955265045e-02	3.393969085492650004e-03
2.062969767890044714e+00	2.509750053286552429e-02	3.382581631601035317e-03
2.081043233065269948e+00	2.533175237476825714e-02	3.382685052186552681e-03
2.099116698240495626e+00	2.532465010881423950e-02	3.365791986696908128e-03
2.117190163415720860e+00	2.542932145297527313e-02	3.356525170692446249e-03
2.135263628590946539e+00	2.600568532943725586e-02	3.378920232468596990e-03
2.153337093766171773e+00	2.607985772192478180e-02	3.368386436888999493e-03
2.171410558941397451e+00	2.652310766279697418e-02	3.381739284919307257e-03
2.189484024116622685e+00	2.648227103054523468e-02	3.364154675435203270e-03
2.207557489291848363e+00	2.685691602528095245e-02	3.372935375281159529e-03
2.225630954467073597e+00	2.686564251780509949e-02	3.359102238759063830e-03
2.243704419642299275e+00	2.707333303987979889e-02	3.357026448282185178e-03
2.261777884817524509e+00	2.716358192265033722e-02	3.348724203201489027e-03
2.279851349992749743e+00	2.753192931413650513e-02	3.356772543853365608e-03
2.297924815167975421e+00	2.748090960085391998e-02	3.339601351745072940e-03
2.315998280343200655e+00	2.764697931706905365e-02	3.335367145652049989e-03
2.334071745518426333e+00	2.797474525868892670e-02	3.341782737378672617e-03
2.352145210693651567e+00	2.821592055261135101e-02	3.342703470081020804e-03
2.370218675868876801e+00	2.833681181073188782e-02	3.336323018516832144e-03
2.388292141044102479e+00	2.847486734390258789e-02	3.330690848455074293e-03
2.406365606219327713e+00	2.887061424553394318e-02	3.339969877313263627e-03
2.424439071394553391e+00	2.889047004282474518e-02	3.328229352039573097e-03
2.442512536569778625e+00	2.922970429062843323e-02	3.334501423925129507e-03
2.460586001745004303e+00	2.938039228320121765e-02	3.330379124619845324e-03
2.478659466920229537e+00	2.961044199764728546e-02	3.330330023792985213e-03
2.496732932095454771e+00	2.961312048137187958e-02	3.317822742580745377e-03
2.514806397270680449e+00	2.990987710654735565e-02	3.321973751190099473e-03
2.532879862445905683e+00	2.993323095142841339e-02	3.310372811710430001e-03
2.550953327621131361e+00	3.016836382448673248e-02	3.311119481442084938e-03
2.569026792796356595e+00	3.032359294593334198e-02	3.307418840207766112e-03
2.587100257971582273e+00	3.059259988367557526e-02	3.305878602613161570e-03
2.605173723146807507e+00	3.045871295034885406e-02	3.283449343362524527e-03
2.623247188322032741e+00	3.090939298272132874e-02	3.295796626842846435e-03
2.641320653497258419e+00	3.109958767890930176e-02	3.294069697192832276e-03
2.659394118672483653e+00	3.114988841116428375e-02	3.284938303928263900e-03
2.677467583847709331e+00	3.126449510455131531e-02	3.304026984756740400e-03
2.695541049022934565e+00	3.131413832306861877e-02	3.335845137973529780e-03
2.713614514198159799e+00	3.144140914082527161e-02	3.353864623108882437e-03
2.731687979373385478e+00	3.184663131833076477e-02	3.384011352901593935e-03
2.749761444548610712e+00	3.159512951970100403e-02	3.376203909363452958e-03
2.767834909723836390e+00	3.176343068480491638e-02	3.389769510327717526e-03
