# Normalized	10000.0 eV	223
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697148967067765e-01	5.392880630493164062e+01	1.983014434632288214e+00
2.043117153216008064e-01	4.754336547851562500e+01	1.080559957211860267e+00
2.244537157464948640e-01	4.003249740600585938e+01	7.852235328602016340e-01
2.445957161713888939e-01	3.301609039306640625e+01	6.105694482298896775e-01
2.647377165962829237e-01	2.668786239624023438e+01	4.777563176018572721e-01
2.848797170211769814e-01	2.108716201782226562e+01	3.737463308258074379e-01
3.050217174460709835e-01	1.655385780334472656e+01	2.959699740578821681e-01
3.251637178709650411e-01	1.247581672668457031e+01	2.499766334566677628e-01
3.453057182958590987e-01	9.031038284301757812e+00	2.048902682508276785e-01
3.654477187207531008e-01	6.347044944763183594e+00	1.656079157296645732e-01
3.855897191456471029e-01	4.371333599090576172e+00	1.334359198253624867e-01
4.057317195705412161e-01	2.973443508148193359e+00	1.048419054923654392e-01
4.258737199954352182e-01	2.022524118423461914e+00	8.038236062972041462e-02
4.460157204203292203e-01	1.376306891441345215e+00	6.294430974442803695e-02
4.661577208452233334e-01	9.720132350921630859e-01	5.067570444966874171e-02
4.862997212701173355e-01	7.386310100555419922e-01	4.247249920000748663e-02
5.064417216950113376e-01	6.179255247116088867e-01	3.761459808297745039e-02
5.265837221199054508e-01	5.686680674552917480e-01	3.522072819828458989e-02
5.467257225447994529e-01	5.518001317977905273e-01	3.394900209556372256e-02
5.668677229696934550e-01	5.462279915809631348e-01	3.312265662539759514e-02
5.870097233945874571e-01	5.392528772354125977e-01	3.230622674947521145e-02
6.071517238194815702e-01	5.192313790321350098e-01	3.102269775330748769e-02
6.272937242443755723e-01	4.897623658180236816e-01	2.949135041238195448e-02
6.474357246692695744e-01	4.554904699325561523e-01	2.792553306208945402e-02
6.675777250941636876e-01	4.128023386001586914e-01	2.609818195956882872e-02
6.877197255190576897e-01	3.679226040840148926e-01	2.479592693493001820e-02
7.078617259439516918e-01	3.260834813117980957e-01	2.347450417194544767e-02
7.280037263688456939e-01	2.855345904827117920e-01	2.190681057960346470e-02
7.481457267937398070e-01	2.502056360244750977e-01	2.039188491116967344e-02
7.682877272186338091e-01	2.205147147178649902e-01	1.894631448311174041e-02
7.884297276435278112e-01	1.955003291368484497e-01	1.762653431590567588e-02
8.085717280684219244e-01	1.760254204273223877e-01	1.659491847586887572e-02
8.287137284933159265e-01	1.616515070199966431e-01	1.579386647996593174e-02
8.488557289182099286e-01	1.494716256856918335e-01	1.508492725613206319e-02
8.689977293431040417e-01	1.398036181926727295e-01	1.421838327597217330e-02
8.891397297679980438e-01	1.323369741439819336e-01	1.337920861925336220e-02
9.092817301928920459e-01	1.263682991266250610e-01	1.280001208578493248e-02
9.294237306177861591e-01	1.204256638884544373e-01	1.228963886097539371e-02
9.495657310426801612e-01	1.140796169638633728e-01	1.182040876309086753e-02
9.697077314675741633e-01	1.092152222990989685e-01	1.140812693333415062e-02
9.898497318924681654e-01	1.052867844700813293e-01	1.104466436996809353e-02
1.009991732317362390e+00	1.010853797197341919e-01	1.067646348035629529e-02
1.030133732742256392e+00	9.705130010843276978e-02	1.032800625633920229e-02
1.050275733167150394e+00	9.287307411432266235e-02	9.978033624629543269e-03
1.070417733592044396e+00	8.950675278902053833e-02	9.677729701345314656e-03
1.090559734016938398e+00	8.631952106952667236e-02	9.394802980031126405e-03
1.110701734441832400e+00	8.380968123674392700e-02	9.152567797169820080e-03
1.130843734866726624e+00	8.135481923818588257e-02	8.920723780778242601e-03
1.150985735291620626e+00	7.917841523885726929e-02	8.709614382372259794e-03
1.171127735716514628e+00	7.737565785646438599e-02	8.521736169340179273e-03
1.191269736141408631e+00	7.511638104915618896e-02	8.312487744811592957e-03
1.211411736566302633e+00	7.344564050436019897e-02	8.138880564864690859e-03
1.231553736991196635e+00	7.190389931201934814e-02	7.973433821730645590e-03
1.251695737416090637e+00	7.064571231603622437e-02	7.833529894120044162e-03
1.271837737840984639e+00	6.951316446065902710e-02	7.700499050755794071e-03
1.291979738265878863e+00	6.852277368307113647e-02	7.576677557399058745e-03
