# 223_7000.0_eV_Tif_383_Norm.dat	c0_Subtracted c0=	0.037903547213061384
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189696504384197e-01	7.493286824233771881e+01	2.304121812321611174e+00
1.430183876667701914e-01	7.033003926284553131e+01	1.289215817369015804e+00
1.571178056831019632e-01	6.487572407729865631e+01	9.848973763027936146e-01
1.712172236994337071e-01	5.912162327773810944e+01	8.116337178902882643e-01
1.853166417157655066e-01	5.287632679946662506e+01	6.745427433820664342e-01
1.994160597320972506e-01	4.711930775649787506e+01	5.674444611418856255e-01
2.135154777484290223e-01	4.177900242812873444e+01	4.838162307012269236e-01
2.276148957647607940e-01	3.645662999160529694e+01	4.449825982379282396e-01
2.417143137810925657e-01	3.171190571792365631e+01	4.051040531041202319e-01
2.558137317974243374e-01	2.714648938186408600e+01	3.654725801004409247e-01
2.699131498137561369e-01	2.305761075027228912e+01	3.299602545399132336e-01
2.840125678300878809e-01	1.941955304153205475e+01	2.908148774941043402e-01
2.981119858464196248e-01	1.619924473769904694e+01	2.488125429990603876e-01
3.122114038627513688e-01	1.336715245254279871e+01	2.153657734057609352e-01
3.263108218790831683e-01	1.085858082778693934e+01	1.858911802783924372e-01
3.404102398954149677e-01	8.690572977139966682e+00	1.592363640489175558e-01
3.545096579117467117e-01	6.882138967587963840e+00	1.361733965673435631e-01
3.686090759280784557e-01	5.374525785520092747e+00	1.162286312497078367e-01
3.827084939444102551e-01	4.134820699765698215e+00	9.861020922613121520e-02
3.968079119607419991e-01	3.147132396771923801e+00	8.342437995174542542e-02
4.109073299770737986e-01	2.362329006268994114e+00	7.024392940103318939e-02
4.250067479934055426e-01	1.768135786130444531e+00	5.903051731669462648e-02
4.391061660097373420e-01	1.323416113927380566e+00	4.974575500892906149e-02
4.532055840260690860e-01	1.001083731725232129e+00	4.238838112804999697e-02
4.673050020424008300e-01	7.758458257460756347e-01	3.666454199501326117e-02
4.814044200587326294e-01	6.277612448477907225e-01	3.329727381181830231e-02
4.955038380750643734e-01	5.364362598204774901e-01	3.108605083906912023e-02
5.096032560913961174e-01	4.817150831961793389e-01	2.951311868643095859e-02
5.237026741077279723e-01	4.551962912821931329e-01	2.864025023623804900e-02
5.378020921240597163e-01	4.445204735541505303e-01	2.809809139381002838e-02
5.519015101403914603e-01	4.410618842387361016e-01	2.772674520249420946e-02
5.660009281567233153e-01	4.385786355281037774e-01	2.749179809303867530e-02
5.801003461730549482e-01	4.360010922694367852e-01	2.726987413893848522e-02
5.941997641893868032e-01	4.285916090750855889e-01	2.690304719864586303e-02
6.082991822057185471e-01	4.155895710730714288e-01	2.587195932273108484e-02
6.223986002220502911e-01	3.998154998564881768e-01	2.459561261749521402e-02
6.364980182383821461e-01	3.784589172148866143e-01	2.348282941198379450e-02
6.505974362547137790e-01	3.539657593512696709e-01	2.239848003753113978e-02
6.646968542710456340e-01	3.271192312979859795e-01	2.135158035172494279e-02
6.787962722873774890e-01	2.989577949786347832e-01	2.021459648756454217e-02
6.928956903037091219e-01	2.697051168227357354e-01	1.902500046750746701e-02
7.069951083200409769e-01	2.427509427809876885e-01	1.790851173419231307e-02
7.210945263363726099e-01	2.175970376277131524e-01	1.685113960676455636e-02
7.351939443527044649e-01	1.937061697983903374e-01	1.582812543416491774e-02
7.492933623690363198e-01	1.727503836894196954e-01	1.489739178490478641e-02
7.633927803853679528e-01	1.541483253979844537e-01	1.404696136645890332e-02
