# 223_8239.0_eV_Tif_419.dat	c0_Subtracted c0=	0.03429274965970508
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517373003233184192e-01	5.613549179623873187e+01	2.041186414862556031e+00
1.683322808144483151e-01	5.126203293393404437e+01	1.141384076592050878e+00
1.849272613055782111e-01	4.597519058774263812e+01	8.636995677164875929e-01
2.015222417967081348e-01	4.057179016660005999e+01	7.009073464640732665e-01
2.181172222878380307e-01	3.479966492245943499e+01	5.694764289630671605e-01
2.347122027789679266e-01	2.977655357907564593e+01	4.682317435767249791e-01
2.513071832700978225e-01	2.525427574704439593e+01	3.889045345292624911e-01
2.679021637612277185e-01	2.092083305905611468e+01	3.458830283677093997e-01
2.844971442523576144e-01	1.701995224545748187e+01	3.020345347258863167e-01
3.010921247434875103e-01	1.361605686734468890e+01	2.614651845202295433e-01
3.176871052346174062e-01	1.073973412106783343e+01	2.258760358787565148e-01
3.342820857257473022e-01	8.355154462559532647e+00	1.901017725135813186e-01
3.508770662168771981e-01	6.411440797550988613e+00	1.550546125826064714e-01
3.674720467080071495e-01	4.845014043553185878e+00	1.277643288223911933e-01
3.840670271991369900e-01	3.572633691532921763e+00	1.046077423460533284e-01
4.006620076902669414e-01	2.586090989811730356e+00	8.496578134125698512e-02
4.172569881813967818e-01	1.855100103123497934e+00	6.908210906719304545e-02
4.338519686725267333e-01	1.320433684094262095e+00	5.637051397411825537e-02
4.504469491636565737e-01	9.403057772949457993e-01	4.620282132464070129e-02
4.670419296547865251e-01	6.909242350891352524e-01	3.867712428544321790e-02
4.836369101459163655e-01	5.318561870887995591e-01	3.328515734531736769e-02
5.002318906370463170e-01	4.404972572162867417e-01	2.970180027950969012e-02
5.168268711281761574e-01	3.919451613262415757e-01	2.750563780911639486e-02
5.334218516193061088e-01	3.696976382568598618e-01	2.630753051862364661e-02
5.500168321104360603e-01	3.604727465942622056e-01	2.558424572344650955e-02
5.666118126015659007e-01	3.546401042774439683e-01	2.562443955269512116e-02
5.832067930926958521e-01	3.522057015732050766e-01	2.576018345873113541e-02
5.998017735838256925e-01	3.428506631687403550e-01	2.543995506677323298e-02
6.163967540749556440e-01	3.293792683914423813e-01	2.489050162371727465e-02
6.329917345660854844e-01	3.119282204941035141e-01	2.406969225028439754e-02
6.495867150572154358e-01	2.897913534477473130e-01	2.302758127539316149e-02
6.661816955483452762e-01	2.645114142730952134e-01	2.193794851120061534e-02
6.827766760394752277e-01	2.394847650364161362e-01	2.084337883615753478e-02
6.993716565306051791e-01	2.138912309244395127e-01	1.969353249442621842e-02
7.159666370217350195e-01	1.879854429796458115e-01	1.814384365815763928e-02
7.325616175128649710e-01	1.655563194587946763e-01	1.662065848545362517e-02
7.491565980039948114e-01	1.461093653276682724e-01	1.544063715520335896e-02
7.657515784951247628e-01	1.285346526935816636e-01	1.440974225458743589e-02
7.823465589862546032e-01	1.140810776785136094e-01	1.358047548784418329e-02
7.989415394773845547e-01	1.023160148695231308e-01	1.284253832678651681e-02
8.155365199685143951e-01	9.237626980097302098e-02	1.218409109711319702e-02
8.321315004596443465e-01	8.480107824356564183e-02	1.165002989882059012e-02
8.487264809507741870e-01	7.819430570156582494e-02	1.117413035274743976e-02
8.653214614419041384e-01	7.292883883268841405e-02	1.077296893580729185e-02
8.819164419330339788e-01	6.858059803993710180e-02	1.042417522498949485e-02
8.985114224241639302e-01	6.455395410807140966e-02	1.009987779563812499e-02
9.151064029152937707e-01	6.134981702120312352e-02	9.821754776507565093e-03
9.317013834064237221e-01	5.795893858225353856e-02	9.541238425438317017e-03
9.482963638975536735e-01	5.524494539053448339e-02	9.302076251010546817e-03
9.648913443886835140e-01	5.208090732843884130e-02	9.040534214647809319e-03
9.814863248798134654e-01	4.942441771776684423e-02	8.811046955490228066e-03
9.980813053709433058e-01	4.718866984398373265e-02	8.606559633808932158e-03
1.014676285862073257e+00	4.471297602207668920e-02	8.389602522525659370e-03
1.031271266353203098e+00	4.228047321589001317e-02	8.184485519171143600e-03
1.047866246844332938e+00	4.050003032238491674e-02	8.014907792408390574e-03
1.064461227335462778e+00	3.846935222895153661e-02	7.832484146564724567e-03
1.081056207826592841e+00	3.687705884726055761e-02	7.680232730731794029e-03
1.097651188317722681e+00	3.528142760546215673e-02	7.528083767074275276e-03
1.114246168808852522e+00	3.375530283005245824e-02	7.381736301046051656e-03
1.130841149299982362e+00	3.232041041405209203e-02	7.242908618086746006e-03
1.147436129791112425e+00	3.095808665306576390e-02	7.110860096891835798e-03
1.164031110282242265e+00	3.010303567202099462e-02	7.013218977201358777e-03
1.180626090773372106e+00	2.892585883886822362e-02	6.903020053553822130e-03
1.197221071264502168e+00	2.790874655396946569e-02	6.930250375866377731e-03
1.213816051755632008e+00	2.721114124209889074e-02	6.935236091431348608e-03
1.230411032246761849e+00	2.655754650981434484e-02	6.889811535921261387e-03
1.247006012737891911e+00	2.552113722116955419e-02	6.824336457468887715e-03
1.263600993229021752e+00	2.467526163012989660e-02	6.771524952894775358e-03
