# 223_TestPorod	Resonant
# q	I-Resonant
# nm-1	cm-1
1.534133333808537225e-01	1.407947792043366952e-01
1.700041132878795103e-01	1.511922522998699614e-01
1.865948931949053258e-01	1.593852613755676051e-01
2.031856731019311135e-01	1.406935287904128862e-01
2.197764530089569290e-01	1.505717907774258013e-01
2.363672329159827168e-01	1.234187834094081226e-01
2.529580128230085045e-01	8.878665908276919816e-02
2.695487927300342923e-01	7.531617103458232432e-02
2.861395726370601356e-01	5.556387559334599602e-02
3.027303525440858678e-01	4.312925040960126355e-02
3.193211324511117111e-01	3.532483138776154608e-02
3.359119123581374988e-01	2.564500117110390248e-02
3.525026922651632866e-01	1.646203467517347308e-02
3.690934721721891298e-01	1.018947288581967606e-02
3.856842520792148621e-01	6.279777540263194700e-03
4.022750319862407054e-01	4.679832975265842999e-03
4.188658118932664931e-01	3.469300662613855092e-03
4.354565918002922809e-01	3.164492577996750808e-03
4.520473717073180686e-01	1.853439252975116894e-03
4.686381516143439119e-01	1.785484416459049914e-03
4.852289315213696996e-01	1.865885072630401329e-03
5.018197114283955429e-01	2.024414577820132875e-03
5.184104913354212751e-01	2.121817994857664799e-03
5.350012712424470074e-01	2.295630277297999993e-03
5.515920511494728506e-01	2.457214059033780134e-03
5.681828310564986939e-01	2.282258127069811821e-03
5.847736109635244262e-01	2.262288992079834835e-03
6.013643908705502694e-01	2.081617504592123309e-03
6.179551707775761127e-01	1.933286257484636032e-03
6.345459506846018449e-01	1.797441549293633464e-03
6.511367305916276882e-01	1.641074640239785628e-03
6.677275104986534204e-01	1.439273025634697084e-03
6.843182904056792637e-01	1.382472512890763105e-03
7.009090703127051070e-01	1.183272815500918500e-03
7.174998502197308392e-01	1.051621690227726299e-03
7.340906301267566825e-01	8.173344598694599677e-04
7.506814100337824147e-01	6.848078188110624147e-04
7.672721899408082580e-01	6.251721652494279758e-04
7.838629698478341012e-01	6.118985291580192028e-04
8.004537497548598335e-01	5.125062626662431689e-04
8.170445296618856768e-01	3.553963115668473107e-04
8.336353095689114090e-01	3.526061993921182050e-04
8.502260894759372523e-01	3.858156551789149917e-04
8.668168693829630955e-01	3.069549986192024829e-04
8.834076492899888278e-01	3.016463325680586276e-04
8.999984291970146710e-01	3.866435499812262422e-04
9.165892091040404033e-01	3.897594687622221742e-04
9.331799890110662465e-01	3.290734616642391574e-04
9.497707689180919788e-01	2.756303742842346974e-04
9.663615488251178220e-01	2.376379159517148809e-04
9.829523287321436653e-01	2.672600757651782694e-04
9.995431086391693976e-01	2.600172346582102089e-04
