# Normalized	10000.0 eV	AgBeh
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697148967067765e-01	2.914354858398437500e+02	4.380507752592449400e+00
2.043117153216008064e-01	2.175976257324218750e+02	2.111809468743060858e+00
2.244537157464948640e-01	1.552991790771484375e+02	1.381808808618865347e+00
2.445957161713888939e-01	1.145299682617187500e+02	1.003857671055382372e+00
2.647377165962829237e-01	8.566697692871093750e+01	7.498080155630930665e-01
2.848797170211769814e-01	6.572396087646484375e+01	5.764585200388766539e-01
3.050217174460709835e-01	5.242264556884765625e+01	4.610290857268646292e-01
3.251637178709650411e-01	4.150871658325195312e+01	4.059856674826635703e-01
3.453057182958590987e-01	3.279070281982421875e+01	3.536467131413506548e-01
3.654477187207531008e-01	2.644422721862792969e+01	3.116412402040109608e-01
3.855897191456471029e-01	2.149633407592773438e+01	2.774074820596648672e-01
4.057317195705412161e-01	1.776985549926757812e+01	2.436407723721230878e-01
4.258737199954352182e-01	1.500929355621337891e+01	2.105092907154506587e-01
4.460157204203292203e-01	1.276272392272949219e+01	1.862241836766258540e-01
4.661577208452233334e-01	1.086713123321533203e+01	1.659245780926668357e-01
4.862997212701173355e-01	9.307088851928710938e+00	1.483236509207932763e-01
5.064417216950113376e-01	8.167303085327148438e+00	1.347996018429616083e-01
5.265837221199054508e-01	7.089305400848388672e+00	1.224596247667312371e-01
5.467257225447994529e-01	6.299096107482910156e+00	1.127332896593734174e-01
5.668677229696934550e-01	5.535614013671875000e+00	1.033576233871562056e-01
5.870097233945874571e-01	4.939463615417480469e+00	9.562967804883079626e-02
6.071517238194815702e-01	4.441511631011962891e+00	8.862286892288505358e-02
6.272937242443755723e-01	4.031189441680908203e+00	8.259966254747390380e-02
6.474357246692695744e-01	3.669188261032104492e+00	7.738047389224561590e-02
6.675777250941636876e-01	3.368018150329589844e+00	7.284897914711821465e-02
6.877197255190576897e-01	3.110696315765380859e+00	7.059951664970623431e-02
7.078617259439516918e-01	2.890462160110473633e+00	6.857860683410176017e-02
7.280037263688456939e-01	2.675363063812255859e+00	6.592948192056664880e-02
7.481457267937398070e-01	2.562860727310180664e+00	6.431292503559223050e-02
7.682877272186338091e-01	2.413800954818725586e+00	6.187559983400593017e-02
7.884297276435278112e-01	2.340377330780029297e+00	6.031244226582020002e-02
8.085717280684219244e-01	2.238534212112426758e+00	5.860224163967749783e-02
8.287137284933159265e-01	2.214351177215576172e+00	5.796431417684959342e-02
8.488557289182099286e-01	2.254461526870727539e+00	5.818641846567587650e-02
8.689977293431040417e-01	2.336148500442504883e+00	5.781538803586237091e-02
8.891397297679980438e-01	2.462022066116333008e+00	5.749598413173987593e-02
9.092817301928920459e-01	2.723283767700195312e+00	5.934432899585318638e-02
9.294237306177861591e-01	3.151245832443237305e+00	6.300022897531652732e-02
9.495657310426801612e-01	3.893662214279174805e+00	6.955655441065689004e-02
9.697077314675741633e-01	5.124453544616699219e+00	7.925763165038270108e-02
9.898497318924681654e-01	7.391720771789550781e+00	9.484387307451377924e-02
1.009991732317362390e+00	1.176718616485595703e+01	1.199646077510524433e-01
1.030133732742256392e+00	1.990419006347656250e+01	1.575885863846486490e-01
1.050275733167150394e+00	3.337833023071289062e+01	2.074118002673683847e-01
1.070417733592044396e+00	4.528869247436523438e+01	2.437810460362588028e-01
1.090559734016938398e+00	4.077939605712890625e+01	2.274678115211936913e-01
1.110701734441832400e+00	2.455273818969726562e+01	1.695881863548528434e-01
1.130843734866726624e+00	1.257302093505859375e+01	1.165436265846424291e-01
1.150985735291620626e+00	6.932653903961181641e+00	8.396252046157073878e-02
1.171127735716514628e+00	4.241754055023193359e+00	6.418107997039325385e-02
1.191269736141408631e+00	2.931511163711547852e+00	5.242004246067646228e-02
1.211411736566302633e+00	2.171623706817626953e+00	4.443711527853213411e-02
1.231553736991196635e+00	1.723321795463562012e+00	3.905442367763845707e-02
1.251695737416090637e+00	1.391489267349243164e+00	3.467825687043914890e-02
1.271837737840984639e+00	1.170501708984375000e+00	3.144906194404992195e-02
1.291979738265878863e+00	1.009143471717834473e+00	2.888685308546599592e-02
1.312121738690772865e+00	8.843251466751098633e-01	2.677479867539845834e-02
1.332263739115666867e+00	7.712337970733642578e-01	2.475584694927310606e-02
1.352405739540560869e+00	6.817802190780639648e-01	2.305276045216947053e-02
1.372547739965454872e+00	6.133538484573364258e-01	2.166524420582883678e-02
1.392689740390348874e+00	5.734390020370483398e-01	2.077087111655835303e-02
1.412831740815243098e+00	5.239958167076110840e-01	1.969691272070652616e-02
1.432973741240137100e+00	4.808942675590515137e-01	1.873375299901927291e-02
1.453115741665031102e+00	4.499274194240570068e-01	1.833770866380438069e-02
