# Normalized	10000 eV	AgBeh
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697267451812003e-01	2.914354553222656250e+02	4.380503956282397304e+00
2.043117271404169821e-01	2.175975799560546875e+02	2.111808799457939312e+00
2.244537275356527362e-01	1.552991485595703125e+02	1.381808478588829603e+00
2.445957279308885179e-01	1.145299453735351562e+02	1.003857470356492199e+00
2.647377283261242997e-01	8.566696166992187500e+01	7.498078736716848880e-01
2.848797287213600815e-01	6.572394561767578125e+01	5.764584147573933448e-01
3.050217291165958633e-01	5.242263793945312500e+01	4.610290311181495237e-01
3.251637295118315896e-01	4.150871276855468750e+01	4.059856370416121130e-01
3.453057299070674269e-01	3.279069900512695312e+01	3.536466829143856683e-01
3.654477303023031531e-01	2.644422340393066406e+01	3.116412198967287717e-01
3.855897306975389904e-01	2.149633216857910156e+01	2.774074643753469682e-01
4.057317310927747167e-01	1.776985359191894531e+01	2.436407449720707497e-01
4.258737314880104985e-01	1.500929260253906250e+01	2.105092732036945857e-01
4.460157318832462803e-01	1.276272296905517578e+01	1.862241683969088069e-01
4.661577322784820065e-01	1.086712932586669922e+01	1.659245613206825898e-01
4.862997326737178438e-01	9.307087898254394531e+00	1.483236380546282540e-01
5.064417330689535701e-01	8.167302131652832031e+00	1.347995949094688561e-01
5.265837334641894074e-01	7.089304447174072266e+00	1.224596129531309863e-01
5.467257338594251337e-01	6.299095630645751953e+00	1.127332861420379806e-01
5.668677342546609710e-01	5.535613536834716797e+00	1.033576156881639979e-01
5.870097346498966973e-01	4.939463138580322266e+00	9.562967102331718094e-02
6.071517350451324235e-01	4.441511631011962891e+00	8.862286501487444401e-02
6.272937354403682608e-01	4.031188964843750000e+00	8.259965834174343158e-02
6.474357358356039871e-01	3.669188022613525391e+00	7.738046934954542766e-02
6.675777362308398244e-01	3.368018150329589844e+00	7.284897596328912539e-02
6.877197366260755507e-01	3.110696077346801758e+00	7.059951460595657868e-02
7.078617370213112769e-01	2.890461921691894531e+00	6.857860527271146533e-02
7.280037374165471142e-01	2.675362825393676758e+00	6.592947909128149542e-02
7.481457378117828405e-01	2.562860488891601562e+00	6.431292413771293182e-02
7.682877382070186778e-01	2.413800954818725586e+00	6.187559964231033327e-02
7.884297386022544041e-01	2.340377330780029297e+00	6.031243905126961596e-02
8.085717389974902414e-01	2.238534212112426758e+00	5.860223914238311960e-02
8.287137393927259676e-01	2.214351177215576172e+00	5.796431413863125520e-02
8.488557397879616939e-01	2.254461526870727539e+00	5.818641903988917147e-02
8.689977401831975312e-01	2.336148500442504883e+00	5.781538664442481545e-02
8.891397405784332575e-01	2.462022066116333008e+00	5.749598540385107009e-02
9.092817409736690948e-01	2.723284244537353516e+00	5.934433077964370445e-02
9.294237413689048211e-01	3.151246309280395508e+00	6.300023388698912374e-02
9.495657417641406584e-01	3.893662929534912109e+00	6.955656197986591349e-02
9.697077421593763846e-01	5.124454975128173828e+00	7.925764246531999402e-02
9.898497425546122219e-01	7.391724109649658203e+00	9.484389299105581983e-02
1.009991742949847948e+00	1.176719188690185547e+01	1.199646353574464613e-01
1.030133743345083674e+00	1.990419960021972656e+01	1.575886307222578997e-01
1.050275743740319623e+00	3.337834548950195312e+01	2.074118513841330114e-01
1.070417744135555349e+00	4.528870010375976562e+01	2.437810583197540515e-01
1.090559744530791075e+00	4.077938461303710938e+01	2.274677629933291034e-01
1.110701744926026802e+00	2.455272293090820312e+01	1.695881357688269753e-01
1.130843745321262750e+00	1.257301235198974609e+01	1.165435845768236778e-01
1.150985745716498476e+00	6.932650089263916016e+00	8.396249440163920663e-02
1.171127746111734202e+00	4.241752624511718750e+00	6.418106738975193348e-02
1.191269746506969929e+00	2.931510210037231445e+00	5.242003083089832871e-02
1.211411746902205655e+00	2.171622991561889648e+00	4.443711019145520774e-02
1.231553747297441381e+00	1.723321437835693359e+00	3.905441717689822623e-02
1.251695747692677330e+00	1.391489028930664062e+00	3.467825412846261418e-02
1.271837748087913056e+00	1.170501470565795898e+00	3.144905803804710909e-02
1.291979748483148782e+00	1.009143352508544922e+00	2.888685145970371418e-02
1.312121748878384508e+00	8.843250274658203125e-01	2.677479582155140730e-02
1.332263749273620235e+00	7.712336778640747070e-01	2.475584462674290318e-02
1.352405749668856183e+00	6.817801594734191895e-01	2.305275907296428992e-02
1.372547750064091909e+00	6.133537888526916504e-01	2.166524334405420249e-02
1.392689750459327636e+00	5.734389424324035645e-01	2.077086991317193126e-02
1.412831750854563362e+00	5.239957571029663086e-01	1.969691160368301081e-02
1.432973751249799310e+00	4.808942377567291260e-01	1.873375176127761374e-02
1.453115751645035036e+00	4.499274194240570068e-01	1.833770866823833737e-02
1.473257752040270763e+00	4.367176592350006104e-01	1.818233583138331028e-02
1.493399752435506489e+00	3.973512351512908936e-01	1.731087850767290201e-02
1.513541752830742215e+00	3.775383234024047852e-01	1.685504940491586515e-02
1.533683753225978164e+00	3.572613894939422607e-01	1.638196229604211782e-02
1.553825753621213890e+00	3.449869453907012939e-01	1.607793369161384170e-02
1.573967754016449616e+00	3.263523280620574951e-01	1.561067670479299348e-02
1.594109754411685342e+00	3.152304887771606445e-01	1.531569071834321810e-02
1.614251754806921291e+00	3.136328756809234619e-01	1.525131159416765261e-02
1.634393755202157017e+00	3.051649332046508789e-01	1.473898944839067277e-02
1.654535755597392743e+00	2.979499101638793945e-01	1.428348873838583034e-02
1.674677755992628470e+00	2.861477732658386230e-01	1.386777080357626431e-02
1.694819756387864196e+00	2.804259657859802246e-01	1.363721554600195833e-02
1.714961756783100144e+00	2.702925205230712891e-01	1.331042817203290443e-02
1.735103757178335870e+00	2.663496136665344238e-01	1.314237896664158245e-02
1.755245757573571597e+00	2.539588510990142822e-01	1.276827095545261109e-02
1.775387757968807323e+00	2.471141368150711060e-01	1.253182442946298471e-02
1.795529758364043271e+00	2.486006021499633789e-01	1.251043384020207073e-02
1.815671758759278998e+00	2.484659850597381592e-01	1.245054619126098432e-02
1.835813759154514724e+00	2.520158886909484863e-01	1.248740861513444704e-02
1.855955759549750450e+00	2.498439401388168335e-01	1.237844671135438640e-02
1.876097759944986176e+00	2.526334226131439209e-01	1.239375143225428418e-02
1.896239760340222125e+00	2.593699991703033447e-01	1.250981051061668403e-02
1.916381760735457851e+00	2.716992795467376709e-01	1.275345953602228383e-02
1.936523761130693577e+00	2.950258553028106689e-01	1.322527863508219347e-02
1.956665761525929303e+00	3.204376399517059326e-01	1.370010646949424045e-02
1.976807761921165030e+00	3.620213866233825684e-01	1.444527908878402885e-02
1.996949762316400978e+00	4.157116115093231201e-01	1.534134637259640561e-02
2.017091762711636704e+00	5.403262972831726074e-01	1.736864958029313288e-02
2.037233763106872431e+00	7.141688466072082520e-01	1.986521776309748202e-02
2.057375763502108157e+00	1.022030949592590332e+00	2.368902587319663550e-02
2.077517763897344327e+00	1.554747939109802246e+00	2.920397355397306299e-02
2.097659764292580054e+00	2.473204612731933594e+00	3.689534341560070374e-02
2.117801764687815780e+00	3.899934768676757812e+00	4.653977523798727423e-02
2.137943765083051506e+00	5.707345008850097656e+00	5.660404510193255134e-02
2.158085765478287232e+00	6.735176563262939453e+00	6.146360060412706106e-02
2.178227765873522959e+00	5.480480194091796875e+00	5.469831119137196634e-02
2.198369766268758685e+00	3.265338659286499023e+00	4.130500042718191628e-02
2.218511766663994411e+00	1.794221997261047363e+00	3.000886186570346156e-02
2.238653767059230137e+00	1.050010919570922852e+00	2.261283522109152483e-02
2.258795767454465864e+00	6.916749477386474609e-01	1.814004140016929612e-02
2.278937767849701590e+00	4.997335076332092285e-01	1.527773400441599129e-02
2.299079768244937316e+00	3.908354043960571289e-01	1.340782846882807369e-02
2.319221768640173487e+00	3.341585993766784668e-01	1.231983857136305545e-02
2.339363769035409213e+00	2.862142026424407959e-01	1.132975419765364263e-02
2.359505769430644939e+00	2.570716142654418945e-01	1.067513493320215029e-02
2.379647769825880665e+00	2.348596304655075073e-01	1.014720511156380275e-02
2.399789770221116392e+00	2.099465280771255493e-01	9.541260644779061065e-03
2.419931770616352118e+00	1.992907971143722534e-01	9.249192330019962577e-03
2.440073771011587844e+00	1.869954466819763184e-01	8.915213469989602749e-03
2.460215771406823571e+00	1.821733862161636353e-01	8.757746969555313052e-03
2.480357771802059297e+00	1.691527515649795532e-01	8.398175282075702117e-03
2.500499772197295467e+00	1.651162058115005493e-01	8.258174704177879272e-03
2.520641772592531193e+00	1.630544364452362061e-01	8.171407616820813499e-03
2.540783772987766920e+00	1.606840640306472778e-01	8.074683505622286261e-03
2.560925773383002646e+00	1.548211127519607544e-01	7.890640493610457176e-03
2.581067773778238372e+00	1.552912592887878418e-01	7.868418151505844615e-03
2.601209774173474099e+00	1.510396748781204224e-01	7.726638864659107417e-03
2.621351774568709825e+00	1.478310525417327881e-01	7.611526625083121951e-03
2.641493774963945551e+00	1.425473242998123169e-01	7.441681582154044926e-03
2.661635775359181277e+00	1.406894326210021973e-01	7.361431576367870842e-03
2.681777775754417448e+00	1.453822851181030273e-01	7.452977362075271194e-03
2.701919776149653174e+00	1.423976868391036987e-01	7.346323444907646404e-03
2.722061776544888900e+00	1.399229764938354492e-01	7.251546167057391565e-03
2.742203776940124627e+00	1.382392793893814087e-01	7.179232656661272034e-03
2.762345777335360353e+00	1.392385661602020264e-01	7.176601004856315337e-03
2.782487777730596079e+00	1.424220949411392212e-01	7.231589081601773154e-03
