# Normalized	AgBeh	7000.0 eV
# q in nm-1	I in cm-1	poisson_error
1.289189696504384197e-01	1.341622070312500000e+03	9.495170289804082842e+00
1.430183876667701914e-01	9.666911621093750000e+02	4.514719480876046909e+00
1.571178056831019632e-01	6.692534179687500000e+02	2.908972171860588318e+00
1.712172236994337071e-01	4.722406005859375000e+02	2.063239610933487178e+00
1.853166417157655066e-01	3.394511718750000000e+02	1.507936644190351227e+00
1.994160597320972506e-01	2.520547485351562500e+02	1.138782942224302763e+00
2.135154777484290223e-01	1.935043640136718750e+02	8.919494040489505116e-01
2.276148957647607940e-01	1.512125549316406250e+02	7.793389984453669150e-01
2.417143137810925657e-01	1.202542266845703125e+02	6.809422413268561014e-01
2.558137317974243374e-01	9.674880981445312500e+01	5.990228040060232573e-01
2.699131498137561369e-01	7.898248291015625000e+01	5.342006388243014658e-01
2.840125678300878809e-01	6.526199340820312500e+01	4.689410481777687711e-01
2.981119858464196248e-01	5.439632797241210938e+01	4.023020054949973945e-01
3.122114038627513688e-01	4.573286437988281250e+01	3.537186066123528816e-01
3.263108218790831683e-01	3.880322647094726562e+01	3.145298679130172914e-01
3.404102398954149677e-01	3.298896408081054688e+01	2.800444222543121975e-01
3.545096579117467117e-01	2.830194664001464844e+01	2.514920305090419528e-01
3.686090759280784557e-01	2.447424888610839844e+01	2.279991840642695278e-01
3.827084939444102551e-01	2.128550338745117188e+01	2.075455489886962046e-01
3.968079119607419991e-01	1.869231986999511719e+01	1.902024262170150526e-01
4.109073299770737986e-01	1.635322189331054688e+01	1.741766055894432563e-01
4.250067479934055426e-01	1.448386859893798828e+01	1.601480914488995211e-01
4.391061660097373420e-01	1.290061855316162109e+01	1.478120873242121103e-01
4.532055840260690860e-01	1.147597312927246094e+01	1.368379038828317351e-01
4.673050020424008300e-01	1.026817321777343750e+01	1.271342076364603557e-01
4.814044200587326294e-01	9.196963310241699219e+00	1.212758853957431188e-01
4.955038380750643734e-01	8.302445411682128906e+00	1.160696503202676005e-01
5.096032560913961174e-01	7.508593082427978516e+00	1.102700701040012637e-01
5.237026741077279723e-01	6.827634811401367188e+00	1.047284664109585234e-01
5.378020921240597163e-01	6.258879184722900391e+00	9.937518803265138478e-02
5.519015101403914603e-01	5.717930793762207031e+00	9.395511093771381772e-02
5.660009281567233153e-01	5.267547607421875000e+00	8.955632187187696769e-02
5.801003461730549482e-01	4.880835056304931641e+00	8.566512223162159323e-02
5.941997641893868032e-01	4.510176658630371094e+00	8.182705011841541476e-02
6.082991822057185471e-01	4.198046684265136719e+00	7.694303725404846861e-02
6.223986002220502911e-01	3.915723323822021484e+00	7.185309632347944286e-02
6.364980182383821461e-01	3.682141780853271484e+00	6.820669794491682203e-02
6.505974362547137790e-01	3.467503309249877930e+00	6.509664189929788292e-02
6.646968542710456340e-01	3.279080152511596680e+00	6.256800792858414895e-02
6.787962722873774890e-01	3.068477630615234375e+00	5.969269155159173668e-02
6.928956903037091219e-01	2.924095630645751953e+00	5.745386375071306895e-02
7.069951083200409769e-01	2.793026924133300781e+00	5.539798285956953200e-02
7.210945263363726099e-01	2.660716772079467773e+00	5.338212630544040410e-02
7.351939443527044649e-01	2.563678026199340820e+00	5.176028083407654273e-02
7.492933623690363198e-01	2.448734760284423828e+00	4.997779584655661494e-02
7.633927803853679528e-01	2.364150524139404297e+00	4.854816313770284053e-02
7.774921984016998078e-01	2.298810243606567383e+00	4.733416109857857546e-02
7.915916164180314407e-01	2.230356693267822266e+00	4.612570663355882589e-02
8.056910344343632957e-01	2.195600509643554688e+00	4.529877768502392488e-02
8.197904524506951507e-01	2.168284654617309570e+00	4.456057765922972341e-02
8.338898704670267836e-01	2.153598070144653320e+00	4.397827496017917004e-02
8.479892884833586386e-01	2.169851779937744141e+00	4.372490845843902962e-02
8.620887064996902716e-01	2.199765920639038086e+00	4.360636836189836496e-02
8.761881245160221265e-01	2.269256591796875000e+00	4.392099918411424692e-02
8.902875425323539815e-01	2.368740081787109375e+00	4.449729639135015929e-02
9.043869605486856145e-01	2.521626234054565430e+00	4.553637119824861107e-02
9.184863785650174695e-01	2.735167026519775391e+00	4.707923307795860990e-02
9.325857965813491024e-01	3.048762559890747070e+00	4.935730541168914520e-02
9.466852145976809574e-01	3.505463123321533203e+00	5.258896314374720410e-02
9.607846326140128124e-01	4.192911148071289062e+00	5.720402850707991677e-02
9.748840506303444453e-01	5.197434425354003906e+00	6.341643950710443289e-02
9.889834686466763003e-01	6.706364631652832031e+00	7.186512882964717075e-02
1.003082886663008155e+00	9.045690536499023438e+00	8.346177311415513278e-02
1.017182304679339788e+00	1.261161804199218750e+01	1.005564381269788976e-01
1.031281722695671643e+00	1.821748924255371094e+01	1.229009007685295807e-01
1.045381140712003276e+00	2.641691970825195312e+01	1.496984758634440082e-01
1.059480558728335131e+00	3.597853088378906250e+01	1.767190731371971746e-01
1.073579976744666986e+00	4.221144104003906250e+01	1.926811106582876354e-01
1.087679394760998619e+00	3.910022735595703125e+01	1.846463697578449581e-01
1.101778812777330474e+00	2.843118095397949219e+01	1.552319801284153533e-01
1.115878230793662107e+00	1.809083557128906250e+01	1.217570523254168924e-01
1.129977648809993962e+00	1.133996105194091797e+01	9.501476854001053574e-02
1.144077066826325817e+00	7.364980220794677734e+00	7.435514001645732174e-02
1.158176484842657450e+00	5.098312854766845703e+00	6.028997662180354128e-02
1.172275902858989305e+00	3.746270179748535156e+00	5.096818912207171093e-02
1.186375320875321160e+00	2.894397020339965820e+00	4.434891338381293652e-02
