# Normalized	8324.0 eV	AgBeh
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.533027402487101842e-01	6.316088867187500000e+02	6.492255364894892189e+00
1.700689274230457460e-01	4.564756774902343750e+02	3.086388045138718894e+00
1.868351145973813354e-01	3.204805603027343750e+02	2.003120684297749587e+00
2.036013017717168971e-01	2.312568817138671875e+02	1.438232497964785805e+00
2.203674889460524589e-01	1.682972564697265625e+02	1.058317212103450755e+00
2.371336761203880483e-01	1.272504119873046875e+02	8.071974114243655185e-01
2.538998632947235823e-01	9.986516571044921875e+01	6.398820303268503151e-01
2.706660504690591718e-01	7.772960662841796875e+01	5.579808263525379841e-01
2.874322376433947612e-01	6.091693496704101562e+01	4.837816343347282055e-01
3.041984248177302952e-01	4.855549621582031250e+01	4.235405068836206044e-01
3.209646119920659402e-01	3.906455993652343750e+01	3.748601578696592052e-01
3.377307991664014741e-01	3.181200981140136719e+01	3.265906971759879873e-01
3.544969863407370081e-01	2.631806182861328125e+01	2.790990437834326987e-01
3.712631735150726531e-01	2.179864501953125000e+01	2.435046028438344334e-01
3.880293606894081870e-01	1.818087196350097656e+01	2.146158215860605456e-01
4.047955478637437210e-01	1.527945995330810547e+01	1.899637006723864097e-01
4.215617350380793660e-01	1.285253715515136719e+01	1.688739569156834930e-01
4.383279222124148999e-01	1.091376495361328125e+01	1.516797639402744091e-01
4.550941093867504339e-01	9.249901771545410156e+00	1.362566980973793085e-01
4.718602965610860789e-01	7.941168785095214844e+00	1.234351320230106103e-01
4.886264837354216128e-01	6.727186203002929688e+00	1.111884446439442842e-01
5.053926709097571468e-01	5.768824100494384766e+00	1.005595509904475549e-01
5.221588580840927918e-01	4.914698600769042969e+00	9.072576773350285451e-02
5.389250452584283257e-01	4.219240665435791016e+00	8.248509240629882389e-02
5.556912324327638597e-01	3.621042251586914062e+00	7.502805856449923372e-02
5.724574196070995047e-01	3.137575864791870117e+00	7.039195628392491688e-02
5.892236067814350386e-01	2.679229736328125000e+00	6.550369858665054668e-02
6.059897939557706836e-01	2.243957996368408203e+00	5.985596396585695506e-02
6.227559811301062176e-01	1.922808527946472168e+00	5.516864422443336358e-02
6.395221683044417516e-01	1.623646140098571777e+00	5.021640412401549153e-02
6.562883554787772855e-01	1.380967140197753906e+00	4.579403302834784278e-02
6.730545426531129305e-01	1.157878279685974121e+00	4.162270648771841663e-02
6.898207298274484645e-01	9.861750006675720215e-01	3.815807710049765739e-02
7.065869170017839984e-01	8.381297588348388672e-01	3.494501825687728463e-02
7.233531041761196434e-01	6.884569525718688965e-01	3.084613773055521965e-02
7.401192913504551774e-01	6.171951889991760254e-01	2.823350575197687562e-02
7.568854785247907113e-01	5.202932953834533691e-01	2.536143478078303065e-02
7.736516656991263563e-01	4.310753643512725830e-01	2.269100086835939070e-02
7.904178528734618903e-01	3.820208907127380371e-01	2.110961946914301224e-02
8.071840400477974242e-01	3.551700711250305176e-01	2.007803796936966784e-02
8.239502272221330692e-01	3.439367413520812988e-01	1.948454219925855810e-02
8.407164143964686032e-01	3.707895278930664062e-01	1.997386404505965482e-02
8.574826015708041371e-01	4.177728295326232910e-01	2.095347367295032764e-02
8.742487887451397821e-01	5.260470509529113770e-01	2.326430862054627846e-02
8.910149759194753161e-01	6.385064125061035156e-01	2.536522426849656051e-02
9.077811630938108500e-01	8.503080010414123535e-01	2.901099428422194981e-02
9.245473502681464950e-01	1.172882556915283203e+00	3.379608431054028500e-02
9.413135374424820290e-01	1.662539958953857422e+00	3.996967166073127353e-02
9.580797246168175629e-01	2.472925424575805664e+00	4.851256702874549159e-02
9.748459117911532079e-01	3.680523395538330078e+00	5.897392513627270488e-02
9.916120989654887419e-01	5.650897026062011719e+00	7.299882976080251940e-02
1.008378286139824498e+00	9.112349510192871094e+00	9.293059408049268721e-02
1.025144473314159921e+00	1.487507438659667969e+01	1.194604410013590107e-01
1.041910660488495566e+00	2.426180839538574219e+01	1.542965929969549455e-01
1.058676847662831211e+00	3.624096298217773438e+01	1.907619012487431764e-01
1.075443034837166634e+00	4.300719451904296875e+01	2.081288308973433809e-01
1.092209222011502279e+00	3.620274734497070312e+01	1.876871829052886853e-01
1.108975409185837924e+00	2.237589073181152344e+01	1.429830586317487051e-01
1.125741596360173347e+00	1.211370849609375000e+01	1.019315636282020349e-01
1.142507783534508992e+00	6.536671161651611328e+00	7.296464773107706747e-02
1.159273970708844415e+00	3.669024229049682617e+00	5.355598192158100845e-02
1.176040157883180060e+00	2.074059963226318359e+00	3.959868436106842721e-02
1.192806345057515705e+00	1.144384860992431641e+00	2.900406326535854770e-02
1.209572532231851127e+00	5.757042765617370605e-01	2.069632944770694732e-02
1.226338719406186772e+00	1.829060465097427368e-01	1.166344386362192995e-02
1.243104906580522417e+00	-9.305977821350097656e-02	nan
1.259871093754857840e+00	-2.811222076416015625e-01	nan
1.276637280929193485e+00	-4.137294888496398926e-01	nan
1.293403468103529130e+00	-5.363959670066833496e-01	nan
1.310169655277864553e+00	-6.145911216735839844e-01	nan
1.326935842452200198e+00	-7.032344341278076172e-01	nan
1.343702029626535843e+00	-7.648037672042846680e-01	nan
1.360468216800871266e+00	-8.150188922882080078e-01	nan
1.377234403975206911e+00	-8.546535372734069824e-01	nan
1.394000591149542556e+00	-8.804141283035278320e-01	nan
1.410766778323877979e+00	-9.035725593566894531e-01	nan
1.427532965498213624e+00	-9.279257655143737793e-01	nan
1.444299152672549269e+00	-9.464429616928100586e-01	nan
1.461065339846884692e+00	-9.597551822662353516e-01	nan
1.477831527021220337e+00	-9.687586426734924316e-01	nan
1.494597714195555982e+00	-9.731063246726989746e-01	nan
1.511363901369891405e+00	-9.722122550010681152e-01	nan
1.528130088544227050e+00	-9.814276099205017090e-01	nan
1.544896275718562695e+00	-9.850458502769470215e-01	nan
1.561662462892898118e+00	-9.883661270141601562e-01	nan
1.578428650067233763e+00	-9.833442568778991699e-01	nan
1.595194837241569408e+00	-9.826756119728088379e-01	nan
1.611961024415904831e+00	-9.831555485725402832e-01	nan
1.628727211590240476e+00	-9.772568345069885254e-01	nan
1.645493398764576121e+00	-9.683308601379394531e-01	nan
1.662259585938911544e+00	-9.684577584266662598e-01	nan
1.679025773113247189e+00	-9.689468741416931152e-01	nan
1.695791960287582834e+00	-9.628003239631652832e-01	nan
1.712558147461918256e+00	-9.584490656852722168e-01	nan
1.729324334636253901e+00	-9.506813883781433105e-01	nan
1.746090521810589546e+00	-9.503919482231140137e-01	nan
1.762856708984924969e+00	-9.383918642997741699e-01	nan
1.779622896159260614e+00	-9.320728778839111328e-01	nan
1.796389083333596259e+00	-9.236590862274169922e-01	nan
1.813155270507931904e+00	-9.069892764091491699e-01	nan
1.829921457682267327e+00	-8.992385268211364746e-01	nan
1.846687644856602972e+00	-8.888660669326782227e-01	nan
1.863453832030938617e+00	-8.725693225860595703e-01	nan
1.880220019205274040e+00	-8.636207580566406250e-01	nan
1.896986206379609685e+00	-8.446509838104248047e-01	nan
1.913752393553945330e+00	-8.215209245681762695e-01	nan
1.930518580728280753e+00	-8.019667267799377441e-01	nan
1.947284767902616398e+00	-7.769694328308105469e-01	nan
1.964050955076952043e+00	-7.381042838096618652e-01	nan
1.980817142251287466e+00	-6.853255033493041992e-01	nan
1.997583329425623111e+00	-6.185742020606994629e-01	nan
2.014349516599958978e+00	-5.245198011398315430e-01	nan
2.031115703774294179e+00	-3.848401904106140137e-01	nan
2.047881890948629824e+00	-1.779138296842575073e-01	nan
