# q in nm-1	I	poisson_error
1.652559244913754666e-01	4.643811645507812500e+02	5.488093392297806794e+00
1.833293896666008949e-01	3.417753295898437500e+02	2.614709565508891664e+00
2.014028548418262954e-01	2.415195922851562500e+02	1.699936072896634398e+00
2.194763200170517237e-01	1.749826507568359375e+02	1.223040756799997020e+00
2.375497851922771519e-01	1.303867034912109375e+02	9.116405676916711220e-01
2.556232503675025525e-01	9.915019226074218750e+01	6.975818476333833784e-01
2.736967155427280085e-01	7.859349822998046875e+01	5.560678639512693922e-01
2.917701807179534090e-01	6.215631484985351562e+01	4.901132352580671592e-01
3.098436458931788096e-01	4.927943420410156250e+01	4.282878619417127553e-01
3.279171110684042656e-01	3.926390457153320312e+01	3.754144152436800219e-01
3.459905762436297216e-01	3.221937561035156250e+01	3.361626326192869718e-01
3.640640414188550666e-01	2.648669624328613281e+01	2.945683520285704571e-01
3.821375065940805227e-01	2.221321868896484375e+01	2.536236626920573278e-01
4.002109717693059787e-01	1.874856376647949219e+01	2.235829228589188700e-01
4.182844369445313237e-01	1.600715637207031250e+01	1.995753272678527646e-01
4.363579021197567798e-01	1.366098213195800781e+01	1.781461343311640522e-01
4.544313672949822358e-01	1.179818344116210938e+01	1.606177211878948574e-01
4.725048324702075808e-01	1.032962322235107422e+01	1.466232594098907938e-01
4.905782976454330369e-01	9.042293548583984375e+00	1.339792042642898584e-01
5.086517628206584929e-01	7.919057846069335938e+00	1.226603213025929395e-01
5.267252279958839489e-01	7.077367782592773438e+00	1.136129999324106687e-01
5.447986931711092939e-01	6.296277046203613281e+00	1.047346092482888402e-01
5.628721583463347500e-01	5.670355319976806641e+00	9.724588609383877369e-02
5.809456235215602060e-01	5.123287677764892578e+00	9.077616377644560919e-02
5.990190886967855510e-01	4.591482162475585938e+00	8.443119560905050502e-02
6.170925538720110071e-01	4.194274902343750000e+00	8.139209244711456681e-02
6.351660190472364631e-01	3.843167066574096680e+00	7.852230295220713474e-02
6.532394842224618081e-01	3.523663997650146484e+00	7.514422663206125896e-02
6.713129493976872642e-01	3.269375801086425781e+00	7.212344204011793269e-02
6.893864145729127202e-01	3.033113241195678711e+00	6.886766820172252057e-02
7.074598797481381762e-01	2.859484672546386719e+00	6.617537021118140295e-02
7.255333449233635212e-01	2.719126224517822266e+00	6.411496177064605895e-02
7.436068100985889773e-01	2.560651779174804688e+00	6.184503126350834185e-02
7.616802752738144333e-01	2.420853376388549805e+00	5.977253791409298939e-02
7.797537404490397783e-01	2.336417913436889648e+00	5.725423694408557362e-02
7.978272056242652344e-01	2.274887323379516602e+00	5.465075352033922640e-02
8.159006707994906904e-01	2.258728265762329102e+00	5.333799894180311918e-02
8.339741359747160354e-01	2.247756242752075195e+00	5.236138505663297249e-02
8.520476011499414914e-01	2.245865345001220703e+00	5.176219141011469821e-02
8.701210663251669475e-01	2.325079441070556641e+00	5.199918375280538491e-02
8.881945315003924035e-01	2.478569507598876953e+00	5.300092318803859004e-02
9.062679966756177485e-01	2.663532733917236328e+00	5.427958061064346029e-02
9.243414618508432046e-01	3.010559797286987305e+00	5.709238016912730057e-02
9.424149270260686606e-01	3.554209709167480469e+00	6.144322015853378310e-02
9.604883922012940056e-01	4.405788421630859375e+00	6.784453312627558574e-02
9.785618573765194617e-01	5.827078819274902344e+00	7.754752811578495553e-02
9.966353225517449177e-01	8.391842842102050781e+00	9.274631193892712844e-02
1.014708787726970263e+00	1.286921596527099609e+01	1.149076309398441853e-01
1.032782252902195719e+00	2.083403396606445312e+01	1.469823879319800131e-01
1.050855718077421175e+00	3.279530715942382812e+01	1.859320531031685986e-01
1.068929183252646409e+00	4.376520919799804688e+01	2.157498338722270981e-01
1.087002648427871865e+00	4.173015213012695312e+01	2.083276642263535705e-01
1.105076113603097321e+00	2.774279785156250000e+01	1.652646617432149689e-01
1.123149578778322777e+00	1.538954639434814453e+01	1.194985608301963043e-01
1.141223043953548233e+00	8.677292823791503906e+00	8.755622886989966602e-02
1.159296509128773689e+00	5.342182636260986328e+00	6.738705425151558792e-02
1.177369974303998923e+00	3.625622987747192383e+00	5.468333076465734660e-02
1.195443439479224379e+00	2.663229227066040039e+00	4.626161306612015106e-02
1.213516904654449835e+00	2.053598642349243164e+00	4.015096122494239000e-02
1.231590369829675291e+00	1.658687233924865723e+00	3.570370050505308063e-02
1.249663835004900747e+00	1.393185615539550781e+00	3.240490634839365142e-02
1.267737300180125981e+00	1.186533451080322266e+00	2.964484073023402125e-02
1.285810765355351437e+00	1.022641301155090332e+00	2.730730948523591925e-02
1.303884230530576893e+00	9.045939445495605469e-01	2.597853813977032272e-02
1.321957695705802349e+00	8.039886355400085449e-01	2.463103199576215097e-02
1.340031160881027805e+00	7.283635139465332031e-01	2.340079886659604536e-02
1.358104626056253261e+00	6.572789549827575684e-01	2.219731386908415857e-02
1.376178091231478717e+00	6.046403050422668457e-01	2.126830290621117142e-02
1.394251556406703951e+00	5.542128682136535645e-01	2.033009339426479836e-02
1.412325021581929407e+00	5.155271887779235840e-01	1.957290091992798520e-02
1.430398486757154863e+00	4.828649163246154785e-01	1.890680458947356993e-02
1.448471951932380319e+00	4.628459811210632324e-01	1.847556760593563330e-02
1.466545417107605775e+00	4.327237010002136230e-01	1.749742516795963279e-02
1.484618882282831231e+00	4.086590707302093506e-01	1.667300090906614560e-02
1.502692347458056465e+00	3.883669078350067139e-01	1.610243709333714426e-02
1.520765812633281922e+00	3.731511533260345459e-01	1.567733950270190635e-02
1.538839277808507378e+00	3.574871122837066650e-01	1.525534568009144498e-02
1.556912742983732834e+00	3.513565659523010254e-01	1.504302707542047243e-02
1.574986208158958290e+00	3.388816118240356445e-01	1.470088513913242120e-02
1.593059673334183746e+00	3.234452605247497559e-01	1.428895423268795525e-02
1.611133138509409202e+00	3.230440914630889893e-01	1.421208593004617306e-02
1.629206603684634436e+00	3.045266568660736084e-01	1.373176753786740575e-02
1.647280068859859892e+00	2.986362874507904053e-01	1.353909959722115856e-02
1.665353534035085348e+00	2.972572147846221924e-01	1.344830106405978283e-02
1.683426999210310804e+00	2.847068309783935547e-01	1.310029718896061138e-02
1.701500464385536260e+00	2.791123092174530029e-01	1.291710605856138082e-02
1.719573929560761716e+00	2.761606872081756592e-01	1.279265301169197309e-02
1.737647394735986950e+00	2.750769555568695068e-01	1.269667048550232602e-02
1.755720859911212406e+00	2.674070596694946289e-01	1.243204943081380881e-02
