# q in nm-1	I	poisson_error
1.841697148967067765e-01	-5.784170627593994141e-01	nan
2.043117153216008064e-01	-4.915526211261749268e-01	nan
2.244537157464948640e-01	-4.163634181022644043e-01	nan
2.445957161713888939e-01	-3.618317246437072754e-01	nan
2.647377165962829237e-01	-3.241041302680969238e-01	nan
2.848797170211769814e-01	-2.942498326301574707e-01	nan
3.050217174460709835e-01	-2.758737802505493164e-01	nan
3.251637178709650411e-01	-2.591386735439300537e-01	nan
3.453057182958590987e-01	-2.460977435111999512e-01	nan
3.654477187207531008e-01	-2.357707172632217407e-01	nan
3.855897191456471029e-01	-2.271607369184494019e-01	nan
4.057317195705412161e-01	-2.188618183135986328e-01	nan
4.258737199954352182e-01	-2.120732367038726807e-01	nan
4.460157204203292203e-01	-2.063319385051727295e-01	nan
4.661577208452233334e-01	-2.021955549716949463e-01	nan
4.862997212701173355e-01	-1.971160173416137695e-01	nan
5.064417216950113376e-01	-1.937673836946487427e-01	nan
5.265837221199054508e-01	-1.905569136142730713e-01	nan
5.467257225447994529e-01	-1.875984370708465576e-01	nan
5.668677229696934550e-01	-1.849125325679779053e-01	nan
5.870097233945874571e-01	-1.822680532932281494e-01	nan
6.071517238194815702e-01	-1.795827299356460571e-01	nan
6.272937242443755723e-01	-1.768784373998641968e-01	nan
6.474357246692695744e-01	-1.742947697639465332e-01	nan
6.675777250941636876e-01	-1.721218824386596680e-01	nan
6.877197255190576897e-01	-1.699002534151077271e-01	nan
7.078617259439516918e-01	-1.679093837738037109e-01	nan
7.280037263688456939e-01	-1.656692326068878174e-01	nan
7.481457267937398070e-01	-1.639815121889114380e-01	nan
7.682877272186338091e-01	-1.618872433900833130e-01	nan
7.884297276435278112e-01	-1.600793153047561646e-01	nan
8.085717280684219244e-01	-1.586290150880813599e-01	nan
8.287137284933159265e-01	-1.564520746469497681e-01	nan
8.488557289182099286e-01	-1.550573557615280151e-01	nan
8.689977293431040417e-01	-1.538269817829132080e-01	nan
8.891397297679980438e-01	-1.524542868137359619e-01	nan
9.092817301928920459e-01	-1.507258564233779907e-01	nan
9.294237306177861591e-01	-1.493222564458847046e-01	nan
9.495657310426801612e-01	-1.480416506528854370e-01	nan
9.697077314675741633e-01	-1.463480740785598755e-01	nan
9.898497318924681654e-01	-1.446578651666641235e-01	nan
1.009991732317362390e+00	-1.434010565280914307e-01	nan
1.030133732742256392e+00	-1.422564089298248291e-01	nan
1.050275733167150394e+00	-1.406413912773132324e-01	nan
1.070417733592044396e+00	-1.393106132745742798e-01	nan
1.090559734016938398e+00	-1.381637156009674072e-01	nan
1.110701734441832400e+00	-1.367527544498443604e-01	nan
1.130843734866726624e+00	-1.356045752763748169e-01	nan
1.150985735291620626e+00	-1.344782561063766479e-01	nan
1.171127735716514628e+00	-1.328662484884262085e-01	nan
1.191269736141408631e+00	-1.317436397075653076e-01	nan
1.211411736566302633e+00	-1.306851953268051147e-01	nan
1.231553736991196635e+00	-1.295618116855621338e-01	nan
1.251695737416090637e+00	-1.284041553735733032e-01	nan
1.271837737840984639e+00	-1.268247067928314209e-01	nan
1.291979738265878863e+00	-1.259158253669738770e-01	nan
1.312121738690772865e+00	-1.246673688292503357e-01	nan
1.332263739115666867e+00	-1.237444728612899780e-01	nan
1.352405739540560869e+00	-1.225695386528968811e-01	nan
1.372547739965454872e+00	-1.211330294609069824e-01	nan
1.392689740390348874e+00	-1.203190237283706665e-01	nan
1.412831740815243098e+00	-1.188234910368919373e-01	nan
1.432973741240137100e+00	-1.178101077675819397e-01	nan
1.453115741665031102e+00	-1.164987832307815552e-01	nan
1.473257742089925104e+00	-1.152929216623306274e-01	nan
1.493399742514819106e+00	-1.140014082193374634e-01	nan
