# Normalized	10000.0 eV	Empty Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697148967067765e-01	5.879150237888097763e-03	1.873037907438651964e-02
2.043117153216008064e-01	6.274802144616842270e-03	1.049997031523790952e-02
2.244537157464948640e-01	5.960271228104829788e-03	7.870547298648708501e-03
2.445957161713888939e-01	6.201291456818580627e-03	6.784980255104960077e-03
2.647377165962829237e-01	6.177202332764863968e-03	5.849767844695765232e-03
2.848797170211769814e-01	5.984115879982709885e-03	5.056299942331090105e-03
3.050217174460709835e-01	6.130686029791831970e-03	4.585955298439985464e-03
3.251637178709650411e-01	5.778097081929445267e-03	4.445930333121728834e-03
3.453057182958590987e-01	5.689333658665418625e-03	4.356383095393850068e-03
3.654477187207531008e-01	5.790851078927516937e-03	4.339835878485879747e-03
3.855897191456471029e-01	5.805399268865585327e-03	4.314898655595010742e-03
4.057317195705412161e-01	5.794087424874305725e-03	4.179272689346758864e-03
4.258737199954352182e-01	5.776814650744199753e-03	3.928983640012535632e-03
4.460157204203292203e-01	5.697377026081085205e-03	3.751713809930457607e-03
4.661577208452233334e-01	5.771169904619455338e-03	3.655100780147302331e-03
4.862997212701173355e-01	5.722473841160535812e-03	3.523531642420108315e-03
5.064417216950113376e-01	5.624252837151288986e-03	3.394859814002941078e-03
5.265837221199054508e-01	5.584802478551864624e-03	3.305751166786073236e-03
5.467257225447994529e-01	5.656657274812459946e-03	3.254563976043591250e-03
5.668677229696934550e-01	5.710247904062271118e-03	3.204099269797570752e-03
5.870097233945874571e-01	5.676126573234796524e-03	3.133732669724545103e-03
6.071517238194815702e-01	5.474027711898088455e-03	3.011148731067610478e-03
6.272937242443755723e-01	5.582194309681653976e-03	2.978244125950228662e-03
6.474357246692695744e-01	5.497191101312637329e-03	2.905298426290241990e-03
6.675777250941636876e-01	5.543738603591918945e-03	2.869770443654985799e-03
6.877197255190576897e-01	5.648622289299964905e-03	2.925953900838798756e-03
7.078617259439516918e-01	5.514054093509912491e-03	2.917072343641997825e-03
7.280037263688456939e-01	5.512360017746686935e-03	2.917948643012668788e-03
7.481457267937398070e-01	5.507360678166151047e-03	2.908522101018307625e-03
7.682877272186338091e-01	5.484013352543115616e-03	2.879192595867007681e-03
7.884297276435278112e-01	5.394641309976577759e-03	2.827283951600819724e-03
8.085717280684219244e-01	5.329619627445936203e-03	2.793206367679531687e-03
8.287137284933159265e-01	5.438371095806360245e-03	2.806256110079820287e-03
8.488557289182099286e-01	5.449148360639810562e-03	2.793548890422148639e-03
8.689977293431040417e-01	5.344858393073081970e-03	2.697387109792610208e-03
8.891397297679980438e-01	5.306288599967956543e-03	2.599227044894614029e-03
9.092817301928920459e-01	5.250370129942893982e-03	2.531697115880624394e-03
9.294237306177861591e-01	5.322965327650308609e-03	2.508151603787259470e-03
9.495657310426801612e-01	5.335850641131401062e-03	2.483092530827845333e-03
