# q in nm-1	I	poisson_error
1.289189696504384197e-01	9.937027469277381897e-03	2.433115267776548435e-02
1.430183876667701914e-01	1.015735510736703873e-02	1.333838178523637924e-02
1.571178056831019632e-01	9.188394993543624878e-03	9.752949060952172469e-03
1.712172236994337071e-01	8.205248974263668060e-03	7.786107268195427249e-03
1.853166417157655066e-01	7.526190951466560364e-03	6.439269479969659572e-03
1.994160597320972506e-01	7.242408581078052521e-03	5.545442615798899105e-03
2.135154777484290223e-01	7.113270461559295654e-03	4.922641300274179822e-03
2.276148957647607940e-01	6.861488334834575653e-03	4.828472741988221184e-03
2.417143137810925657e-01	6.742552388459444046e-03	4.726402743672481442e-03
2.558137317974243374e-01	6.614173762500286102e-03	4.622011310451615458e-03
2.699131498137561369e-01	6.586922798305749893e-03	4.580093827582817738e-03
2.840125678300878809e-01	6.498997565358877182e-03	4.410252841546307388e-03
2.981119858464196248e-01	6.449495907872915268e-03	4.135575139107028689e-03
3.122114038627513688e-01	6.452747154980897903e-03	3.976919858054158742e-03
3.263108218790831683e-01	6.394709460437297821e-03	3.831702171017855024e-03
3.404102398954149677e-01	6.405717227607965469e-03	3.712213037440553060e-03
3.545096579117467117e-01	6.321692373603582382e-03	3.583701888787987552e-03
3.686090759280784557e-01	6.238543894141912460e-03	3.478536143224284383e-03
3.827084939444102551e-01	6.291318684816360474e-03	3.416781783958506430e-03
3.968079119607419991e-01	6.237328052520751953e-03	3.333199161749937894e-03
4.109073299770737986e-01	6.174839567393064499e-03	3.253113279726260135e-03
4.250067479934055426e-01	6.220525596290826797e-03	3.194737628470728594e-03
4.391061660097373420e-01	6.203047465533018112e-03	3.124203587804393577e-03
4.532055840260690860e-01	6.191892549395561218e-03	3.068250343678513396e-03
4.673050020424008300e-01	6.187108810991048813e-03	3.016500910739780550e-03
4.814044200587326294e-01	6.155403796583414078e-03	3.039063290999561955e-03
4.955038380750643734e-01	6.167967803776264191e-03	3.070036950163303018e-03
5.096032560913961174e-01	6.161422468721866608e-03	3.069810255766565119e-03
5.237026741077279723e-01	6.083438172936439514e-03	3.041812006896547210e-03
5.378020921240597163e-01	6.101335864514112473e-03	3.021888412792973766e-03
5.519015101403914603e-01	6.068014074116945267e-03	2.983679133620867341e-03
5.660009281567233153e-01	6.081816740334033966e-03	2.969014302105822418e-03
5.801003461730549482e-01	6.083805579692125320e-03	2.953162381845239083e-03
5.941997641893868032e-01	6.091686431318521500e-03	2.938685710618826278e-03
6.082991822057185471e-01	6.088263820856809616e-03	2.864040946252480006e-03
6.223986002220502911e-01	6.067374721169471741e-03	2.764639553349308807e-03
6.364980182383821461e-01	6.042166613042354584e-03	2.701255617547558292e-03
6.505974362547137790e-01	6.038042716681957245e-03	2.656578707078026489e-03
6.646968542710456340e-01	6.045077461749315262e-03	2.628205996520761954e-03
6.787962722873774890e-01	6.023915484547615051e-03	2.588603553545544122e-03
6.928956903037091219e-01	6.013525184243917465e-03	2.550633200543411805e-03
7.069951083200409769e-01	6.024002563208341599e-03	2.519106496211110952e-03
7.210945263363726099e-01	5.985157564282417297e-03	2.479632356007893147e-03
7.351939443527044649e-01	5.948054138571023941e-03	2.442095818511075787e-03
7.492933623690363198e-01	5.965358577668666840e-03	2.416755276135389326e-03
7.633927803853679528e-01	5.937370005995035172e-03	2.383940339026019688e-03
7.774921984016998078e-01	5.989451892673969269e-03	2.367575531725712740e-03
7.915916164180314407e-01	5.928042810410261154e-03	2.330437870372897326e-03
8.056910344343632957e-01	5.888237617909908295e-03	2.298832496353337123e-03
8.197904524506951507e-01	5.918329115957021713e-03	2.281194009896283289e-03
8.338898704670267836e-01	5.884490441530942917e-03	2.252285460159299691e-03
8.479892884833586386e-01	5.867040716111660004e-03	2.226980268214323079e-03
8.620887064996902716e-01	5.879019387066364288e-03	2.207275333162105838e-03
8.761881245160221265e-01	5.878414027392864227e-03	2.187655142846522960e-03
8.902875425323539815e-01	5.824020132422447205e-03	2.157829261313785711e-03
9.043869605486856145e-01	5.816317629069089890e-03	2.136874877814232739e-03
9.184863785650174695e-01	5.822775885462760925e-03	2.120015177723132051e-03
