# Normalized	Empty Cap	8324.0 eV
# q in nm-1	I in cm-1	poisson_error
1.533027402487101842e-01	6.873252801597118378e-03	2.025220696917046787e-02
1.700689274230457460e-01	7.263092789798974991e-03	1.129663660892236791e-02
1.868351145973813354e-01	7.003773469477891922e-03	8.531882109743078521e-03
2.036013017717168971e-01	6.757074967026710510e-03	7.082012309973998235e-03
2.203674889460524589e-01	6.463762838393449783e-03	5.983114537713959610e-03
2.371336761203880483e-01	6.275420542806386948e-03	5.177147051636838034e-03
2.538998632947235823e-01	6.181611679494380951e-03	4.603903376102732627e-03
2.706660504690591718e-01	6.128136068582534790e-03	4.577963837884144876e-03
2.874322376433947612e-01	6.145231425762176514e-03	4.527047306942011927e-03
3.041984248177302952e-01	5.992717575281858444e-03	4.414003691000700780e-03
3.209646119920659402e-01	5.968910176306962967e-03	4.374368987123045636e-03
3.377307991664014741e-01	6.028629839420318604e-03	4.262231014071321371e-03
3.544969863407370081e-01	5.969598423689603806e-03	3.993170138135162042e-03
3.712631735150726531e-01	5.987312179058790207e-03	3.845281132341875178e-03
3.880293606894081870e-01	5.923362914472818375e-03	3.702102345299617108e-03
4.047955478637437210e-01	5.873451475054025650e-03	3.568838097670729535e-03
4.215617350380793660e-01	5.878273397684097290e-03	3.469941165993277975e-03
4.383279222124148999e-01	5.925060715526342392e-03	3.404334647142335558e-03
4.550941093867504339e-01	5.857104901224374771e-03	3.310922168593615194e-03
4.718602965610860789e-01	5.839173216372728348e-03	3.239173197322606744e-03
4.886264837354216128e-01	5.792924202978610992e-03	3.164907410911889808e-03
5.053926709097571468e-01	5.780424457043409348e-03	3.093623602570462049e-03
5.221588580840927918e-01	5.843044258654117584e-03	3.046313485839714959e-03
5.389250452584283257e-01	5.855020135641098022e-03	2.997771326107738672e-03
5.556912324327638597e-01	5.756083410233259201e-03	2.923445448866604252e-03
5.724574196070995047e-01	5.778851918876171112e-03	2.958608897875254339e-03
5.892236067814350386e-01	5.769399460405111313e-03	2.983134844986447699e-03
6.059897939557706836e-01	5.764901172369718552e-03	2.983323110635694581e-03
6.227559811301062176e-01	5.743502173572778702e-03	2.969487035954249815e-03
6.395221683044417516e-01	5.742733832448720932e-03	2.945620089699980439e-03
6.562883554787772855e-01	5.732373800128698349e-03	2.913843480474442946e-03
6.730545426531129305e-01	5.699082277715206146e-03	2.887850635263218731e-03
6.898207298274484645e-01	5.644412245601415634e-03	2.858164101655367995e-03
7.065869170017839984e-01	5.663541611284017563e-03	2.847223772114029685e-03
7.233531041761196434e-01	5.633582361042499542e-03	2.768638081298342973e-03
7.401192913504551774e-01	5.609924905002117157e-03	2.671937561519352380e-03
7.568854785247907113e-01	5.622360389679670334e-03	2.619315909450405273e-03
7.736516656991263563e-01	5.593351088464260101e-03	2.570401944192923869e-03
7.904178528734618903e-01	5.600200500339269638e-03	2.543185819152430673e-03
8.071840400477974242e-01	5.612121894955635071e-03	2.512124773213536295e-03
8.239502272221330692e-01	5.555974319577217102e-03	2.465108695678596036e-03
8.407164143964686032e-01	5.586409475654363632e-03	2.439389160762405265e-03
8.574826015708041371e-01	5.594074726104736328e-03	2.410773731532216482e-03
8.742487887451397821e-01	5.520023871213197708e-03	2.365930314488398460e-03
8.910149759194753161e-01	5.526260938495397568e-03	2.339467146477896674e-03
9.077811630938108500e-01	5.495711695402860641e-03	2.306845326207959158e-03
9.245473502681464950e-01	5.510386079549789429e-03	2.284236837530854384e-03
9.413135374424820290e-01	5.494795273989439011e-03	2.256945142044585514e-03
9.580797246168175629e-01	5.491722375154495239e-03	2.233356133855194433e-03
9.748459117911532079e-01	5.485489033162593842e-03	2.209451732823112819e-03
9.916120989654887419e-01	5.450029857456684113e-03	2.180720447738839635e-03
1.008378286139824498e+00	5.432144738733768463e-03	2.155984179771431794e-03
1.025144473314159921e+00	5.422576330602169037e-03	2.132965878638160180e-03
1.041910660488495566e+00	5.397898145020008087e-03	2.109384788431456579e-03
1.058676847662831211e+00	5.401141010224819183e-03	2.091069322982201401e-03
1.075443034837166634e+00	5.368062760680913925e-03	2.065856944426897393e-03
1.092209222011502279e+00	5.316605325788259506e-03	2.038626001436705335e-03
1.108975409185837924e+00	5.316862836480140686e-03	2.021377931194597976e-03
1.125741596360173347e+00	5.329214967787265778e-03	2.006819296298058102e-03
1.142507783534508992e+00	5.325712729245424271e-03	1.989785759178069793e-03
1.159273970708844415e+00	5.325608421117067337e-03	1.974040174670890421e-03
1.176040157883180060e+00	5.338594783097505569e-03	1.962269228397138868e-03
1.192806345057515705e+00	5.262678489089012146e-03	1.935598816897139089e-03
1.209572532231851127e+00	5.252982489764690399e-03	1.958474636673084458e-03
1.226338719406186772e+00	5.234662443399429321e-03	1.968241264838255407e-03
1.243104906580522417e+00	5.275575444102287292e-03	1.973833578554482458e-03
1.259871093754857840e+00	5.238173529505729675e-03	1.965417491965867468e-03
1.276637280929193485e+00	5.184402223676443100e-03	1.954409616132360243e-03
1.293403468103529130e+00	5.237837322056293488e-03	1.962587397271797502e-03
1.310169655277864553e+00	5.127811338752508163e-03	1.939192534239448425e-03
1.326935842452200198e+00	5.157093517482280731e-03	1.941861461957644468e-03
1.343702029626535843e+00	5.145203787833452225e-03	1.936413480607681366e-03
1.360468216800871266e+00	5.126923788338899612e-03	1.893811993037528745e-03
1.377234403975206911e+00	5.124972667545080185e-03	1.857041997297322229e-03
1.394000591149542556e+00	5.154921207576990128e-03	1.845627644515428298e-03
1.410766778323877979e+00	5.137471482157707214e-03	1.830417370502234777e-03
1.427532965498213624e+00	5.104733631014823914e-03	1.814306498329144347e-03
1.444299152672549269e+00	5.126391537487506866e-03	1.808581207441432165e-03
1.461065339846884692e+00	5.131767131388187408e-03	1.800966229898064760e-03
1.477831527021220337e+00	5.059420596808195114e-03	1.779451878170544782e-03
1.494597714195555982e+00	5.061573348939418793e-03	1.771333250444365702e-03
1.511363901369891405e+00	5.062886513769626617e-03	1.763506186228306835e-03
1.528130088544227050e+00	5.031852051615715027e-03	1.750556615220655787e-03
1.544896275718562695e+00	5.040495656430721283e-03	1.744365714808619305e-03
1.561662462892898118e+00	5.023449193686246872e-03	1.733689642306801343e-03
1.578428650067233763e+00	5.012034904211759567e-03	1.724673800003023163e-03
1.595194837241569408e+00	4.982464946806430817e-03	1.712121561667522430e-03
1.611961024415904831e+00	4.988970700651407242e-03	1.703740505325709257e-03
1.628727211590240476e+00	5.001418292522430420e-03	1.694324598084919788e-03
1.645493398764576121e+00	4.970284178853034973e-03	1.673494728143216925e-03
1.662259585938911544e+00	4.956326913088560104e-03	1.653826565333613207e-03
1.679025773113247189e+00	4.929403774440288544e-03	1.633034999769152670e-03
1.695791960287582834e+00	4.925361368805170059e-03	1.618149177647452020e-03
1.712558147461918256e+00	4.923606291413307190e-03	1.604101659203587037e-03
1.729324334636253901e+00	4.900468513369560242e-03	1.587423249379351503e-03
1.746090521810589546e+00	4.895457066595554352e-03	1.572650239455651361e-03
1.762856708984924969e+00	4.902746994048357010e-03	1.560590423198333085e-03
1.779622896159260614e+00	4.871766548603773117e-03	1.543285263091916017e-03
1.796389083333596259e+00	4.863607231527566910e-03	1.530725823057668819e-03
1.813155270507931904e+00	4.866852425038814545e-03	1.522024611498749933e-03
1.829921457682267327e+00	4.854860249906778336e-03	1.512093092956358267e-03
1.846687644856602972e+00	4.841834772378206253e-03	1.502257355950287372e-03
1.863453832030938617e+00	4.813553299754858017e-03	1.490564289208361681e-03
1.880220019205274040e+00	4.813615698367357254e-03	1.482620809838577523e-03
1.896986206379609685e+00	4.833402112126350403e-03	1.478154193513411862e-03
1.913752393553945330e+00	4.819083027541637421e-03	1.468653615553269483e-03
1.930518580728280753e+00	4.804033320397138596e-03	1.459409659442230910e-03
1.947284767902616398e+00	4.809239879250526428e-03	1.453055003973678563e-03
1.964050955076952043e+00	4.780746065080165863e-03	1.441627136303512110e-03
1.980817142251287466e+00	4.786986391991376877e-03	1.435669648414087491e-03
1.997583329425623111e+00	4.762637894600629807e-03	1.425388878005496088e-03
2.014349516599958978e+00	4.745370708405971527e-03	1.416157378783177703e-03
2.031115703774294179e+00	4.782003350555896759e-03	1.415311240000050258e-03
2.047881890948629824e+00	4.752585664391517639e-03	1.404453318814270725e-03
2.064648078122965469e+00	4.767004866153001785e-03	1.400537519033446957e-03
2.081414265297301114e+00	4.720478318631649017e-03	1.387252205730310451e-03
2.098180452471636759e+00	4.715842660516500473e-03	1.380733478234941105e-03
2.114946639645972404e+00	4.759271629154682159e-03	1.380891022164245242e-03
2.131712826820307605e+00	4.722997546195983887e-03	1.369770515387244356e-03
2.148479013994643250e+00	4.733191337436437607e-03	1.365260354721471682e-03
2.165245201168978895e+00	4.691567737609148026e-03	1.353594194774920215e-03
2.182011388343314540e+00	4.658357705920934677e-03	1.343175469535765141e-03
