# Normalized	8973 eV	Empty Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.652559211728595046e-01	6.628004834055900574e-03	1.989172458936063273e-02
1.833293851628065851e-01	6.709398236125707626e-03	1.086131646553018318e-02
2.014028491527536380e-01	6.636956706643104553e-03	8.309430987388302658e-03
2.194763131427007186e-01	6.398727186024188995e-03	6.895494797062332211e-03
2.375497771326477991e-01	6.132476963102817535e-03	5.831457751367797801e-03
2.556232411225948797e-01	6.136373151093721390e-03	5.123385808404599603e-03
2.736967051125419603e-01	6.035214755684137344e-03	4.552900515970007521e-03
2.917701691024889854e-01	5.948728416115045547e-03	4.514196623399881030e-03
3.098436330924361215e-01	5.953965708613395691e-03	4.459772496815332665e-03
3.279170970823831466e-01	5.937642417848110199e-03	4.397558309836555046e-03
3.459905610723302827e-01	5.892362911254167557e-03	4.350057957078061824e-03
3.640640250622773078e-01	5.938099231570959091e-03	4.233949840562882191e-03
3.821374890522243883e-01	5.845502484589815140e-03	3.955187517078895092e-03
4.002109530421714689e-01	5.872242618352174759e-03	3.811919979708838779e-03
4.182844170321184940e-01	5.780271254479885101e-03	3.660787180613878002e-03
4.363578810220656301e-01	5.809766240417957306e-03	3.553226070973533081e-03
4.544313450120126552e-01	5.827408283948898315e-03	3.458712033228767465e-03
4.725048090019597913e-01	5.782199092209339142e-03	3.366718461553759069e-03
4.905782729919068164e-01	5.666785407811403275e-03	3.260228220422909089e-03
5.086517369818539525e-01	5.805109161883592606e-03	3.233532899723154386e-03
5.267252009718009775e-01	5.672115366905927658e-03	3.135361160927784691e-03
5.447986649617480026e-01	5.644404329359531403e-03	3.060600995539748855e-03
5.628721289516951387e-01	5.763798020780086517e-03	3.029325004637052274e-03
5.809455929416421638e-01	5.681547336280345917e-03	2.956600681731920682e-03
5.990190569315892999e-01	5.667927209287881851e-03	2.904637654747361207e-03
6.170925209215363250e-01	5.613642279058694839e-03	2.919547747651814792e-03
6.351659849114834611e-01	5.630288273096084595e-03	2.950530139093829156e-03
6.532394489014304861e-01	5.605959333479404449e-03	2.945449165842703877e-03
6.713129128913775112e-01	5.548614077270030975e-03	2.922130511310179739e-03
6.893863768813246473e-01	5.648212973028421402e-03	2.924922753657774148e-03
7.074598408712716724e-01	5.529418587684631348e-03	2.865232445731819184e-03
7.255333048612188085e-01	5.588108673691749573e-03	2.863180884707654684e-03
7.436067688511658336e-01	5.570816341787576675e-03	2.843087695047074367e-03
7.616802328411128586e-01	5.556843709200620651e-03	2.823845434788803226e-03
7.797536968310599947e-01	5.520076956599950790e-03	2.744141417354025760e-03
7.978271608210070198e-01	5.539454054087400436e-03	2.658703517899097847e-03
8.159006248109541559e-01	5.496351514011621475e-03	2.593303286997005516e-03
8.339740888009011810e-01	5.500658880919218063e-03	2.552563362154063997e-03
8.520475527908483171e-01	5.425563547760248184e-03	2.506619172957733500e-03
8.701210167807953422e-01	5.439367610961198807e-03	2.476570122528600967e-03
8.881944807707424783e-01	5.458601750433444977e-03	2.446926843217476187e-03
9.062679447606895033e-01	5.473383702337741852e-03	2.418091892047687270e-03
9.243414087506365284e-01	5.429384764283895493e-03	2.378437183502447785e-03
9.424148727405836645e-01	5.389429628849029541e-03	2.341205065525592179e-03
9.604883367305306896e-01	5.341029260307550430e-03	2.303257334692462507e-03
9.785618007204778257e-01	5.409981589764356613e-03	2.292278307289954357e-03
9.966352647104248508e-01	5.309117026627063751e-03	2.245424315680949901e-03
1.014708728700371987e+00	5.315035115927457809e-03	2.223041715855160992e-03
1.032782192690319123e+00	5.285110324621200562e-03	2.194210545766038089e-03
1.050855656680266037e+00	5.290181841701269150e-03	2.173048505417643841e-03
1.068929120670213173e+00	5.273797549307346344e-03	2.148470603306352339e-03
1.087002584660160309e+00	5.242212675511837006e-03	2.121218134819480468e-03
1.105076048650107445e+00	5.239284131675958633e-03	2.099873698599521044e-03
1.123149512640054359e+00	5.216605961322784424e-03	2.076913663413464898e-03
1.141222976630001495e+00	5.239313933998346329e-03	2.062797202451444392e-03
1.159296440619948632e+00	5.232491996139287949e-03	2.042922321239656371e-03
1.177369904609895546e+00	5.238942336291074753e-03	2.027074019404119173e-03
1.195443368599842682e+00	5.194756202399730682e-03	2.001341518364778416e-03
1.213516832589789818e+00	5.219495855271816254e-03	1.989394645001407551e-03
1.231590296579736732e+00	5.097825080156326294e-03	1.949868514261158181e-03
1.249663760569683868e+00	5.063625983893871307e-03	1.927930249881578545e-03
1.267737224559631004e+00	5.117022432386875153e-03	1.924256623443030331e-03
1.285810688549578140e+00	5.101521033793687820e-03	1.908932937569641402e-03
1.303884152539525054e+00	5.116361659020185471e-03	1.936078905632931425e-03
1.321957616529472190e+00	5.075831897556781769e-03	1.941337971830129185e-03
1.340031080519419326e+00	5.057523027062416077e-03	1.935715894688326208e-03
1.358104544509366240e+00	5.029598250985145569e-03	1.928987256087214865e-03
1.376178008499313377e+00	5.020225420594215393e-03	1.926358640924821872e-03
1.394251472489260513e+00	5.012874025851488113e-03	1.923045331186747043e-03
1.412324936479207649e+00	5.002083256840705872e-03	1.918448822334008728e-03
1.430398400469154563e+00	4.996466916054487228e-03	1.914513069441984563e-03
1.448471864459101699e+00	4.979492165148258209e-03	1.908089824444711468e-03
1.466545328449048835e+00	4.973975475877523422e-03	1.868475921134976321e-03
1.484618792438995749e+00	4.941361956298351288e-03	1.826541032576759318e-03
1.502692256428942885e+00	4.924258682876825333e-03	1.806863834670254703e-03
1.520765720418890021e+00	4.931685514748096466e-03	1.796418537236122706e-03
1.538839184408837157e+00	4.905818030238151550e-03	1.781632786767457181e-03
1.556912648398784071e+00	4.878136329352855682e-03	1.767195363131701408e-03
1.574986112388731208e+00	4.863222129642963409e-03	1.756126462233799194e-03
1.593059576378678344e+00	4.856885410845279694e-03	1.746460689706344797e-03
1.611133040368625480e+00	4.849863704293966293e-03	1.736866804565532574e-03
1.629206504358572394e+00	4.862628877162933350e-03	1.731273491469999650e-03
1.647279968348519530e+00	4.826658405363559723e-03	1.717458428690307260e-03
1.665353432338466666e+00	4.814641550183296204e-03	1.707771018800161369e-03
1.683426896328413580e+00	4.819467198103666306e-03	1.701088590567394155e-03
1.701500360318360716e+00	4.839110188186168671e-03	1.697673126399356063e-03
1.719573824308307852e+00	4.782267380505800247e-03	1.680314737051123719e-03
1.737647288298254988e+00	4.762335214763879776e-03	1.667490711565908180e-03
1.755720752288201902e+00	4.731046035885810852e-03	1.650717338449703706e-03
1.773794216278149039e+00	4.769927356392145157e-03	1.642351889285110838e-03
1.791867680268096175e+00	4.745115526020526886e-03	1.621109491122362965e-03
1.809941144258043089e+00	4.713234025985002518e-03	1.599704549561536439e-03
1.828014608247990225e+00	4.663776606321334839e-03	1.577384774038368158e-03
1.846088072237937361e+00	4.693786147981882095e-03	1.569065446856406391e-03
1.864161536227884497e+00	4.722276702523231506e-03	1.561223825277625789e-03
1.882235000217831411e+00	4.729767795652151108e-03	1.548756266392654121e-03
1.900308464207778547e+00	4.696293734014034271e-03	1.530257057552194709e-03
1.918381928197725683e+00	4.650328774005174637e-03	1.510633461199566976e-03
