# q in nm-1	I	poisson_error
1.289189696504384197e-01	1.868234753608703613e+00	3.336185318667908017e-01
1.430183876667701914e-01	1.539017200469970703e+00	1.641854194157706393e-01
1.571178056831019632e-01	1.246857643127441406e+00	1.136121017460244020e-01
1.712172236994337071e-01	1.032718539237976074e+00	8.735052476906880747e-02
1.853166417157655066e-01	8.720275759696960449e-01	6.931290764131176063e-02
1.994160597320972506e-01	7.583816647529602051e-01	5.674644283369635611e-02
2.135154777484290223e-01	6.734932661056518555e-01	4.789941157489512047e-02
2.276148957647607940e-01	6.041991710662841797e-01	4.530964823188681628e-02
2.417143137810925657e-01	5.524555444717407227e-01	4.278260799017755134e-02
2.558137317974243374e-01	5.109822750091552734e-01	4.062526022089810174e-02
2.699131498137561369e-01	4.782930016517639160e-01	3.902834277885863790e-02
2.840125678300878809e-01	4.521254599094390869e-01	3.678491841339268792e-02
2.981119858464196248e-01	4.301434755325317383e-01	3.377378412942924624e-02
3.122114038627513688e-01	4.127281904220581055e-01	3.180581906806124320e-02
3.263108218790831683e-01	3.972332477569580078e-01	3.019980490436387222e-02
3.404102398954149677e-01	3.835320174694061279e-01	2.872432636312755375e-02
3.545096579117467117e-01	3.726956248283386230e-01	2.751644623216369101e-02
3.686090759280784557e-01	3.631525337696075439e-01	2.653991063942752124e-02
3.827084939444102551e-01	3.535204529762268066e-01	2.561260055399638622e-02
3.968079119607419991e-01	3.455358445644378662e-01	2.480895782429719601e-02
4.109073299770737986e-01	3.375155925750732422e-01	2.405100768504698019e-02
4.250067479934055426e-01	3.304588496685028076e-01	2.328522038983688383e-02
4.391061660097373420e-01	3.241026699542999268e-01	2.258281554212766482e-02
4.532055840260690860e-01	3.175646364688873291e-01	2.197329387082658930e-02
4.673050020424008300e-01	3.106715381145477295e-01	2.137520732593081729e-02
4.814044200587326294e-01	3.039311170578002930e-01	2.135497399310366459e-02
4.955038380750643734e-01	2.985518574714660645e-01	2.135907549640014141e-02
5.096032560913961174e-01	2.914144992828369141e-01	2.111186699674873560e-02
5.237026741077279723e-01	2.851948142051696777e-01	2.082709139881898722e-02
5.378020921240597163e-01	2.796085774898529053e-01	2.045696489192783823e-02
5.519015101403914603e-01	2.733984887599945068e-01	2.002750669748504242e-02
5.660009281567233153e-01	2.673618793487548828e-01	1.968545138155845114e-02
5.801003461730549482e-01	2.619316577911376953e-01	1.937731785496824358e-02
5.941997641893868032e-01	2.562121748924255371e-01	1.905830523693619744e-02
6.082991822057185471e-01	2.497283369302749634e-01	1.834283358025589478e-02
