# Normalized	7000.0 eV	Empty Kapton
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189675265935975e-01	1.868234753608703613e+00	3.460908476937465394e-01
1.430183855482416166e-01	1.539017200469970703e+00	1.744598723167582466e-01
1.571178035698896636e-01	1.246857762336730957e+00	1.219361023252871351e-01
1.712172215915376827e-01	1.032718658447265625e+00	9.424493516754585409e-02
1.853166396131857019e-01	8.720275759696960449e-01	7.513454827540230752e-02
1.994160576348337210e-01	7.583816647529602051e-01	6.180938487955083688e-02
2.135154756564817680e-01	6.734932661056518555e-01	5.239563966672924206e-02
2.276148936781297871e-01	6.041991710662841797e-01	4.934327073282507303e-02
2.417143116997778063e-01	5.524556040763854980e-01	4.647079229977638809e-02
2.558137297214258532e-01	5.109822750091552734e-01	4.403656676069454823e-02
2.699131477430738446e-01	4.782930016517639160e-01	4.222141793676068011e-02
2.840125657647218915e-01	4.521254599094390869e-01	3.980329900044064784e-02
2.981119837863699384e-01	4.301434755325317383e-01	3.664541345527688038e-02
3.122114018080179854e-01	4.127281904220581055e-01	3.456118493583208023e-02
3.263108198296659768e-01	3.972332477569580078e-01	3.285172636738043633e-02
3.404102378513140237e-01	3.835320174694061279e-01	3.128477886145280412e-02
3.545096558729620151e-01	3.726956248283386230e-01	3.000455482990386016e-02
3.686090738946100620e-01	3.631525337696075439e-01	2.896430973016247273e-02
3.827084919162581089e-01	3.535204529762268066e-01	2.797269686540874989e-02
3.968079099379061003e-01	3.455358445644378662e-01	2.711574795801286603e-02
4.109073279595541472e-01	3.375155925750732422e-01	2.630425534933739096e-02
4.250067459812021942e-01	3.304588496685028076e-01	2.549135752549330780e-02
4.391061640028501856e-01	3.241026699542999268e-01	2.474651839761804820e-02
4.532055820244982325e-01	3.175646364688873291e-01	2.409334966079025586e-02
4.673050000461462794e-01	3.106715381145477295e-01	2.344924444066543920e-02
4.814044180677942708e-01	3.039311170578002930e-01	2.338401254430639425e-02
4.955038360894423177e-01	2.985518574714660645e-01	2.335220171811775575e-02
5.096032541110904202e-01	2.914144992828369141e-01	2.305734499511075813e-02
