# Normalized	8004.0 eV	Empty Kapton
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.474094827239109673e-01	1.348376274108886719e+00	2.941794382150820786e-01
1.635311436027687693e-01	1.124230742454528809e+00	1.492924168097504722e-01
1.796528044816265435e-01	9.295229315757751465e-01	1.055076950397487584e-01
1.957744653604843177e-01	7.882474064826965332e-01	8.260046459310287081e-02
2.118961262393421197e-01	6.764228940010070801e-01	6.644053283883417926e-02
2.280177871181999216e-01	5.984709262847900391e-01	5.518268892005834259e-02
2.441394479970576958e-01	5.418761372566223145e-01	4.728627685891671761e-02
2.602611088759154701e-01	4.928473532199859619e-01	4.485240225195561564e-02
2.763827697547732720e-01	4.573419094085693359e-01	4.257318709180278604e-02
2.925044306336310740e-01	4.284376502037048340e-01	4.061623671654308876e-02
3.086260915124888760e-01	4.058057367801666260e-01	3.918569984810358481e-02
3.247477523913466224e-01	3.884124457836151123e-01	3.719224767349101762e-02
3.408694132702044244e-01	3.717742860317230225e-01	3.436363523047979845e-02
3.569910741490622264e-01	3.606623709201812744e-01	3.260829794176363372e-02
3.731127350279199728e-01	3.497903943061828613e-01	3.112858979975904883e-02
3.892343959067777748e-01	3.407104015350341797e-01	2.979046128523189438e-02
4.053560567856355767e-01	3.325479030609130859e-01	2.864418756581298825e-02
4.214777176644933787e-01	3.252247869968414307e-01	2.770941601152863282e-02
4.375993785433511807e-01	3.173333108425140381e-01	2.679703571294415887e-02
4.537210394222089271e-01	3.106655776500701904e-01	2.600138030548725457e-02
4.698427003010667291e-01	3.032588362693786621e-01	2.521626393976954955e-02
4.859643611799245311e-01	2.969800531864166260e-01	2.444260118146153807e-02
5.020860220587822775e-01	2.909035682678222656e-01	2.371487416459275646e-02
5.182076829376400795e-01	2.845905721187591553e-01	2.307082490812800007e-02
5.343293438164978815e-01	2.775059044361114502e-01	2.241514123663064517e-02
5.504510046953556834e-01	2.704865038394927979e-01	2.230288635668566458e-02
5.665726655742134854e-01	2.652079761028289795e-01	2.224602739204492585e-02
5.826943264530712874e-01	2.572947442531585693e-01	2.188937795950009896e-02
5.988159873319289783e-01	2.505999803543090820e-01	2.152158845213286015e-02
6.149376482107868913e-01	2.455309927463531494e-01	2.112794923895868968e-02
6.310593090896445823e-01	2.388905882835388184e-01	2.062609739214702614e-02
6.471809699685023842e-01	2.324742525815963745e-01	2.021016758194939603e-02
6.633026308473601862e-01	2.271208167076110840e-01	1.985507032445766804e-02
6.794242917262179882e-01	2.213253527879714966e-01	1.947836510739807403e-02
6.955459526050757901e-01	2.150533646345138550e-01	1.873683317731919193e-02
