# q in nm-1	I	poisson_error
1.529343905150668814e-01	1.200292229652404785e+00	2.706749816808390885e-01
1.696602923870779989e-01	1.003527522087097168e+00	1.353092798041992117e-01
1.863861942590890886e-01	8.339937925338745117e-01	9.518582671360227565e-02
2.031120961311002060e-01	7.091998457908630371e-01	7.431560721233364253e-02
2.198379980031113234e-01	6.096724271774291992e-01	5.961404970053688773e-02
2.365638998751224409e-01	5.396786928176879883e-01	4.933771071769531280e-02
2.532898017471335583e-01	4.907603263854980469e-01	4.222300104053326036e-02
2.700157036191446203e-01	4.464866816997528076e-01	4.016412765832932247e-02
2.867416054911557932e-01	4.154602885246276855e-01	3.823077768614525224e-02
3.034675073631668551e-01	3.902262151241302490e-01	3.656322812856852011e-02
3.201934092351780281e-01	3.699549138545989990e-01	3.533096551418871134e-02
3.369193111071890900e-01	3.538777828216552734e-01	3.350618380919394290e-02
3.536452129792002075e-01	3.407713770866394043e-01	3.098791564223965858e-02
3.703711148512113249e-01	3.312323689460754395e-01	2.939406777431962867e-02
3.870970167232223869e-01	3.216317892074584961e-01	2.804923230584263280e-02
4.038229185952335598e-01	3.141704797744750977e-01	2.685199109639299642e-02
4.205488204672446217e-01	3.080558180809020996e-01	2.585454722451901652e-02
4.372747223392557947e-01	3.017326891422271729e-01	2.501234040718315621e-02
4.540006242112668566e-01	2.945645451545715332e-01	2.418073622529152283e-02
4.707265260832780296e-01	2.892448008060455322e-01	2.348506576289784847e-02
4.874524279552890915e-01	2.820448875427246094e-01	2.275307050434255754e-02
5.041783298273001535e-01	2.760311663150787354e-01	2.203217887084593651e-02
5.209042316993113264e-01	2.709594070911407471e-01	2.138547827528804873e-02
5.376301335713223883e-01	2.650057971477508545e-01	2.079351137411972195e-02
5.543560354433335613e-01	2.585575878620147705e-01	2.020338962085033510e-02
5.710819373153446232e-01	2.511889934539794922e-01	2.009703937463097612e-02
5.878078391873557962e-01	2.462021410465240479e-01	2.006590502242052224e-02
6.045337410593668581e-01	2.389196157455444336e-01	1.976581264058772588e-02
6.212596429313779200e-01	2.337207496166229248e-01	1.948980471613558779e-02
6.379855448033890930e-01	2.285842448472976685e-01	1.911818612884283106e-02
6.547114466754001549e-01	2.227936536073684692e-01	1.868520073700490405e-02
6.714373485474113279e-01	2.171459347009658813e-01	1.833132440733982460e-02
6.881632504194223898e-01	2.122839540243148804e-01	1.802186306181581543e-02
7.048891522914334518e-01	2.068059444427490234e-01	1.768492223408530892e-02
7.216150541634446247e-01	2.010337114334106445e-01	1.700439113628589988e-02
7.383409560354556866e-01	1.966957747936248779e-01	1.627609461575364388e-02
7.550668579074668596e-01	1.917010098695755005e-01	1.573672653206445102e-02
7.717927597794779215e-01	1.871253848075866699e-01	1.529801914943880112e-02
7.885186616514890945e-01	1.824463158845901489e-01	1.493485135437213306e-02
