# Normalized	Empty Kapton	8324.0 eV
# q in nm-1	I in cm-1	poisson_error
1.533027402487101842e-01	1.205053091049194336e+00	2.709627298841819076e-01
1.700689274230457460e-01	1.003440856933593750e+00	1.350909828394520895e-01
1.868351145973813354e-01	8.282471895217895508e-01	9.467426451277179134e-02
2.036013017717168971e-01	6.986337304115295410e-01	7.359778167571837115e-02
2.203674889460524589e-01	5.966545343399047852e-01	5.883030813251057672e-02
2.371336761203880483e-01	5.272468328475952148e-01	4.863776396120197965e-02
2.538998632947235823e-01	4.787845909595489502e-01	4.158715140183522063e-02
2.706660504690591718e-01	4.337657690048217773e-01	3.947887467745154338e-02
2.874322376433947612e-01	4.030153453350067139e-01	3.755175795527442018e-02
3.041984248177302952e-01	3.782148957252502441e-01	3.589987795727719172e-02
3.209646119920659402e-01	3.583997488021850586e-01	3.468340059349455523e-02
3.377307991664014741e-01	3.435806035995483398e-01	3.292849885555254597e-02
3.544969863407370081e-01	3.301742374897003174e-01	3.041812634799236081e-02
3.712631735150726531e-01	3.202352523803710938e-01	2.881940876495234227e-02
3.880293606894081870e-01	3.117395341396331787e-01	2.753520471308625386e-02
4.047955478637437210e-01	3.033101260662078857e-01	2.630497705397977920e-02
4.215617350380793660e-01	2.976033985614776611e-01	2.533507096407255563e-02
4.383279222124148999e-01	2.913362085819244385e-01	2.450199023133303733e-02
4.550941093867504339e-01	2.847227156162261963e-01	2.369983069525147257e-02
4.718602965610860789e-01	2.790460288524627686e-01	2.299451706482806904e-02
4.886264837354216128e-01	2.722907960414886475e-01	2.228540460830025563e-02
5.053926709097571468e-01	2.673003673553466797e-01	2.161260469659597935e-02
5.221588580840927918e-01	2.615782022476196289e-01	2.094401512764692067e-02
5.389250452584283257e-01	2.565292716026306152e-01	2.039254211514116358e-02
5.556912324327638597e-01	2.499179691076278687e-01	1.979844573829565510e-02
5.724574196070995047e-01	2.440872788429260254e-01	1.974967053057028604e-02
5.892236067814350386e-01	2.395058721303939819e-01	1.973142242306593144e-02
6.059897939557706836e-01	2.323177903890609741e-01	1.943274283649839076e-02
6.227559811301062176e-01	2.274290770292282104e-01	1.916906451945317447e-02
6.395221683044417516e-01	2.220381796360015869e-01	1.878662985154688075e-02
6.562883554787772855e-01	2.165702283382415771e-01	1.836815030182101585e-02
6.730545426531129305e-01	2.108973711729049683e-01	1.801258898689182125e-02
6.898207298274484645e-01	2.063070237636566162e-01	1.771462082275313682e-02
7.065869170017839984e-01	2.010522931814193726e-01	1.738686437909397337e-02
7.233531041761196434e-01	1.956304907798767090e-01	1.672562737929534152e-02
7.401192913504551774e-01	1.914183944463729858e-01	1.600863266025788836e-02
7.568854785247907113e-01	1.871466338634490967e-01	1.550291216626218695e-02
7.736516656991263563e-01	1.827381402254104614e-01	1.507302287517700047e-02
7.904178528734618903e-01	1.782526820898056030e-01	1.471882264909897542e-02
8.071840400477974242e-01	1.739127337932586670e-01	1.434507815009861305e-02
8.239502272221330692e-01	1.702574491500854492e-01	1.399881302188705698e-02
8.407164143964686032e-01	1.662283539772033691e-01	1.364988067981236751e-02
8.574826015708041371e-01	1.622511446475982666e-01	1.331747075211999788e-02
8.742487887451397821e-01	1.589512228965759277e-01	1.302298058469288089e-02
8.910149759194753161e-01	1.558019220829010010e-01	1.274174670772817118e-02
9.077811630938108500e-01	1.525898426771163940e-01	1.246813083736577829e-02
9.245473502681464950e-01	1.497601866722106934e-01	1.221445180985390386e-02
9.413135374424820290e-01	1.459312140941619873e-01	1.192863966309266367e-02
9.580797246168175629e-01	1.437800675630569458e-01	1.172025612307248110e-02
9.748459117911532079e-01	1.409877091646194458e-01	1.148768037712503270e-02
9.916120989654887419e-01	1.383238285779953003e-01	1.126681682085279440e-02
1.008378286139824498e+00	1.358394920825958252e-01	1.105639787849490609e-02
1.025144473314159921e+00	1.337330341339111328e-01	1.086288566485027647e-02
1.041910660488495566e+00	1.312837004661560059e-01	1.066770804091371309e-02
1.058676847662831211e+00	1.294252723455429077e-01	1.049683341685344988e-02
1.075443034837166634e+00	1.274843066930770874e-01	1.032398139887830656e-02
1.092209222011502279e+00	1.253817677497863770e-01	1.015212890197724621e-02
1.108975409185837924e+00	1.235980838537216187e-01	9.994028811428974646e-03
1.125741596360173347e+00	1.219343766570091248e-01	9.843523301977987611e-03
1.142507783534508992e+00	1.201029494404792786e-01	9.689294458797575657e-03
1.159273970708844415e+00	1.183754950761795044e-01	9.543060060507141742e-03
1.176040157883180060e+00	1.169601902365684509e-01	9.417642444298237464e-03
1.192806345057515705e+00	1.152459681034088135e-01	9.287375698652721237e-03
1.209572532231851127e+00	1.137384176254272461e-01	9.339347377946892112e-03
1.226338719406186772e+00	1.126405075192451477e-01	9.354052043701512748e-03
1.243104906580522417e+00	1.116612553596496582e-01	9.302260704199222935e-03
1.259871093754857840e+00	1.099597886204719543e-01	9.222750756861039165e-03
1.276637280929193485e+00	1.085626706480979919e-01	9.158431522830979762e-03
1.293403468103529130e+00	1.074335798621177673e-01	9.100514637370457280e-03
1.310169655277864553e+00	1.061833202838897705e-01	9.034283720878461682e-03
1.326935842452200198e+00	1.049739122390747070e-01	8.968111434661951362e-03
1.343702029626535843e+00	1.040748879313468933e-01	8.914136512692898140e-03
1.360468216800871266e+00	1.032404154539108276e-01	8.701661444871456805e-03
1.377234403975206911e+00	1.023791953921318054e-01	8.501491311622127317e-03
1.394000591149542556e+00	1.013255491852760315e-01	8.381526153796010903e-03
1.410766778323877979e+00	1.006644964218139648e-01	8.299916000922117482e-03
1.427532965498213624e+00	9.973143786191940308e-02	8.214976328735435276e-03
1.444299152672549269e+00	9.915959089994430542e-02	8.148469114314944861e-03
1.461065339846884692e+00	9.801738709211349487e-02	8.062522727677941259e-03
1.477831527021220337e+00	9.722083806991577148e-02	7.990617035033897864e-03
1.494597714195555982e+00	9.639593958854675293e-02	7.918519909233296891e-03
1.511363901369891405e+00	9.555295854806900024e-02	7.847757057210098114e-03
1.528130088544227050e+00	9.494823217391967773e-02	7.789553129682438674e-03
1.544896275718562695e+00	9.423898905515670776e-02	7.726205138105447096e-03
1.561662462892898118e+00	9.365984797477722168e-02	7.668440228394475533e-03
1.578428650067233763e+00	9.276288747787475586e-02	7.600261110100460515e-03
1.595194837241569408e+00	9.220339357852935791e-02	7.544679512390057782e-03
1.611961024415904831e+00	9.151234477758407593e-02	7.474774069978868188e-03
1.628727211590240476e+00	9.105557203292846680e-02	7.406220574545913267e-03
1.645493398764576121e+00	9.049012511968612671e-02	7.316299231505874433e-03
1.662259585938911544e+00	8.978162705898284912e-02	7.213084196671739473e-03
1.679025773113247189e+00	8.921814709901809692e-02	7.120527671223566939e-03
1.695791960287582834e+00	8.887770771980285645e-02	7.046135170192655353e-03
1.712558147461918256e+00	8.826892822980880737e-02	6.962950685072215838e-03
1.729324334636253901e+00	8.790716528892517090e-02	6.893675667806278308e-03
1.746090521810589546e+00	8.763815462589263916e-02	6.823737696144848222e-03
1.762856708984924969e+00	8.693601191043853760e-02	6.739718872207103861e-03
1.779622896159260614e+00	8.666266500949859619e-02	6.676771677904981030e-03
1.796389083333596259e+00	8.633936196565628052e-02	6.616472720996718036e-03
1.813155270507931904e+00	8.589550107717514038e-02	6.560171674963831412e-03
1.829921457682267327e+00	8.545275777578353882e-02	6.508953858907554936e-03
1.846687644856602972e+00	8.535275608301162720e-02	6.472311463773013605e-03
