# Normalized	7000 eV	Empty
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189675265935975e-01	0.000000000000000000e+00	nan
1.430183855482416166e-01	0.000000000000000000e+00	nan
1.571178035698896636e-01	0.000000000000000000e+00	nan
1.712172215915376827e-01	0.000000000000000000e+00	nan
1.853166396131857019e-01	0.000000000000000000e+00	nan
1.994160576348337210e-01	0.000000000000000000e+00	nan
2.135154756564817680e-01	0.000000000000000000e+00	nan
2.276148936781297871e-01	0.000000000000000000e+00	nan
2.417143116997778063e-01	0.000000000000000000e+00	nan
2.558137297214258532e-01	0.000000000000000000e+00	nan
2.699131477430738446e-01	0.000000000000000000e+00	nan
2.840125657647218915e-01	0.000000000000000000e+00	nan
2.981119837863699384e-01	0.000000000000000000e+00	nan
3.122114018080179854e-01	0.000000000000000000e+00	nan
3.263108198296659768e-01	0.000000000000000000e+00	nan
3.404102378513140237e-01	0.000000000000000000e+00	nan
3.545096558729620151e-01	0.000000000000000000e+00	nan
3.686090738946100620e-01	0.000000000000000000e+00	nan
3.827084919162581089e-01	0.000000000000000000e+00	nan
3.968079099379061003e-01	0.000000000000000000e+00	nan
4.109073279595541472e-01	0.000000000000000000e+00	nan
4.250067459812021942e-01	0.000000000000000000e+00	nan
4.391061640028501856e-01	0.000000000000000000e+00	nan
4.532055820244982325e-01	0.000000000000000000e+00	nan
4.673050000461462794e-01	0.000000000000000000e+00	nan
4.814044180677942708e-01	0.000000000000000000e+00	nan
4.955038360894423177e-01	0.000000000000000000e+00	nan
5.096032541110904202e-01	0.000000000000000000e+00	nan
5.237026721327383560e-01	0.000000000000000000e+00	nan
5.378020901543864030e-01	0.000000000000000000e+00	nan
5.519015081760344499e-01	0.000000000000000000e+00	nan
5.660009261976823858e-01	0.000000000000000000e+00	nan
5.801003442193304327e-01	0.000000000000000000e+00	nan
5.941997622409784796e-01	0.000000000000000000e+00	nan
6.082991802626265265e-01	0.000000000000000000e+00	nan
6.223985982842745734e-01	0.000000000000000000e+00	nan
6.364980163059226204e-01	0.000000000000000000e+00	nan
6.505974343275706673e-01	0.000000000000000000e+00	nan
6.646968523492186032e-01	0.000000000000000000e+00	nan
6.787962703708666501e-01	0.000000000000000000e+00	nan
6.928956883925146970e-01	0.000000000000000000e+00	nan
7.069951064141627439e-01	0.000000000000000000e+00	nan
7.210945244358107908e-01	0.000000000000000000e+00	nan
7.351939424574588378e-01	0.000000000000000000e+00	nan
7.492933604791067737e-01	0.000000000000000000e+00	nan
7.633927785007548206e-01	0.000000000000000000e+00	nan
7.774921965224028675e-01	0.000000000000000000e+00	nan
7.915916145440509144e-01	0.000000000000000000e+00	nan
8.056910325656989613e-01	0.000000000000000000e+00	nan
8.197904505873470082e-01	0.000000000000000000e+00	nan
8.338898686089949441e-01	0.000000000000000000e+00	nan
8.479892866306429910e-01	0.000000000000000000e+00	nan
8.620887046522910380e-01	0.000000000000000000e+00	nan
8.761881226739390849e-01	0.000000000000000000e+00	nan
8.902875406955871318e-01	0.000000000000000000e+00	nan
9.043869587172351787e-01	0.000000000000000000e+00	nan
9.184863767388831146e-01	0.000000000000000000e+00	nan
9.325857947605311615e-01	0.000000000000000000e+00	nan
9.466852127821792084e-01	0.000000000000000000e+00	nan
9.607846308038272554e-01	0.000000000000000000e+00	nan
9.748840488254753023e-01	0.000000000000000000e+00	nan
9.889834668471233492e-01	0.000000000000000000e+00	nan
