# Normalized	8239.0 eV	Empty
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517373003233184192e-01	0.000000000000000000e+00	nan
1.683322808144483151e-01	0.000000000000000000e+00	nan
1.849272613055782111e-01	0.000000000000000000e+00	nan
2.015222417967081348e-01	0.000000000000000000e+00	nan
2.181172222878380307e-01	0.000000000000000000e+00	nan
2.347122027789679266e-01	0.000000000000000000e+00	nan
2.513071832700978225e-01	0.000000000000000000e+00	nan
2.679021637612277185e-01	0.000000000000000000e+00	nan
2.844971442523576144e-01	0.000000000000000000e+00	nan
3.010921247434875103e-01	0.000000000000000000e+00	nan
3.176871052346174062e-01	0.000000000000000000e+00	nan
3.342820857257473022e-01	0.000000000000000000e+00	nan
3.508770662168771981e-01	0.000000000000000000e+00	nan
3.674720467080071495e-01	0.000000000000000000e+00	nan
3.840670271991369900e-01	0.000000000000000000e+00	nan
4.006620076902669414e-01	0.000000000000000000e+00	nan
4.172569881813967818e-01	0.000000000000000000e+00	nan
4.338519686725267333e-01	0.000000000000000000e+00	nan
4.504469491636565737e-01	0.000000000000000000e+00	nan
4.670419296547865251e-01	0.000000000000000000e+00	nan
4.836369101459163655e-01	0.000000000000000000e+00	nan
5.002318906370463170e-01	0.000000000000000000e+00	nan
5.168268711281761574e-01	0.000000000000000000e+00	nan
5.334218516193061088e-01	0.000000000000000000e+00	nan
5.500168321104360603e-01	0.000000000000000000e+00	nan
5.666118126015659007e-01	0.000000000000000000e+00	nan
5.832067930926958521e-01	0.000000000000000000e+00	nan
5.998017735838256925e-01	0.000000000000000000e+00	nan
6.163967540749556440e-01	0.000000000000000000e+00	nan
6.329917345660854844e-01	0.000000000000000000e+00	nan
6.495867150572154358e-01	0.000000000000000000e+00	nan
6.661816955483452762e-01	0.000000000000000000e+00	nan
6.827766760394752277e-01	0.000000000000000000e+00	nan
6.993716565306051791e-01	0.000000000000000000e+00	nan
7.159666370217350195e-01	0.000000000000000000e+00	nan
7.325616175128649710e-01	0.000000000000000000e+00	nan
7.491565980039948114e-01	0.000000000000000000e+00	nan
7.657515784951247628e-01	0.000000000000000000e+00	nan
7.823465589862546032e-01	0.000000000000000000e+00	nan
7.989415394773845547e-01	0.000000000000000000e+00	nan
8.155365199685143951e-01	0.000000000000000000e+00	nan
8.321315004596443465e-01	0.000000000000000000e+00	nan
8.487264809507741870e-01	0.000000000000000000e+00	nan
8.653214614419041384e-01	0.000000000000000000e+00	nan
8.819164419330339788e-01	0.000000000000000000e+00	nan
8.985114224241639302e-01	0.000000000000000000e+00	nan
9.151064029152937707e-01	0.000000000000000000e+00	nan
9.317013834064237221e-01	0.000000000000000000e+00	nan
9.482963638975536735e-01	0.000000000000000000e+00	nan
9.648913443886835140e-01	0.000000000000000000e+00	nan
9.814863248798134654e-01	0.000000000000000000e+00	nan
9.980813053709433058e-01	0.000000000000000000e+00	nan
1.014676285862073257e+00	0.000000000000000000e+00	nan
1.031271266353203098e+00	0.000000000000000000e+00	nan
1.047866246844332938e+00	0.000000000000000000e+00	nan
1.064461227335462778e+00	0.000000000000000000e+00	nan
1.081056207826592841e+00	0.000000000000000000e+00	nan
1.097651188317722681e+00	0.000000000000000000e+00	nan
1.114246168808852522e+00	0.000000000000000000e+00	nan
1.130841149299982362e+00	0.000000000000000000e+00	nan
1.147436129791112425e+00	0.000000000000000000e+00	nan
1.164031110282242265e+00	0.000000000000000000e+00	nan
1.180626090773372106e+00	0.000000000000000000e+00	nan
1.197221071264502168e+00	0.000000000000000000e+00	nan
1.213816051755632008e+00	0.000000000000000000e+00	nan
1.230411032246761849e+00	0.000000000000000000e+00	nan
1.247006012737891911e+00	0.000000000000000000e+00	nan
1.263600993229021752e+00	0.000000000000000000e+00	nan
1.280195973720151592e+00	0.000000000000000000e+00	nan
1.296790954211281433e+00	0.000000000000000000e+00	nan
1.313385934702411495e+00	0.000000000000000000e+00	nan
1.329980915193541335e+00	0.000000000000000000e+00	nan
1.346575895684671176e+00	0.000000000000000000e+00	nan
1.363170876175801016e+00	0.000000000000000000e+00	nan
1.379765856666931079e+00	0.000000000000000000e+00	nan
1.396360837158060919e+00	0.000000000000000000e+00	nan
1.412955817649190760e+00	0.000000000000000000e+00	nan
1.429550798140320600e+00	0.000000000000000000e+00	nan
1.446145778631450662e+00	0.000000000000000000e+00	nan
1.462740759122580503e+00	0.000000000000000000e+00	nan
1.479335739613710343e+00	0.000000000000000000e+00	nan
1.495930720104840406e+00	0.000000000000000000e+00	nan
1.512525700595970246e+00	0.000000000000000000e+00	nan
1.529120681087100087e+00	0.000000000000000000e+00	nan
1.545715661578229927e+00	0.000000000000000000e+00	nan
1.562310642069359989e+00	0.000000000000000000e+00	nan
1.578905622560489830e+00	0.000000000000000000e+00	nan
1.595500603051619670e+00	0.000000000000000000e+00	nan
1.612095583542749511e+00	0.000000000000000000e+00	nan
1.628690564033879573e+00	0.000000000000000000e+00	nan
1.645285544525009414e+00	0.000000000000000000e+00	nan
1.661880525016139254e+00	0.000000000000000000e+00	nan
1.678475505507269094e+00	0.000000000000000000e+00	nan
1.695070485998399157e+00	0.000000000000000000e+00	nan
1.711665466489528997e+00	0.000000000000000000e+00	nan
1.728260446980658838e+00	0.000000000000000000e+00	nan
1.744855427471788900e+00	0.000000000000000000e+00	nan
1.761450407962918741e+00	0.000000000000000000e+00	nan
1.778045388454048581e+00	0.000000000000000000e+00	nan
1.794640368945178421e+00	0.000000000000000000e+00	nan
1.811235349436308484e+00	0.000000000000000000e+00	nan
1.827830329927438324e+00	0.000000000000000000e+00	nan
1.844425310418568165e+00	0.000000000000000000e+00	nan
1.861020290909698005e+00	0.000000000000000000e+00	nan
1.877615271400828068e+00	0.000000000000000000e+00	nan
1.894210251891957908e+00	0.000000000000000000e+00	nan
1.910805232383087748e+00	0.000000000000000000e+00	nan
1.927400212874217589e+00	0.000000000000000000e+00	nan
1.943995193365347651e+00	0.000000000000000000e+00	nan
1.960590173856477492e+00	0.000000000000000000e+00	nan
1.977185154347607332e+00	0.000000000000000000e+00	nan
1.993780134838737172e+00	0.000000000000000000e+00	nan
2.010375115329867235e+00	0.000000000000000000e+00	nan
2.026970095820996853e+00	0.000000000000000000e+00	nan
2.043565076312126916e+00	0.000000000000000000e+00	nan
2.060160056803256978e+00	0.000000000000000000e+00	nan
2.076755037294386597e+00	0.000000000000000000e+00	nan
2.093350017785516659e+00	0.000000000000000000e+00	nan
2.109944998276646277e+00	0.000000000000000000e+00	nan
2.126539978767776340e+00	0.000000000000000000e+00	nan
2.143134959258906402e+00	0.000000000000000000e+00	nan
2.159729939750036465e+00	0.000000000000000000e+00	nan
2.176324920241166083e+00	0.000000000000000000e+00	nan
2.192919900732296146e+00	0.000000000000000000e+00	nan
2.209514881223425764e+00	0.000000000000000000e+00	nan
2.226109861714555826e+00	0.000000000000000000e+00	nan
2.242704842205685889e+00	0.000000000000000000e+00	nan
2.259299822696815507e+00	0.000000000000000000e+00	nan
2.275894803187945570e+00	0.000000000000000000e+00	nan
2.292489783679075632e+00	0.000000000000000000e+00	nan
2.309084764170205251e+00	0.000000000000000000e+00	nan
2.325679744661335313e+00	0.000000000000000000e+00	nan
2.342274725152465376e+00	0.000000000000000000e+00	nan
2.358869705643594994e+00	0.000000000000000000e+00	nan
2.375464686134725056e+00	0.000000000000000000e+00	nan
2.392059666625854675e+00	0.000000000000000000e+00	nan
2.408654647116984737e+00	0.000000000000000000e+00	nan
2.425249627608114800e+00	0.000000000000000000e+00	nan
2.441844608099244418e+00	0.000000000000000000e+00	nan
2.458439588590374481e+00	0.000000000000000000e+00	nan
2.475034569081504543e+00	0.000000000000000000e+00	nan
2.491629549572634161e+00	0.000000000000000000e+00	nan
2.508224530063764224e+00	0.000000000000000000e+00	nan
2.524819510554893842e+00	0.000000000000000000e+00	nan
2.541414491046023905e+00	0.000000000000000000e+00	nan
2.558009471537153967e+00	0.000000000000000000e+00	nan
2.574604452028283585e+00	0.000000000000000000e+00	nan
2.591199432519413648e+00	0.000000000000000000e+00	nan
2.607794413010543710e+00	0.000000000000000000e+00	nan
2.624389393501673329e+00	0.000000000000000000e+00	nan
2.640984373992803391e+00	0.000000000000000000e+00	nan
2.657579354483933454e+00	0.000000000000000000e+00	nan
2.674174334975063072e+00	0.000000000000000000e+00	nan
2.690769315466193135e+00	0.000000000000000000e+00	nan
2.707364295957322753e+00	0.000000000000000000e+00	nan
2.723959276448452815e+00	0.000000000000000000e+00	nan
2.740554256939582878e+00	0.000000000000000000e+00	nan
2.757149237430712496e+00	0.000000000000000000e+00	nan
2.773744217921842559e+00	0.000000000000000000e+00	nan
2.790339198412972621e+00	0.000000000000000000e+00	nan
2.806934178904102239e+00	0.000000000000000000e+00	nan
2.823529159395232302e+00	0.000000000000000000e+00	nan
