# Normalized	Empty	8304.0 eV
# q in nm-1	I in cm-1	poisson_error
1.529343905150668814e-01	0.000000000000000000e+00	nan
1.696602923870779989e-01	0.000000000000000000e+00	nan
1.863861942590890886e-01	0.000000000000000000e+00	nan
2.031120961311002060e-01	0.000000000000000000e+00	nan
2.198379980031113234e-01	0.000000000000000000e+00	nan
2.365638998751224409e-01	0.000000000000000000e+00	nan
2.532898017471335583e-01	0.000000000000000000e+00	nan
2.700157036191446203e-01	0.000000000000000000e+00	nan
2.867416054911557932e-01	0.000000000000000000e+00	nan
3.034675073631668551e-01	0.000000000000000000e+00	nan
3.201934092351780281e-01	0.000000000000000000e+00	nan
3.369193111071890900e-01	0.000000000000000000e+00	nan
3.536452129792002075e-01	0.000000000000000000e+00	nan
3.703711148512113249e-01	0.000000000000000000e+00	nan
3.870970167232223869e-01	0.000000000000000000e+00	nan
4.038229185952335598e-01	0.000000000000000000e+00	nan
4.205488204672446217e-01	0.000000000000000000e+00	nan
4.372747223392557947e-01	0.000000000000000000e+00	nan
4.540006242112668566e-01	0.000000000000000000e+00	nan
4.707265260832780296e-01	0.000000000000000000e+00	nan
4.874524279552890915e-01	0.000000000000000000e+00	nan
5.041783298273001535e-01	0.000000000000000000e+00	nan
5.209042316993113264e-01	0.000000000000000000e+00	nan
5.376301335713223883e-01	0.000000000000000000e+00	nan
5.543560354433335613e-01	0.000000000000000000e+00	nan
5.710819373153446232e-01	0.000000000000000000e+00	nan
5.878078391873557962e-01	0.000000000000000000e+00	nan
6.045337410593668581e-01	0.000000000000000000e+00	nan
6.212596429313779200e-01	0.000000000000000000e+00	nan
6.379855448033890930e-01	0.000000000000000000e+00	nan
6.547114466754001549e-01	0.000000000000000000e+00	nan
6.714373485474113279e-01	0.000000000000000000e+00	nan
6.881632504194223898e-01	0.000000000000000000e+00	nan
7.048891522914334518e-01	0.000000000000000000e+00	nan
7.216150541634446247e-01	0.000000000000000000e+00	nan
7.383409560354556866e-01	0.000000000000000000e+00	nan
7.550668579074668596e-01	0.000000000000000000e+00	nan
7.717927597794779215e-01	0.000000000000000000e+00	nan
7.885186616514890945e-01	0.000000000000000000e+00	nan
8.052445635235001564e-01	0.000000000000000000e+00	nan
8.219704653955113294e-01	0.000000000000000000e+00	nan
8.386963672675223913e-01	0.000000000000000000e+00	nan
8.554222691395334532e-01	0.000000000000000000e+00	nan
8.721481710115446262e-01	0.000000000000000000e+00	nan
8.888740728835556881e-01	0.000000000000000000e+00	nan
9.055999747555668611e-01	0.000000000000000000e+00	nan
9.223258766275779230e-01	0.000000000000000000e+00	nan
9.390517784995890960e-01	0.000000000000000000e+00	nan
9.557776803716001579e-01	0.000000000000000000e+00	nan
9.725035822436112198e-01	0.000000000000000000e+00	nan
9.892294841156223928e-01	0.000000000000000000e+00	nan
1.005955385987633566e+00	0.000000000000000000e+00	nan
1.022681287859644739e+00	0.000000000000000000e+00	nan
1.039407189731655690e+00	0.000000000000000000e+00	nan
1.056133091603666863e+00	0.000000000000000000e+00	nan
1.072858993475678036e+00	0.000000000000000000e+00	nan
1.089584895347688986e+00	0.000000000000000000e+00	nan
1.106310797219700159e+00	0.000000000000000000e+00	nan
1.123036699091711332e+00	0.000000000000000000e+00	nan
1.139762600963722505e+00	0.000000000000000000e+00	nan
1.156488502835733456e+00	0.000000000000000000e+00	nan
1.173214404707744629e+00	0.000000000000000000e+00	nan
1.189940306579755802e+00	0.000000000000000000e+00	nan
1.206666208451766753e+00	0.000000000000000000e+00	nan
1.223392110323777926e+00	0.000000000000000000e+00	nan
1.240118012195789099e+00	0.000000000000000000e+00	nan
1.256843914067800050e+00	0.000000000000000000e+00	nan
1.273569815939811223e+00	0.000000000000000000e+00	nan
1.290295717811822396e+00	0.000000000000000000e+00	nan
1.307021619683833569e+00	0.000000000000000000e+00	nan
1.323747521555844520e+00	0.000000000000000000e+00	nan
1.340473423427855693e+00	0.000000000000000000e+00	nan
1.357199325299866866e+00	0.000000000000000000e+00	nan
1.373925227171877816e+00	0.000000000000000000e+00	nan
1.390651129043888989e+00	0.000000000000000000e+00	nan
1.407377030915900162e+00	0.000000000000000000e+00	nan
1.424102932787911335e+00	0.000000000000000000e+00	nan
1.440828834659922286e+00	0.000000000000000000e+00	nan
1.457554736531933459e+00	0.000000000000000000e+00	nan
1.474280638403944632e+00	0.000000000000000000e+00	nan
1.491006540275955805e+00	0.000000000000000000e+00	nan
1.507732442147966756e+00	0.000000000000000000e+00	nan
1.524458344019977929e+00	0.000000000000000000e+00	nan
1.541184245891989102e+00	0.000000000000000000e+00	nan
1.557910147764000053e+00	0.000000000000000000e+00	nan
1.574636049636011226e+00	0.000000000000000000e+00	nan
1.591361951508022399e+00	0.000000000000000000e+00	nan
1.608087853380033572e+00	0.000000000000000000e+00	nan
1.624813755252044523e+00	0.000000000000000000e+00	nan
1.641539657124055696e+00	0.000000000000000000e+00	nan
1.658265558996066869e+00	0.000000000000000000e+00	nan
1.674991460868077819e+00	0.000000000000000000e+00	nan
1.691717362740088992e+00	0.000000000000000000e+00	nan
1.708443264612100165e+00	0.000000000000000000e+00	nan
1.725169166484111338e+00	0.000000000000000000e+00	nan
1.741895068356122289e+00	0.000000000000000000e+00	nan
1.758620970228133462e+00	0.000000000000000000e+00	nan
1.775346872100144635e+00	0.000000000000000000e+00	nan
1.792072773972155586e+00	0.000000000000000000e+00	nan
1.808798675844166759e+00	0.000000000000000000e+00	nan
1.825524577716177932e+00	0.000000000000000000e+00	nan
1.842250479588189105e+00	0.000000000000000000e+00	nan
1.858976381460200056e+00	0.000000000000000000e+00	nan
