# q in nm-1	I	poisson_error
1.533027402487101842e-01	0.000000000000000000e+00	nan
1.700689274230457460e-01	0.000000000000000000e+00	nan
1.868351145973813354e-01	0.000000000000000000e+00	nan
2.036013017717168971e-01	0.000000000000000000e+00	nan
2.203674889460524589e-01	0.000000000000000000e+00	nan
2.371336761203880483e-01	0.000000000000000000e+00	nan
2.538998632947235823e-01	0.000000000000000000e+00	nan
2.706660504690591718e-01	0.000000000000000000e+00	nan
2.874322376433947612e-01	0.000000000000000000e+00	nan
3.041984248177302952e-01	0.000000000000000000e+00	nan
3.209646119920659402e-01	0.000000000000000000e+00	nan
3.377307991664014741e-01	0.000000000000000000e+00	nan
3.544969863407370081e-01	0.000000000000000000e+00	nan
3.712631735150726531e-01	0.000000000000000000e+00	nan
3.880293606894081870e-01	0.000000000000000000e+00	nan
4.047955478637437210e-01	0.000000000000000000e+00	nan
4.215617350380793660e-01	0.000000000000000000e+00	nan
4.383279222124148999e-01	0.000000000000000000e+00	nan
4.550941093867504339e-01	0.000000000000000000e+00	nan
4.718602965610860789e-01	0.000000000000000000e+00	nan
4.886264837354216128e-01	0.000000000000000000e+00	nan
5.053926709097571468e-01	0.000000000000000000e+00	nan
5.221588580840927918e-01	0.000000000000000000e+00	nan
5.389250452584283257e-01	0.000000000000000000e+00	nan
5.556912324327638597e-01	0.000000000000000000e+00	nan
5.724574196070995047e-01	0.000000000000000000e+00	nan
5.892236067814350386e-01	0.000000000000000000e+00	nan
6.059897939557706836e-01	0.000000000000000000e+00	nan
6.227559811301062176e-01	0.000000000000000000e+00	nan
6.395221683044417516e-01	0.000000000000000000e+00	nan
6.562883554787772855e-01	0.000000000000000000e+00	nan
6.730545426531129305e-01	0.000000000000000000e+00	nan
6.898207298274484645e-01	0.000000000000000000e+00	nan
7.065869170017839984e-01	0.000000000000000000e+00	nan
7.233531041761196434e-01	0.000000000000000000e+00	nan
7.401192913504551774e-01	0.000000000000000000e+00	nan
7.568854785247907113e-01	0.000000000000000000e+00	nan
7.736516656991263563e-01	0.000000000000000000e+00	nan
7.904178528734618903e-01	0.000000000000000000e+00	nan
8.071840400477974242e-01	0.000000000000000000e+00	nan
8.239502272221330692e-01	0.000000000000000000e+00	nan
8.407164143964686032e-01	0.000000000000000000e+00	nan
8.574826015708041371e-01	0.000000000000000000e+00	nan
8.742487887451397821e-01	0.000000000000000000e+00	nan
8.910149759194753161e-01	0.000000000000000000e+00	nan
9.077811630938108500e-01	0.000000000000000000e+00	nan
9.245473502681464950e-01	0.000000000000000000e+00	nan
9.413135374424820290e-01	0.000000000000000000e+00	nan
9.580797246168175629e-01	0.000000000000000000e+00	nan
9.748459117911532079e-01	0.000000000000000000e+00	nan
9.916120989654887419e-01	0.000000000000000000e+00	nan
1.008378286139824498e+00	0.000000000000000000e+00	nan
1.025144473314159921e+00	0.000000000000000000e+00	nan
1.041910660488495566e+00	0.000000000000000000e+00	nan
1.058676847662831211e+00	0.000000000000000000e+00	nan
1.075443034837166634e+00	0.000000000000000000e+00	nan
1.092209222011502279e+00	0.000000000000000000e+00	nan
1.108975409185837924e+00	0.000000000000000000e+00	nan
1.125741596360173347e+00	0.000000000000000000e+00	nan
1.142507783534508992e+00	0.000000000000000000e+00	nan
1.159273970708844415e+00	0.000000000000000000e+00	nan
1.176040157883180060e+00	0.000000000000000000e+00	nan
1.192806345057515705e+00	0.000000000000000000e+00	nan
1.209572532231851127e+00	0.000000000000000000e+00	nan
1.226338719406186772e+00	0.000000000000000000e+00	nan
1.243104906580522417e+00	0.000000000000000000e+00	nan
1.259871093754857840e+00	0.000000000000000000e+00	nan
1.276637280929193485e+00	0.000000000000000000e+00	nan
1.293403468103529130e+00	0.000000000000000000e+00	nan
1.310169655277864553e+00	0.000000000000000000e+00	nan
1.326935842452200198e+00	0.000000000000000000e+00	nan
1.343702029626535843e+00	0.000000000000000000e+00	nan
1.360468216800871266e+00	0.000000000000000000e+00	nan
1.377234403975206911e+00	0.000000000000000000e+00	nan
1.394000591149542556e+00	0.000000000000000000e+00	nan
1.410766778323877979e+00	0.000000000000000000e+00	nan
1.427532965498213624e+00	0.000000000000000000e+00	nan
1.444299152672549269e+00	0.000000000000000000e+00	nan
1.461065339846884692e+00	0.000000000000000000e+00	nan
1.477831527021220337e+00	0.000000000000000000e+00	nan
1.494597714195555982e+00	0.000000000000000000e+00	nan
1.511363901369891405e+00	0.000000000000000000e+00	nan
1.528130088544227050e+00	0.000000000000000000e+00	nan
1.544896275718562695e+00	0.000000000000000000e+00	nan
1.561662462892898118e+00	0.000000000000000000e+00	nan
1.578428650067233763e+00	0.000000000000000000e+00	nan
1.595194837241569408e+00	0.000000000000000000e+00	nan
1.611961024415904831e+00	0.000000000000000000e+00	nan
1.628727211590240476e+00	0.000000000000000000e+00	nan
1.645493398764576121e+00	0.000000000000000000e+00	nan
1.662259585938911544e+00	0.000000000000000000e+00	nan
1.679025773113247189e+00	0.000000000000000000e+00	nan
1.695791960287582834e+00	0.000000000000000000e+00	nan
1.712558147461918256e+00	0.000000000000000000e+00	nan
1.729324334636253901e+00	0.000000000000000000e+00	nan
1.746090521810589546e+00	0.000000000000000000e+00	nan
1.762856708984924969e+00	0.000000000000000000e+00	nan
1.779622896159260614e+00	0.000000000000000000e+00	nan
1.796389083333596259e+00	0.000000000000000000e+00	nan
1.813155270507931904e+00	0.000000000000000000e+00	nan
1.829921457682267327e+00	0.000000000000000000e+00	nan
1.846687644856602972e+00	0.000000000000000000e+00	nan
