# Normalized	10000.0 eV	GC
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697148967067765e-01	2.551476478576660156e+01	1.295354365210434677e+00
2.043117153216008064e-01	2.170836639404296875e+01	6.697632068801494531e-01
2.244537157464948640e-01	1.840056991577148438e+01	4.814821699557779722e-01
2.445957161713888939e-01	1.601084899902343750e+01	3.831253049993547100e-01
2.647377165962829237e-01	1.435374736785888672e+01	3.163409577006730533e-01
2.848797170211769814e-01	1.303901958465576172e+01	2.672100533630957786e-01
3.050217174460709835e-01	1.223502445220947266e+01	2.341026416856551440e-01
3.251637178709650411e-01	1.149320316314697266e+01	2.257448346505202541e-01
3.453057182958590987e-01	1.091881752014160156e+01	2.169216612034497449e-01
3.654477187207531008e-01	1.046736621856689453e+01	2.094889927394217588e-01
3.855897191456471029e-01	1.008958816528320312e+01	2.039483548752838715e-01
4.057317195705412161e-01	9.724958419799804688e+00	1.944035682683335486e-01
4.258737199954352182e-01	9.426528930664062500e+00	1.811773565481962223e-01
4.460157204203292203e-01	9.172855377197265625e+00	1.723934867274656002e-01
4.661577208452233334e-01	8.992686271667480469e+00	1.656991706850692581e-01
4.862997212701173355e-01	8.768679618835449219e+00	1.588071048797526641e-01
5.064417216950113376e-01	8.619695663452148438e+00	1.534273099494817272e-01
5.265837221199054508e-01	8.477942466735839844e+00	1.489826142646930585e-01
5.467257225447994529e-01	8.349458694458007812e+00	1.449081563972456632e-01
5.668677229696934550e-01	8.232580184936523438e+00	1.412450313684584791e-01
5.870097233945874571e-01	8.115785598754882812e+00	1.378005607577616198e-01
6.071517238194815702e-01	7.993871688842773438e+00	1.340897449534795005e-01
6.272937242443755723e-01	7.877267360687255859e+00	1.306125390651828311e-01
6.474357246692695744e-01	7.762135505676269531e+00	1.276325758069101202e-01
6.675777250941636876e-01	7.667644977569580078e+00	1.249580268331188238e-01
6.877197255190576897e-01	7.572169303894042969e+00	1.251239119014530832e-01
7.078617259439516918e-01	7.482086181640625000e+00	1.252383163240972097e-01
7.280037263688456939e-01	7.383687019348144531e+00	1.243406147170754150e-01
7.481457267937398070e-01	7.309480190277099609e+00	1.233286731979348350e-01
7.682877272186338091e-01	7.217058181762695312e+00	1.215947511768411121e-01
7.884297276435278112e-01	7.135902404785156250e+00	1.197831963686195045e-01
8.085717280684219244e-01	7.070932388305664062e+00	1.185416523283122636e-01
8.287137284933159265e-01	6.977495670318603516e+00	1.170885985225630366e-01
8.488557289182099286e-01	6.916466712951660156e+00	1.159486578303874499e-01
8.689977293431040417e-01	6.860375881195068359e+00	1.129310837141314222e-01
8.891397297679980438e-01	6.799337863922119141e+00	1.091900991030641810e-01
9.092817301928920459e-01	6.722334861755371094e+00	1.065536676246051362e-01
9.294237306177861591e-01	6.662139892578125000e+00	1.045486242927541054e-01
9.495657310426801612e-01	6.606163501739501953e+00	1.030510501073744478e-01
9.697077314675741633e-01	6.530624389648437500e+00	1.012156530344462818e-01
9.898497318924681654e-01	6.457493305206298828e+00	9.938703492913908422e-02
1.009991732317362390e+00	6.401444911956787109e+00	9.778620720511123354e-02
1.030133732742256392e+00	6.349251270294189453e+00	9.630228285846662017e-02
1.050275733167150394e+00	6.280064105987548828e+00	9.472215412179282867e-02
1.070417733592044396e+00	6.219790935516357422e+00	9.326006177460884061e-02
1.090559734016938398e+00	6.169664382934570312e+00	9.194745085331532120e-02
1.110701734441832400e+00	6.107545852661132812e+00	9.055183181781976953e-02
1.130843734866726624e+00	6.056445121765136719e+00	8.931172628817375669e-02
1.150985735291620626e+00	6.006525993347167969e+00	8.812280788349466376e-02
1.171127735716514628e+00	5.936280250549316406e+00	8.677587439160865113e-02
1.191269736141408631e+00	5.886535644531250000e+00	8.564300906505982469e-02
1.211411736566302633e+00	5.839489459991455078e+00	8.454972768039120679e-02
1.231553736991196635e+00	5.788537502288818359e+00	8.342822132740977670e-02
1.251695737416090637e+00	5.737931728363037109e+00	8.239151058356337931e-02
1.271837737840984639e+00	5.668729782104492188e+00	8.119472830025721566e-02
1.291979738265878863e+00	5.628794670104980469e+00	8.025197623886669296e-02
1.312121738690772865e+00	5.572978496551513672e+00	7.922667452276931088e-02
1.332263739115666867e+00	5.532588005065917969e+00	7.833172318884014385e-02
1.352405739540560869e+00	5.481664180755615234e+00	7.736555723196091028e-02
1.372547739965454872e+00	5.417694568634033203e+00	7.631264993882716507e-02
1.392689740390348874e+00	5.381796360015869141e+00	7.551563190691673588e-02
1.412831740815243098e+00	5.315315723419189453e+00	7.451885274032633844e-02
1.432973741240137100e+00	5.270455837249755859e+00	7.375093049358057151e-02
