# q in nm-1	I	poisson_error
1.289189696504384197e-01	7.372727203369140625e+01	2.095793650116287044e+00
1.430183876667701914e-01	5.758366394042968750e+01	1.004297783761825658e+00
1.571178056831019632e-01	4.422836685180664062e+01	6.766539365575884313e-01
1.712172236994337071e-01	3.490540695190429688e+01	5.078329401327847936e-01
1.853166417157655066e-01	2.821965599060058594e+01	3.942982648681592761e-01
1.994160597320972506e-01	2.362288284301757812e+01	3.167095628274916863e-01
2.135154777484290223e-01	2.047632026672363281e+01	2.641128314499759933e-01
2.276148957647607940e-01	1.806475830078125000e+01	2.477517395676306355e-01
2.417143137810925657e-01	1.630754280090332031e+01	2.324410627124801898e-01
2.558137317974243374e-01	1.487189674377441406e+01	2.191676267517576882e-01
2.699131498137561369e-01	1.379529857635498047e+01	2.096035602599967962e-01
2.840125678300878809e-01	1.295608234405517578e+01	1.969142547848226898e-01
2.981119858464196248e-01	1.223131752014160156e+01	1.800983249699166233e-01
3.122114038627513688e-01	1.168273925781250000e+01	1.692181207787785968e-01
3.263108218790831683e-01	1.116576766967773438e+01	1.601126443651950393e-01
3.404102398954149677e-01	1.077274608612060547e+01	1.522342084465802825e-01
3.545096579117467117e-01	1.043241596221923828e+01	1.455819850464244170e-01
3.686090759280784557e-01	1.014300251007080078e+01	1.402614085147164680e-01
3.827084939444102551e-01	9.857608795166015625e+00	1.352484195681360468e-01
3.968079119607419991e-01	9.637673377990722656e+00	1.310231636178564030e-01
4.109073299770737986e-01	9.417654991149902344e+00	1.270450464553763148e-01
4.250067479934055426e-01	9.245181083679199219e+00	1.231627513994788536e-01
4.391061660097373420e-01	9.080676078796386719e+00	1.195352187122766252e-01
4.532055840260690860e-01	8.934173583984375000e+00	1.165483914596642245e-01
4.673050020424008300e-01	8.764506340026855469e+00	1.135333139199826008e-01
4.814044200587326294e-01	8.617065429687500000e+00	1.137080346674264192e-01
4.955038380750643734e-01	8.521778106689453125e+00	1.141136721412473326e-01
5.096032560913961174e-01	8.383401870727539062e+00	1.132351350990592337e-01
5.237026741077279723e-01	8.276268005371093750e+00	1.121954063142332064e-01
5.378020921240597163e-01	8.176379203796386719e+00	1.106232619163741160e-01
5.519015101403914603e-01	8.081158638000488281e+00	1.088843981104190423e-01
5.660009281567233153e-01	7.999144077301025391e+00	1.076756192400083606e-01
5.801003461730549482e-01	7.925250530242919922e+00	1.065874758638945125e-01
5.941997641893868032e-01	7.850734710693359375e+00	1.054968607565158895e-01
6.082991822057185471e-01	7.784449577331542969e+00	1.024109630446544544e-01
6.223986002220502911e-01	7.739939212799072266e+00	9.874312826303791035e-02
6.364980182383821461e-01	7.678098201751708984e+00	9.629332080049628206e-02
6.505974362547137790e-01	7.609698772430419922e+00	9.431012957167130006e-02
6.646968542710456340e-01	7.548573017120361328e+00	9.287330535944210430e-02
6.787962722873774890e-01	7.482221603393554688e+00	9.123077851916891468e-02
6.928956903037091219e-01	7.427157878875732422e+00	8.963854265597566429e-02
7.069951083200409769e-01	7.373432636260986328e+00	8.813305241123076117e-02
7.210945263363726099e-01	7.303331851959228516e+00	8.661837630305553593e-02
7.351939443527044649e-01	7.241868972778320312e+00	8.521196484866540299e-02
7.492933623690363198e-01	7.175405502319335938e+00	8.381806589377997774e-02
