# q in nm-1	I	poisson_error
1.474094827239109673e-01	4.741818237304687500e+01	1.790553945460925167e+00
1.635311436027687693e-01	3.797834014892578125e+01	9.035393260087812850e-01
1.796528044816265435e-01	3.023668098449707031e+01	6.294861957975139699e-01
1.957744653604843177e-01	2.484420967102050781e+01	4.859597161380806996e-01
2.118961262393421197e-01	2.080265808105468750e+01	3.867038299173938820e-01
2.280177871181999216e-01	1.808920860290527344e+01	3.190258963640872913e-01
2.441394479970576958e-01	1.621434593200683594e+01	2.725661402681302525e-01
2.602611088759154701e-01	1.462869644165039062e+01	2.568182036044410199e-01
2.763827697547732720e-01	1.349246406555175781e+01	2.426683424864333749e-01
2.925044306336310740e-01	1.256710720062255859e+01	2.305672393851478097e-01
3.086260915124888760e-01	1.187876796722412109e+01	2.220029143262001181e-01
3.247477523913466224e-01	1.131477737426757812e+01	2.102167320642773229e-01
3.408694132702044244e-01	1.081068134307861328e+01	1.943469199755530064e-01
3.569910741490622264e-01	1.043755435943603516e+01	1.841125783868120258e-01
3.731127350279199728e-01	1.007060146331787109e+01	1.753746939569271746e-01
3.892343959067777748e-01	9.822484970092773438e+00	1.681072525393139117e-01
4.053560567856355767e-01	9.600515365600585938e+00	1.618852893567652163e-01
4.214777176644933787e-01	9.398342132568359375e+00	1.567748109884525565e-01
4.375993785433511807e-01	9.170947074890136719e+00	1.516866028707717917e-01
4.537210394222089271e-01	9.012174606323242188e+00	1.475662028117554203e-01
4.698427003010667291e-01	8.843393325805664062e+00	1.435860900374086313e-01
4.859643611799245311e-01	8.715197563171386719e+00	1.397590448412255604e-01
5.020860220587822775e-01	8.587154388427734375e+00	1.361236522306483732e-01
5.182076829376400795e-01	8.462683677673339844e+00	1.330252775668167853e-01
5.343293438164978815e-01	8.316897392272949219e+00	1.298525855241151050e-01
5.504510046953556834e-01	8.169804573059082031e+00	1.296335537119684134e-01
5.665726655742134854e-01	8.102547645568847656e+00	1.300314282295139401e-01
5.826943264530712874e-01	7.982154369354248047e+00	1.289733983544706086e-01
5.988159873319289783e-01	7.886876583099365234e+00	1.277849965548936984e-01
6.149376482107868913e-01	7.815094947814941406e+00	1.262461574855572866e-01
6.310593090896445823e-01	7.736035346984863281e+00	1.244454398618945051e-01
6.471809699685023842e-01	7.654737949371337891e+00	1.230553577896046774e-01
6.633026308473601862e-01	7.590014934539794922e+00	1.218822109432190354e-01
6.794242917262179882e-01	7.522100925445556641e+00	1.206813416322596727e-01
6.955459526050757901e-01	7.451183795928955078e+00	1.174467494118147659e-01
7.116676134839335921e-01	7.406013488769531250e+00	1.137369661771198692e-01
7.277892743627913941e-01	7.351076126098632812e+00	1.112405412121866555e-01
7.439109352416490850e-01	7.289333820343017578e+00	1.091807917078427698e-01
7.600325961205068870e-01	7.221334457397460938e+00	1.075577065122178128e-01
7.761542569993646890e-01	7.163794517517089844e+00	1.058549327944892648e-01
7.922759178782224909e-01	7.094959259033203125e+00	1.040381337390363231e-01
8.083975787570802929e-01	7.057359218597412109e+00	1.025635020823890547e-01
8.245192396359380949e-01	6.967885017395019531e+00	1.007387342978973699e-01
8.406409005147958968e-01	6.917700767517089844e+00	9.929972577857992810e-02
8.567625613936535878e-01	6.850929260253906250e+00	9.776315429645236754e-02
8.728842222725113897e-01	6.793676853179931641e+00	9.636965620029740165e-02
8.890058831513691917e-01	6.759317874908447266e+00	9.518568484449672906e-02
9.051275440302269937e-01	6.665605068206787109e+00	9.357816684847428124e-02
9.212492049090847956e-01	6.638526439666748047e+00	9.255850825580316799e-02
9.373708657879425976e-01	6.585718631744384766e+00	9.134454537772648819e-02
9.534925266668003996e-01	6.529356956481933594e+00	9.014231040650447224e-02
9.696141875456582016e-01	6.481553077697753906e+00	8.902647786385865791e-02
9.857358484245160035e-01	6.435377120971679688e+00	8.792830235883909717e-02
1.001857509303373694e+00	6.376745700836181641e+00	8.681665681743210017e-02
1.017979170182231385e+00	6.331271171569824219e+00	8.580509026417906804e-02
1.034100831061089298e+00	6.284506797790527344e+00	8.479170305485020376e-02
1.050222491939947211e+00	6.236112117767333984e+00	8.381811824174070780e-02
1.066344152818804902e+00	6.184307098388671875e+00	8.281945886051934880e-02
1.082465813697662593e+00	6.145125865936279297e+00	8.193683084133862593e-02
1.098587474576520506e+00	6.100909709930419922e+00	8.103636843227328412e-02
1.114709135455378197e+00	6.047827720642089844e+00	8.009180443930127846e-02
1.130830796334235888e+00	5.998761653900146484e+00	7.923382717150202759e-02
1.146952457213093801e+00	5.954933643341064453e+00	7.847013078536438369e-02
1.163074118091951714e+00	5.897545337677001953e+00	7.885149237207053630e-02
1.179195778970809405e+00	5.854423046112060547e+00	7.895452293670242316e-02
1.195317439849667096e+00	5.825121879577636719e+00	7.865191252645542530e-02
