# Normalized	8239.0 eV	GC
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517373003233184192e-01	4.262800979614257812e+01	1.699010534963148800e+00
1.683322808144483151e-01	3.439270401000976562e+01	8.611884943098903067e-01
1.849272613055782111e-01	2.781889915466308594e+01	6.054274885466265355e-01
2.015222417967081348e-01	2.310224914550781250e+01	4.702657083976079511e-01
2.181172222878380307e-01	1.946022415161132812e+01	3.755497718509466787e-01
2.347122027789679266e-01	1.711587524414062500e+01	3.119039931836128932e-01
2.513071832700978225e-01	1.540967559814453125e+01	2.672197731903782625e-01
2.679021637612277185e-01	1.402589511871337891e+01	2.529858619298358535e-01
2.844971442523576144e-01	1.301487064361572266e+01	2.398330769173231403e-01
3.010921247434875103e-01	1.218417072296142578e+01	2.285029226383473722e-01
3.176871052346174062e-01	1.156100559234619141e+01	2.204657032850421416e-01
3.342820857257473022e-01	1.105270862579345703e+01	2.092040779713601473e-01
3.508770662168771981e-01	1.055809783935546875e+01	1.934323823954789134e-01
3.674720467080071495e-01	1.022738075256347656e+01	1.836153557151571358e-01
3.840670271991369900e-01	9.913910865783691406e+00	1.753829841071362639e-01
4.006620076902669414e-01	9.653813362121582031e+00	1.679809911131394384e-01
4.172569881813967818e-01	9.451874732971191406e+00	1.619418199351971843e-01
4.338519686725267333e-01	9.249992370605468750e+00	1.568158015397237148e-01
4.504469491636565737e-01	9.032200813293457031e+00	1.517948445818704528e-01
4.670419296547865251e-01	8.893374443054199219e+00	1.478514965007042270e-01
4.836369101459163655e-01	8.726752281188964844e+00	1.438734602000807661e-01
5.002318906370463170e-01	8.586912155151367188e+00	1.399286935630014994e-01
5.168268711281761574e-01	8.465396881103515625e+00	1.363456400782883382e-01
5.334218516193061088e-01	8.367193222045898438e+00	1.334778914008859230e-01
5.500168321104360603e-01	8.240433692932128906e+00	1.304615366923252140e-01
5.666118126015659007e-01	8.090965270996093750e+00	1.301875680559824722e-01
5.832067930926958521e-01	8.038168907165527344e+00	1.307031942468999397e-01
5.998017735838256925e-01	7.901178836822509766e+00	1.294662624714268129e-01
6.163967540749556440e-01	7.817966461181640625e+00	1.283750583515223254e-01
6.329917345660854844e-01	7.756968498229980469e+00	1.269281805530280416e-01
6.495867150572154358e-01	7.664805412292480469e+00	1.249939840437775257e-01
6.661816955483452762e-01	7.572931766510009766e+00	1.234922145067658961e-01
