# Normalized	GC	8330.0 eV
# q in nm-1	I in cm-1	poisson_error
1.534133333808537225e-01	4.201236724853515625e+01	1.696065075451529847e+00
1.701916152350436418e-01	3.390288162231445312e+01	8.626022684643718241e-01
1.869698970892335610e-01	2.742185211181640625e+01	6.072119794062348364e-01
2.037481789434235080e-01	2.275231552124023438e+01	4.717436535586462809e-01
2.205264607976133995e-01	1.922067070007324219e+01	3.775687268174191535e-01
2.373047426518033465e-01	1.692354011535644531e+01	3.139886284020981244e-01
2.540830245059932935e-01	1.531185531616210938e+01	2.699402243234329535e-01
2.708613063601831850e-01	1.389611721038818359e+01	2.550021239164283471e-01
2.876395882143730764e-01	1.288764667510986328e+01	2.416074474446623932e-01
3.044178700685630234e-01	1.211452007293701172e+01	2.306829146461244762e-01
3.211961519227529704e-01	1.148389244079589844e+01	2.224020494215565302e-01
3.379744337769428619e-01	1.098531150817871094e+01	2.111299146616986699e-01
3.547527156311328089e-01	1.049321937561035156e+01	1.952863019806494738e-01
3.715309974853227004e-01	1.014290237426757812e+01	1.851960229039959216e-01
3.883092793395126474e-01	9.815890312194824219e+00	1.767589045677473714e-01
4.050875611937025389e-01	9.594105720520019531e+00	1.696995263595841297e-01
4.218658430478924859e-01	9.398161888122558594e+00	1.636800046727351354e-01
4.386441249020824329e-01	9.203880310058593750e+00	1.585859596413132233e-01
4.554224067562723244e-01	8.996851921081542969e+00	1.536224073095902587e-01
4.722006886104622714e-01	8.874071121215820312e+00	1.498060653001188625e-01
4.889789704646521629e-01	8.684049606323242188e+00	1.455614549449464612e-01
5.057572523188420544e-01	8.569621086120605469e+00	1.418319525533069114e-01
5.225355341730320013e-01	8.452230453491210938e+00	1.382605814310231274e-01
5.393138160272219483e-01	8.332621574401855469e+00	1.351676159761280027e-01
5.560920978814118953e-01	8.206201553344726562e+00	1.321259792087411400e-01
5.728703797356018423e-01	8.083087921142578125e+00	1.320627512369488832e-01
5.896486615897917893e-01	8.015972137451171875e+00	1.324273174051066593e-01
6.064269434439816253e-01	7.871019363403320312e+00	1.310788715209552369e-01
6.232052252981715723e-01	7.782103061676025391e+00	1.299117471483808295e-01
6.399835071523614083e-01	7.702531814575195312e+00	1.282714161271319708e-01
6.567617890065513553e-01	7.630197525024414062e+00	1.265078929007452668e-01
6.735400708607413023e-01	7.547303199768066406e+00	1.250705768133413276e-01
6.903183527149312493e-01	7.494682312011718750e+00	1.239891380327409753e-01
7.070966345691211963e-01	7.433563232421875000e+00	1.228272721729853634e-01
7.238749164233111433e-01	7.342110157012939453e+00	1.193821881107361704e-01
7.406531982775009793e-01	7.314964294433593750e+00	1.158438060383759488e-01
7.574314801316909262e-01	7.261748313903808594e+00	1.133515284569521220e-01
7.742097619858808732e-01	7.198473453521728516e+00	1.112601741888433610e-01
7.909880438400708202e-01	7.144380569458007812e+00	1.097395103007795109e-01
8.077663256942606562e-01	7.073544502258300781e+00	1.078989626391673867e-01
8.245446075484506032e-01	7.003801345825195312e+00	1.060517283128405291e-01
8.413228894026405502e-01	6.958177089691162109e+00	1.044969675956611554e-01
8.581011712568304972e-01	6.884140968322753906e+00	1.027765269948034965e-01
8.748794531110204442e-01	6.823725223541259766e+00	1.012320970810349635e-01
8.916577349652102802e-01	6.756253242492675781e+00	9.966677970788719032e-02
9.084360168194002272e-01	6.701561927795410156e+00	9.827674841712978615e-02
9.252142986735901742e-01	6.667943000793457031e+00	9.709023956546473932e-02
9.419925805277801212e-01	6.575114250183105469e+00	9.545496820100932145e-02
9.587708623819700682e-01	6.546496391296386719e+00	9.441570787690975464e-02
9.755491442361599042e-01	6.499691963195800781e+00	9.323525546095047523e-02
9.923274260903498512e-01	6.424950122833251953e+00	9.185708876927689559e-02
1.009105707944539798e+00	6.371821403503417969e+00	9.068078102012319675e-02
1.025883989798729745e+00	6.322918891906738281e+00	8.954516080671841294e-02
1.042662271652919692e+00	6.271677970886230469e+00	8.847505680476903944e-02
1.059440553507109417e+00	6.245523929595947266e+00	8.761044095948744559e-02
1.076218835361299586e+00	6.196380138397216797e+00	8.656117206767861838e-02
1.092997117215489311e+00	6.136613845825195312e+00	8.547598400539317687e-02
