# Normalized	10000.0 eV	Hexane Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.841697148967067765e-01	7.761056721210479736e-02	6.823745650637566551e-02
2.043117153216008064e-01	7.350134849548339844e-02	3.610758481017164317e-02
2.244537157464948640e-01	7.066123187541961670e-02	2.726437798761588774e-02
2.445957161713888939e-01	6.723705679178237915e-02	2.249597303339259322e-02
2.647377165962829237e-01	6.543288379907608032e-02	1.918859763375092495e-02
2.848797170211769814e-01	6.325834244489669800e-02	1.658433573200173219e-02
3.050217174460709835e-01	6.289903819561004639e-02	1.483230890023321501e-02
3.251637178709650411e-01	6.065518036484718323e-02	1.454329059849224920e-02
3.453057182958590987e-01	5.986711010336875916e-02	1.426838993094238853e-02
3.654477187207531008e-01	5.914918705821037292e-02	1.400449961018498425e-02
3.855897191456471029e-01	5.832307785749435425e-02	1.380871895361595290e-02
4.057317195705412161e-01	5.749527737498283386e-02	1.329515995694104460e-02
4.258737199954352182e-01	5.699549242854118347e-02	1.246995840329156308e-02
4.460157204203292203e-01	5.690426379442214966e-02	1.198559310109565887e-02
4.661577208452233334e-01	5.614954978227615356e-02	1.152749049879892365e-02
4.862997212701173355e-01	5.570207163691520691e-02	1.111870004680407323e-02
5.064417216950113376e-01	5.519042536616325378e-02	1.075919080998760137e-02
5.265837221199054508e-01	5.546968057751655579e-02	1.054372903256040918e-02
5.467257225447994529e-01	5.492379516363143921e-02	1.026503299636249630e-02
5.668677229696934550e-01	5.459512025117874146e-02	1.002995212593049343e-02
5.870097233945874571e-01	5.430749431252479553e-02	9.815189255679234934e-03
6.071517238194815702e-01	5.422685667872428894e-02	9.599953493240439423e-03
6.272937242443755723e-01	5.385648459196090698e-02	9.371942912572619327e-03
6.474357246692695744e-01	5.382021889090538025e-02	9.212054058488157796e-03
6.675777250941636876e-01	5.355069041252136230e-02	9.039784697745184908e-03
6.877197255190576897e-01	5.356593802571296692e-02	9.130481456828466735e-03
7.078617259439516918e-01	5.291512981057167053e-02	9.155486495774571576e-03
7.280037263688456939e-01	5.311599746346473694e-02	9.177276822821133981e-03
7.481457267937398070e-01	5.276104062795639038e-02	9.120953719066559121e-03
7.682877272186338091e-01	5.292607843875885010e-02	9.063613820393563725e-03
7.884297276435278112e-01	5.266577005386352539e-02	8.952673989719281758e-03
8.085717280684219244e-01	5.214184895157814026e-02	8.854354785618254522e-03
8.287137284933159265e-01	5.241468548774719238e-02	8.829959109111627791e-03
8.488557289182099286e-01	5.244273319840431213e-02	8.784277966444938024e-03
8.689977293431040417e-01	5.226207152009010315e-02	8.552576785624188202e-03
8.891397297679980438e-01	5.215444788336753845e-02	8.266584171125078082e-03
9.092817301928920459e-01	5.214684084057807922e-02	8.096652538011969366e-03
9.294237306177861591e-01	5.169173330068588257e-02	7.932518652630954001e-03
9.495657310426801612e-01	5.167494341731071472e-02	7.843727323277212282e-03
9.697077314675741633e-01	5.168402194976806641e-02	7.741915388397854064e-03
9.898497318924681654e-01	5.150887742638587952e-02	7.623926397846270304e-03
1.009991732317362390e+00	5.148889869451522827e-02	7.523752198748352715e-03
1.030133732742256392e+00	5.131500586867332458e-02	7.419005237026003209e-03
