# q in nm-1	I	poisson_error
1.289189696504384197e-01	1.048479229211807251e-01	7.903406835341343639e-02
1.430183876667701914e-01	1.394089907407760620e-01	4.941493049296829393e-02
1.571178056831019632e-01	1.148227751255035400e-01	3.447705584470135004e-02
1.712172236994337071e-01	9.358972311019897461e-02	2.629593348250282986e-02
1.853166417157655066e-01	8.133868128061294556e-02	2.116886421473199512e-02
1.994160597320972506e-01	7.551202923059463501e-02	1.790617308301876986e-02
2.135154777484290223e-01	7.212579995393753052e-02	1.567504747681971664e-02
2.276148957647607940e-01	6.851194053888320923e-02	1.525751269048993344e-02
2.417143137810925657e-01	6.606853753328323364e-02	1.479503199728872918e-02
2.558137317974243374e-01	6.332302838563919067e-02	1.430125184760711911e-02
2.699131498137561369e-01	6.145354360342025757e-02	1.398964035806095005e-02
2.840125678300878809e-01	6.033168733119964600e-02	1.343733192240561050e-02
2.981119858464196248e-01	5.869492515921592712e-02	1.247594117029216139e-02
3.122114038627513688e-01	5.749245733022689819e-02	1.187079879254421093e-02
3.263108218790831683e-01	5.619853734970092773e-02	1.135909800243352710e-02
3.404102398954149677e-01	5.536051839590072632e-02	1.091312452224710121e-02
3.545096579117467117e-01	5.500224977731704712e-02	1.057074040116284634e-02
3.686090759280784557e-01	5.444734171032905579e-02	1.027645331093127515e-02
3.827084939444102551e-01	5.386671796441078186e-02	9.997851045819803120e-03
3.968079119607419991e-01	5.341251194477081299e-02	9.754015881449728739e-03
4.109073299770737986e-01	5.278496444225311279e-02	9.511334881739663683e-03
4.250067479934055426e-01	5.226317793130874634e-02	9.260182838881676412e-03
4.391061660097373420e-01	5.202903971076011658e-02	9.048147799493375457e-03
4.532055840260690860e-01	5.176157504320144653e-02	8.871209470378581263e-03
4.673050020424008300e-01	5.130492150783538818e-02	8.686385371682252277e-03
4.814044200587326294e-01	5.095356330275535583e-02	8.743770219774960051e-03
4.955038380750643734e-01	5.076211318373680115e-02	8.807292462166623967e-03
5.096032560913961174e-01	5.051317811012268066e-02	8.789686740460968262e-03
5.237026741077279723e-01	5.010280758142471313e-02	8.729489351945623685e-03
5.378020921240597163e-01	4.999228566884994507e-02	8.650026588361071564e-03
5.519015101403914603e-01	4.990883171558380127e-02	8.556921148057066925e-03
5.660009281567233153e-01	4.977065697312355042e-02	8.493414183700372100e-03
5.801003461730549482e-01	4.969380423426628113e-02	8.440162242850763122e-03
5.941997641893868032e-01	4.941599443554878235e-02	8.369858985234956972e-03
6.082991822057185471e-01	4.924558103084564209e-02	8.145469487841545606e-03
6.223986002220502911e-01	4.922595247626304626e-02	7.874720858146330021e-03
6.364980182383821461e-01	4.913304373621940613e-02	7.702933843542947648e-03
6.505974362547137790e-01	4.906504601240158081e-02	7.572873773571640703e-03
6.646968542710456340e-01	4.887421801686286926e-02	7.473058479797755650e-03
6.787962722873774890e-01	4.866541549563407898e-02	7.357602290419160487e-03
6.928956903037091219e-01	4.865558072924613953e-02	7.255206600141033378e-03
7.069951083200409769e-01	4.857016727328300476e-02	7.153008571010192884e-03
7.210945263363726099e-01	4.822076484560966492e-02	7.038280376139269962e-03
7.351939443527044649e-01	4.831823334097862244e-02	6.960345092653946741e-03
7.492933623690363198e-01	4.809296876192092896e-02	6.862070760567122799e-03
7.633927803853679528e-01	4.795308411121368408e-02	6.774957643813923035e-03
7.774921984016998078e-01	4.793404787778854370e-02	6.697802507164598608e-03
7.915916164180314407e-01	4.777394607663154602e-02	6.615724778568695535e-03
8.056910344343632957e-01	4.799197614192962646e-02	6.562948055766085198e-03
8.197904524506951507e-01	4.784822091460227966e-02	6.486278190390457575e-03
8.338898704670267836e-01	4.763340950012207031e-02	6.408034458493983183e-03
8.479892884833586386e-01	4.743202775716781616e-02	6.332025746251579434e-03
8.620887064996902716e-01	4.741799458861351013e-02	6.268673572558778814e-03
8.761881245160221265e-01	4.726731032133102417e-02	6.203391697967907369e-03
8.902875425323539815e-01	4.734162986278533936e-02	6.152154695498219736e-03
9.043869605486856145e-01	4.730779677629470825e-02	6.094265842277585103e-03
9.184863785650174695e-01	4.740500822663307190e-02	6.049034293949287662e-03
9.325857965813491024e-01	4.738274961709976196e-02	5.995975737955175876e-03
9.466852145976809574e-01	4.731287062168121338e-02	5.941137017539738739e-03
9.607846326140128124e-01	4.710444062948226929e-02	5.879352560426185509e-03
9.748840506303444453e-01	4.706242308020591736e-02	5.829980874087939413e-03
9.889834686466763003e-01	4.683832451701164246e-02	5.774047042124801944e-03
