# q in nm-1	I	poisson_error
1.289189696504384197e-01	1.048479229211807251e-01	7.937677417513151756e-02
1.430183876667701914e-01	1.394089907407760620e-01	4.987060258828125703e-02
1.571178056831019632e-01	1.148227751255035400e-01	3.485236545890246090e-02
1.712172236994337071e-01	9.358972311019897461e-02	2.660184076296426975e-02
1.853166417157655066e-01	8.133868128061294556e-02	2.143472775145358403e-02
1.994160597320972506e-01	7.551202923059463501e-02	1.815299163035923383e-02
2.135154777484290223e-01	7.212579995393753052e-02	1.591079779834845068e-02
2.276148957647607940e-01	6.851194053888320923e-02	1.548145075455181242e-02
2.417143137810925657e-01	6.606853753328323364e-02	1.501098355659693726e-02
2.558137317974243374e-01	6.332302838563919067e-02	1.450822943831143672e-02
2.699131498137561369e-01	6.145354360342025757e-02	1.419050735257385357e-02
2.840125678300878809e-01	6.033168733119964600e-02	1.363453201856793667e-02
2.981119858464196248e-01	5.869492515921592712e-02	1.266779134716683290e-02
3.122114038627513688e-01	5.749245733022689819e-02	1.205871858421007740e-02
3.263108218790831683e-01	5.619853734970092773e-02	1.154278848847455248e-02
3.404102398954149677e-01	5.536051839590072632e-02	1.109407586032814738e-02
3.545096579117467117e-01	5.500224977731704712e-02	1.075052070277596195e-02
3.686090759280784557e-01	5.444734171032905579e-02	1.045441984056134400e-02
3.827084939444102551e-01	5.386671796441078186e-02	1.017391974922299096e-02
3.968079119607419991e-01	5.341251194477081299e-02	9.928599967486607947e-03
4.109073299770737986e-01	5.278496444225311279e-02	9.683867766603210248e-03
4.250067479934055426e-01	5.226317793130874634e-02	9.431010212848941685e-03
4.391061660097373420e-01	5.202903971076011658e-02	9.218209869494351297e-03
4.532055840260690860e-01	5.176157504320144653e-02	9.040397305620083424e-03
4.673050020424008300e-01	5.130492150783538818e-02	8.854080589609859483e-03
4.814044200587326294e-01	5.095356330275535583e-02	8.910316988605681415e-03
4.955038380750643734e-01	5.076211318373680115e-02	8.973213457319351508e-03
5.096032560913961174e-01	5.051317811012268066e-02	8.954794066667468716e-03
5.237026741077279723e-01	5.010280758142471313e-02	8.893255341430060523e-03
5.378020921240597163e-01	4.999228566884994507e-02	8.813431326026572102e-03
5.519015101403914603e-01	4.990883171558380127e-02	8.720053108209835369e-03
5.660009281567233153e-01	4.977065697312355042e-02	8.656094506020591342e-03
5.801003461730549482e-01	4.969380423426628113e-02	8.602591364381422315e-03
5.941997641893868032e-01	4.941599443554878235e-02	8.531380057920220569e-03
6.082991822057185471e-01	4.924558103084564209e-02	8.306433547433336728e-03
6.223986002220502911e-01	4.922595247626304626e-02	8.035620759863172646e-03
6.364980182383821461e-01	4.913304373621940613e-02	7.863530063839935594e-03
6.505974362547137790e-01	4.906504601240158081e-02	7.733247736572854310e-03
6.646968542710456340e-01	4.887421801686286926e-02	7.632808702593195035e-03
6.787962722873774890e-01	4.866541549563407898e-02	7.516670021491151342e-03
6.928956903037091219e-01	4.865558072924613953e-02	7.414242185304907411e-03
7.069951083200409769e-01	4.857016727328300476e-02	7.311764973832670864e-03
7.210945263363726099e-01	4.822076484560966492e-02	7.195894722517043145e-03
7.351939443527044649e-01	4.831823334097862244e-02	7.118278024463518469e-03
7.492933623690363198e-01	4.809296876192092896e-02	7.019267392786593222e-03
7.633927803853679528e-01	4.795308411121368408e-02	6.931697049196363682e-03
7.774921984016998078e-01	4.793404787778854370e-02	6.854479690732465276e-03
7.915916164180314407e-01	4.777394607663154602e-02	6.771878653540689720e-03
8.056910344343632957e-01	4.799197614192962646e-02	6.719814583603348108e-03
8.197904524506951507e-01	4.784822091460227966e-02	6.642674840027611161e-03
8.338898704670267836e-01	4.763340950012207031e-02	6.563728975744887242e-03
8.479892884833586386e-01	4.743202775716781616e-02	6.487062027327885651e-03
8.620887064996902716e-01	4.741799458861351013e-02	6.423663984833617897e-03
8.761881245160221265e-01	4.726731032133102417e-02	6.357889583789190849e-03
8.902875425323539815e-01	4.734162986278533936e-02	6.306895502102426339e-03
9.043869605486856145e-01	4.730779677629470825e-02	6.248896062087280073e-03
9.184863785650174695e-01	4.740500822663307190e-02	6.203982259013636306e-03
9.325857965813491024e-01	4.738274961709976196e-02	6.150850948549452767e-03
9.466852145976809574e-01	4.731287062168121338e-02	6.095783821715665581e-03
9.607846326140128124e-01	4.710444062948226929e-02	6.033318090526699172e-03
9.748840506303444453e-01	4.706242308020591736e-02	5.983809065666618500e-03
9.889834686466763003e-01	4.683832451701164246e-02	5.927142745351727214e-03
1.003082886663008155e+00	4.682900756597518921e-02	5.889020567094878887e-03
1.017182304679339788e+00	4.680256918072700500e-02	5.960956694799629182e-03
1.031281722695671643e+00	4.680233448743820190e-02	6.000431794212413364e-03
1.045381140712003276e+00	4.686545953154563904e-02	5.998220263860921248e-03
1.059480558728335131e+00	4.686255753040313721e-02	5.993956474708511152e-03
1.073579976744666986e+00	4.659555479884147644e-02	5.973934872299748247e-03
1.087679394760998619e+00	4.661566764116287231e-02	5.969490648836162788e-03
1.101778812777330474e+00	4.654835537075996399e-02	5.957415217106724718e-03
1.115878230793662107e+00	4.653846472501754761e-02	5.948068405397240882e-03
1.129977648809993962e+00	4.630069062113761902e-02	5.922885028946100854e-03
1.144077066826325817e+00	4.639313369989395142e-02	5.811217591373569503e-03
1.158176484842657450e+00	4.653768613934516907e-02	5.710791145068117892e-03
1.172275902858989305e+00	4.644854739308357239e-02	5.654538231752950783e-03
1.186375320875321160e+00	4.645758494734764099e-02	5.618828075938598482e-03
1.200474738891652793e+00	4.631840810179710388e-02	5.579363644968575453e-03
1.214574156907984648e+00	4.638835415244102478e-02	5.554821565129043973e-03
1.228673574924316503e+00	4.638100042939186096e-02	5.528606775468255727e-03
1.242772992940648136e+00	4.620766639709472656e-02	5.491729586259549468e-03
1.256872410956979991e+00	4.631053656339645386e-02	5.472297262953427360e-03
1.270971828973311624e+00	4.608299210667610168e-02	5.434153667236062135e-03
1.285071246989643479e+00	4.617170616984367371e-02	5.416811273817619295e-03
1.299170665005975334e+00	4.610315710306167603e-02	5.389376664942957008e-03
1.313270083022306967e+00	4.612346738576889038e-02	5.367254798531816314e-03
