# Normalized	Hexane Cap	8324.0 eV
# q in nm-1	I in cm-1	poisson_error
1.533027402487101842e-01	8.842270076274871826e-02	7.278755368711846419e-02
1.700689274230457460e-01	9.490112960338592529e-02	4.099355268360695831e-02
1.868351145973813354e-01	8.669342100620269775e-02	3.016129749473886110e-02
2.036013017717168971e-01	7.788567245006561279e-02	2.417137698138762530e-02
2.203674889460524589e-01	7.151531428098678589e-02	2.001736032881390459e-02
2.371336761203880483e-01	6.900426000356674194e-02	1.727920984030149876e-02
2.538998632947235823e-01	6.615350395441055298e-02	1.516736623693107182e-02
2.706660504690591718e-01	6.358428299427032471e-02	1.484787037794031359e-02
2.874322376433947612e-01	6.265296787023544312e-02	1.455462477362149017e-02
3.041984248177302952e-01	6.115335971117019653e-02	1.419768908102770656e-02
3.209646119920659402e-01	6.025416404008865356e-02	1.399391837769317463e-02
3.377307991664014741e-01	5.916971713304519653e-02	1.344622439131398957e-02
3.544969863407370081e-01	5.794109404087066650e-02	1.253160365395898299e-02
3.712631735150726531e-01	5.762190371751785278e-02	1.201944223235779270e-02
3.880293606894081870e-01	5.680214241147041321e-02	1.155329958201289052e-02
4.047955478637437210e-01	5.638505518436431885e-02	1.114602697553299625e-02
4.215617350380793660e-01	5.637438967823982239e-02	1.083414063754718076e-02
4.383279222124148999e-01	5.584748089313507080e-02	1.053886772490739837e-02
4.550941093867504339e-01	5.512123182415962219e-02	1.024301814477505956e-02
4.718602965610860789e-01	5.497049540281295776e-02	1.002431235482954472e-02
4.886264837354216128e-01	5.446996539831161499e-02	9.789839321539125019e-03
5.053926709097571468e-01	5.440210551023483276e-02	9.575502070935673626e-03
5.221588580840927918e-01	5.387335270643234253e-02	9.333605496444422056e-03
5.389250452584283257e-01	5.396529659628868103e-02	9.184786827066986417e-03
5.556912324327638597e-01	5.338101089000701904e-02	8.985722959902369203e-03
5.724574196070995047e-01	5.328384786844253540e-02	9.066578303490066895e-03
5.892236067814350386e-01	5.337429419159889221e-02	9.156372411836997960e-03
6.059897939557706836e-01	5.285120382905006409e-02	9.114889331816413906e-03
6.227559811301062176e-01	5.278170853853225708e-02	9.083748400779828591e-03
6.395221683044417516e-01	5.278775468468666077e-02	9.012520403155499862e-03
6.562883554787772855e-01	5.246364697813987732e-02	8.896377345584209270e-03
6.730545426531129305e-01	5.228712782263755798e-02	8.828247596078185946e-03
6.898207298274484645e-01	5.238303914666175842e-02	8.788515240680409846e-03
7.065869170017839984e-01	5.226683616638183594e-02	8.730619428935297230e-03
7.233531041761196434e-01	5.183059722185134888e-02	8.478213437468642977e-03
7.401192913504551774e-01	5.185905471444129944e-02	8.204343712502051508e-03
7.568854785247907113e-01	5.182746425271034241e-02	8.033009351756079802e-03
7.736516656991263563e-01	5.168773233890533447e-02	7.893990646558737140e-03
7.904178528734618903e-01	5.166430398821830750e-02	7.804705489330266734e-03
8.071840400477974242e-01	5.152133107185363770e-02	7.691377819652977545e-03
8.239502272221330692e-01	5.133697763085365295e-02	7.572973215061261539e-03
8.407164143964686032e-01	5.144033208489418030e-02	7.482095807803806724e-03
8.574826015708041371e-01	5.124181136488914490e-02	7.375714325955850213e-03
8.742487887451397821e-01	5.119380727410316467e-02	7.284663289779657117e-03
8.910149759194753161e-01	5.102496221661567688e-02	7.187948289731540402e-03
9.077811630938108500e-01	5.087927356362342834e-02	7.098063942673574558e-03
9.245473502681464950e-01	5.075027048587799072e-02	7.010902745336242657e-03
9.413135374424820290e-01	5.051213130354881287e-02	6.921269656759766221e-03
9.580797246168175629e-01	5.085622891783714294e-02	6.875357013775762124e-03
9.748459117911532079e-01	5.061761662364006042e-02	6.790188723474818201e-03
9.916120989654887419e-01	5.047875642776489258e-02	6.715164551763023321e-03
1.008378286139824498e+00	5.034280568361282349e-02	6.641619860144843887e-03
1.025144473314159921e+00	5.038326606154441833e-02	6.579997685661275776e-03
1.041910660488495566e+00	5.023395642638206482e-02	6.513043299383708407e-03
1.058676847662831211e+00	5.015499517321586609e-02	6.450074277433746200e-03
1.075443034837166634e+00	5.016606673598289490e-02	6.393451441867443324e-03
1.092209222011502279e+00	5.012447014451026917e-02	6.337805139668712534e-03
1.108975409185837924e+00	4.981877654790878296e-02	6.265142353324214958e-03
1.125741596360173347e+00	5.008417367935180664e-02	6.230248953702659243e-03
1.142507783534508992e+00	4.994683712720870972e-02	6.171409042001820520e-03
1.159273970708844415e+00	4.992472752928733826e-02	6.121867289681145845e-03
1.176040157883180060e+00	4.983259737491607666e-02	6.072748225781719050e-03
1.192806345057515705e+00	4.977132380008697510e-02	6.030263715630652943e-03
1.209572532231851127e+00	4.970463737845420837e-02	6.102035179180905801e-03
1.226338719406186772e+00	4.970184341073036194e-02	6.142555477389971368e-03
1.243104906580522417e+00	4.985366761684417725e-02	6.145548758091151295e-03
1.259871093754857840e+00	4.958519712090492249e-02	6.124474618254742951e-03
1.276637280929193485e+00	4.945849627256393433e-02	6.113934981037990116e-03
1.293403468103529130e+00	4.945150390267372131e-02	6.107555053771687378e-03
1.310169655277864553e+00	4.941817745566368103e-02	6.097571768800866265e-03
1.326935842452200198e+00	4.947992414236068726e-02	6.092483972322472636e-03
1.343702029626535843e+00	4.939403384923934937e-02	6.077197235817300043e-03
1.360468216800871266e+00	4.937507584691047668e-02	5.954555569941361731e-03
1.377234403975206911e+00	4.939588159322738647e-02	5.842806454140684128e-03
1.394000591149542556e+00	4.935295507311820984e-02	5.788022474084101275e-03
1.410766778323877979e+00	4.930488765239715576e-02	5.747776532285771463e-03
1.427532965498213624e+00	4.933628067374229431e-02	5.717839930809373757e-03
1.444299152672549269e+00	4.935413599014282227e-02	5.689120033230462420e-03
1.461065339846884692e+00	4.918352141976356506e-02	5.652548293256474086e-03
1.477831527021220337e+00	4.913738742470741272e-02	5.622769102578990125e-03
1.494597714195555982e+00	4.924230650067329407e-02	5.602380704156878326e-03
1.511363901369891405e+00	4.896405339241027832e-02	5.561143080183636803e-03
1.528130088544227050e+00	4.884145408868789673e-02	5.530669921433689108e-03
1.544896275718562695e+00	4.886543378233909607e-02	5.508067639337759121e-03
1.561662462892898118e+00	4.885815083980560303e-02	5.483624154895367676e-03
1.578428650067233763e+00	4.887439683079719543e-02	5.462598447971651894e-03
1.595194837241569408e+00	4.864858090877532959e-02	5.426509284033728328e-03
1.611961024415904831e+00	4.877989366650581360e-02	5.404256910411302413e-03
1.628727211590240476e+00	4.886559769511222839e-02	5.372984853465661778e-03
1.645493398764576121e+00	4.863874614238739014e-02	5.311712123388714728e-03
1.662259585938911544e+00	4.861779510974884033e-02	5.256360505832288234e-03
1.679025773113247189e+00	4.838638380169868469e-02	5.192617933634630610e-03
1.695791960287582834e+00	4.853399842977523804e-02	5.156096035172735154e-03
1.712558147461918256e+00	4.860123991966247559e-02	5.116523012013127897e-03
1.729324334636253901e+00	4.843089729547500610e-02	5.066868037654616817e-03
1.746090521810589546e+00	4.857391864061355591e-02	5.030553859279498358e-03
1.762856708984924969e+00	4.835153371095657349e-02	4.977187765274592932e-03
1.779622896159260614e+00	4.835939779877662659e-02	4.938756996660190884e-03
1.796389083333596259e+00	4.835850372910499573e-02	4.903215165401143133e-03
1.813155270507931904e+00	4.824284464120864868e-02	4.868197522056547620e-03
1.829921457682267327e+00	4.824541136622428894e-02	4.842982499761530786e-03
1.846687644856602972e+00	4.835851490497589111e-02	4.824169645353674693e-03
1.863453832030938617e+00	4.818144813179969788e-02	4.792136503399935243e-03
1.880220019205274040e+00	4.811076447367668152e-02	4.763393507439173460e-03
1.896986206379609685e+00	4.808592051267623901e-02	4.738369023309713622e-03
1.913752393553945330e+00	4.804448038339614868e-02	4.713253437576534616e-03
1.930518580728280753e+00	4.792738333344459534e-02	4.685478125457077751e-03
1.947284767902616398e+00	4.804275929927825928e-02	4.668645792570658322e-03
1.964050955076952043e+00	4.803259298205375671e-02	4.645690419499953934e-03
1.980817142251287466e+00	4.802324622869491577e-02	4.623354941671234571e-03
1.997583329425623111e+00	4.790871217846870422e-02	4.596785310329944835e-03
2.014349516599958978e+00	4.771691188216209412e-02	4.566343808908160558e-03
2.031115703774294179e+00	4.779538139700889587e-02	4.550125875914487125e-03
2.047881890948629824e+00	4.776014760136604309e-02	4.527920706626345493e-03
2.064648078122965469e+00	4.778488352894783020e-02	4.509929017405063696e-03
2.081414265297301114e+00	4.759360104799270630e-02	4.480417725429193705e-03
2.098180452471636759e+00	4.763375967741012573e-02	4.463820576423354648e-03
2.114946639645972404e+00	4.770037531852722168e-02	4.447269946069237062e-03
2.131712826820307605e+00	4.754875227808952332e-02	4.421601202665228179e-03
2.148479013994643250e+00	4.751548171043395996e-02	4.401005217423332311e-03
2.165245201168978895e+00	4.739633575081825256e-02	4.377545630706056873e-03
2.182011388343314540e+00	4.749406501650810242e-02	4.364356537517401907e-03
2.198777575517650185e+00	4.756485298275947571e-02	4.349977664504035661e-03
2.215543762691985830e+00	4.739726707339286804e-02	4.324166852891734615e-03
2.232309949866321475e+00	4.740890860557556152e-02	4.306462574675549819e-03
2.249076137040656675e+00	4.736222699284553528e-02	4.287754285426502270e-03
2.265842324214992320e+00	4.732636362314224243e-02	4.268782156262068868e-03
2.282608511389327965e+00	4.740674421191215515e-02	4.256140100276189532e-03
2.299374698563663610e+00	4.722343757748603821e-02	4.230858572234505108e-03
2.316140885737999255e+00	4.719472676515579224e-02	4.213555072280932012e-03
2.332907072912334900e+00	4.722538590431213379e-02	4.198909899232236217e-03
2.349673260086670545e+00	4.727159813046455383e-02	4.184776463289259681e-03
2.366439447261005746e+00	4.726052656769752502e-02	4.168627481359201033e-03
2.383205634435341391e+00	4.721896350383758545e-02	4.151289341025279911e-03
2.399971821609677036e+00	4.716273024678230286e-02	4.128279182196132636e-03
2.416738008784012681e+00	4.712717607617378235e-02	4.107980014845565540e-03
2.433504195958348326e+00	4.709539562463760376e-02	4.091284453735717121e-03
2.450270383132683971e+00	4.717483371496200562e-02	4.079960520039942196e-03
2.467036570307019172e+00	4.720340296626091003e-02	4.066639523866657883e-03
2.483802757481354817e+00	4.710726439952850342e-02	4.078242253672188442e-03
