# Normalized	8324 eV	Hexane Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.533027377231604982e-01	8.842270076274871826e-02	7.278756072144676459e-02
1.700689249038178363e-01	9.490112960338592529e-02	4.099355180397665221e-02
1.868351120844752022e-01	8.669342100620269775e-02	3.016129856147421739e-02
2.036012992651325404e-01	7.788567245006561279e-02	2.417137681334262031e-02
2.203674864457899063e-01	7.151531428098678589e-02	2.001736045285423468e-02
2.371336736264472445e-01	6.900426000356674194e-02	1.727920980545809976e-02
2.538998608071045826e-01	6.615350395441055298e-02	1.516736667024339361e-02
2.706660479877619485e-01	6.358428299427032471e-02	1.484786995622393302e-02
2.874322351684193144e-01	6.265297532081604004e-02	1.455462464947862578e-02
3.041984223490766248e-01	6.115335971117019653e-02	1.419768897104387723e-02
3.209646095297339907e-01	6.025416404008865356e-02	1.399391831219302593e-02
3.377307967103913011e-01	5.916971713304519653e-02	1.344622423445832049e-02
3.544969838910486670e-01	5.794109404087066650e-02	1.253160365872569779e-02
3.712631710717060329e-01	5.762190371751785278e-02	1.201944221856253089e-02
3.880293582523633988e-01	5.680214241147041321e-02	1.155329941908997057e-02
4.047955454330207092e-01	5.638505518436431885e-02	1.114602710107439297e-02
4.215617326136780751e-01	5.637438967823982239e-02	1.083414051583675430e-02
4.383279197943354411e-01	5.584748089313507080e-02	1.053886768911781874e-02
4.550941069749927514e-01	5.512123182415962219e-02	1.024301779388785312e-02
4.718602941556501174e-01	5.497049540281295776e-02	1.002431259310171234e-02
4.886264813363074833e-01	5.446996539831161499e-02	9.789838963569448549e-03
5.053926685169647381e-01	5.440210551023483276e-02	9.575502136761554831e-03
5.221588556976222151e-01	5.387335270643234253e-02	9.333605723659588876e-03
5.389250428782794700e-01	5.396529659628868103e-02	9.184786527612745499e-03
5.556912300589368359e-01	5.338101089000701904e-02	8.985723091913852545e-03
5.724574172395942018e-01	5.328384786844253540e-02	9.066578221539422708e-03
5.892236044202515677e-01	5.337429419159889221e-02	9.156372151210016158e-03
6.059897916009089336e-01	5.285120382905006409e-02	9.114889413788195699e-03
6.227559787815661885e-01	5.278170853853225708e-02	9.083748317438236283e-03
6.395221659622236654e-01	5.278775468468666077e-02	9.012520309611872157e-03
