# Normalized	8330.0 eV	Hexane Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.534133333808537225e-01	-2.271695375442504883e+00	nan
1.701916152350436418e-01	-1.809213399887084961e+00	nan
1.869698970892335610e-01	-1.453745961189270020e+00	nan
2.037481789434235080e-01	-1.199407100677490234e+00	nan
2.205264607976133995e-01	-1.006980776786804199e+00	nan
2.373047426518033465e-01	-8.812096714973449707e-01	nan
2.540830245059932935e-01	-7.929517626762390137e-01	nan
2.708613063601831850e-01	-7.160812020301818848e-01	nan
2.876395882143730764e-01	-6.607534885406494141e-01	nan
3.044178700685630234e-01	-6.185950636863708496e-01	nan
3.211961519227529704e-01	-5.841848254203796387e-01	nan
3.379744337769428619e-01	-5.574907660484313965e-01	nan
3.547527156311328089e-01	-5.308318734169006348e-01	nan
3.715309974853227004e-01	-5.117546916007995605e-01	nan
3.883092793395126474e-01	-4.942459166049957275e-01	nan
4.050875611937025389e-01	-4.820137917995452881e-01	nan
4.218658430478924859e-01	-4.713322222232818604e-01	nan
4.386441249020824329e-01	-4.608371257781982422e-01	nan
4.554224067562723244e-01	-4.495507478713989258e-01	nan
4.722006886104622714e-01	-4.429429471492767334e-01	nan
4.889789704646521629e-01	-4.329004287719726562e-01	nan
5.057572523188420544e-01	-4.269405901432037354e-01	nan
5.225355341730320013e-01	-4.201543033123016357e-01	nan
5.393138160272219483e-01	-4.136115610599517822e-01	nan
5.560920978814118953e-01	-4.069340527057647705e-01	nan
5.728703797356018423e-01	-4.006302952766418457e-01	nan
5.896486615897917893e-01	-3.967927992343902588e-01	nan
6.064269434439816253e-01	-3.890274167060852051e-01	nan
6.232052252981715723e-01	-3.840920031070709229e-01	nan
6.399835071523614083e-01	-3.796475827693939209e-01	nan
6.567617890065513553e-01	-3.760124742984771729e-01	nan
6.735400708607413023e-01	-3.712094724178314209e-01	nan
6.903183527149312493e-01	-3.683833181858062744e-01	nan
7.070966345691211963e-01	-3.648375272750854492e-01	nan
7.238749164233111433e-01	-3.603061139583587646e-01	nan
7.406531982775009793e-01	-3.586465716361999512e-01	nan
7.574314801316909262e-01	-3.558747172355651855e-01	nan
7.742097619858808732e-01	-3.522794246673583984e-01	nan
7.909880438400708202e-01	-3.492278158664703369e-01	nan
8.077663256942606562e-01	-3.454512953758239746e-01	nan
8.245446075484506032e-01	-3.417823016643524170e-01	nan
8.413228894026405502e-01	-3.391589820384979248e-01	nan
8.581011712568304972e-01	-3.353393673896789551e-01	nan
8.748794531110204442e-01	-3.319683372974395752e-01	nan
8.916577349652102802e-01	-3.283049762248992920e-01	nan
9.084360168194002272e-01	-3.252651393413543701e-01	nan
9.252142986735901742e-01	-3.231810927391052246e-01	nan
9.419925805277801212e-01	-3.182608187198638916e-01	nan
9.587708623819700682e-01	-3.166070580482482910e-01	nan
9.755491442361599042e-01	-3.141320347785949707e-01	nan
9.923274260903498512e-01	-3.100520670413970947e-01	nan
1.009105707944539798e+00	-3.072129487991333008e-01	nan
1.025883989798729745e+00	-3.044893443584442139e-01	nan
1.042662271652919692e+00	-3.018153011798858643e-01	nan
1.059440553507109417e+00	-3.002384006977081299e-01	nan
1.076218835361299586e+00	-2.974991500377655029e-01	nan
1.092997117215489311e+00	-2.943359017372131348e-01	nan
1.109775399069679480e+00	-2.913815677165985107e-01	nan
1.126553680923869205e+00	-2.891819775104522705e-01	nan
1.143331962778059152e+00	-2.862425446510314941e-01	nan
1.160110244632249099e+00	-2.840366065502166748e-01	nan
1.176888526486438824e+00	-2.816965878009796143e-01	nan
1.193666808340628993e+00	-2.789470255374908447e-01	nan
1.210445090194818718e+00	-2.756319642066955566e-01	nan
1.227223372049008887e+00	-2.734263539314270020e-01	nan
1.244001653903198612e+00	-2.719501554965972900e-01	nan
1.260779935757388781e+00	-2.686296105384826660e-01	nan
1.277558217611578506e+00	-2.656599581241607666e-01	nan
1.294336499465768675e+00	-2.634296417236328125e-01	nan
1.311114781319958400e+00	-2.606092095375061035e-01	nan
1.327893063174148125e+00	-2.588413357734680176e-01	nan
1.344671345028338294e+00	-2.563089132308959961e-01	nan
1.361449626882528019e+00	-2.547318637371063232e-01	nan
1.378227908736718188e+00	-2.535084187984466553e-01	nan
1.395006190590907913e+00	-2.510213553905487061e-01	nan
1.411784472445098082e+00	-2.488959729671478271e-01	nan
1.428562754299287807e+00	-2.468659579753875732e-01	nan
1.445341036153477976e+00	-2.453038692474365234e-01	nan
1.462119318007667701e+00	-2.425184100866317749e-01	nan
1.478897599861857426e+00	-2.397816479206085205e-01	nan
1.495675881716047595e+00	-2.379102855920791626e-01	nan
1.512454163570237320e+00	-2.356178313493728638e-01	nan
1.529232445424427489e+00	-2.335114926099777222e-01	nan
1.546010727278617214e+00	-2.311485707759857178e-01	nan
1.562789009132807383e+00	-2.291026413440704346e-01	nan
1.579567290986997108e+00	-2.261947691440582275e-01	nan
1.596345572841187277e+00	-2.245106399059295654e-01	nan
1.613123854695377002e+00	-2.221636772155761719e-01	nan
1.629902136549566727e+00	-2.196882218122482300e-01	nan
1.646680418403756896e+00	-2.175097465515136719e-01	nan
1.663458700257946621e+00	-2.154294997453689575e-01	nan
1.680236982112136790e+00	-2.129561603069305420e-01	nan
1.697015263966326515e+00	-2.106016874313354492e-01	nan
1.713793545820516684e+00	-2.089721411466598511e-01	nan
1.730571827674706409e+00	-2.061251997947692871e-01	nan
1.747350109528896578e+00	-2.044615745544433594e-01	nan
1.764128391383086303e+00	-2.018422782421112061e-01	nan
1.780906673237276028e+00	-1.994929611682891846e-01	nan
