# Normalized	8239.0 eV	empty Kapton Hexane
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517372972275117804e-01	1.076665878295898438e+00	2.610733130505123456e-01
1.683322765328058579e-01	8.939247131347656250e-01	1.316135805366297484e-01
1.849272558380999354e-01	7.435639500617980957e-01	9.312804856566539446e-02
2.015222351433940129e-01	6.324688792228698730e-01	7.294560653358490854e-02
2.181172144486880904e-01	5.446437597274780273e-01	5.872780992108336123e-02
2.347121937539821679e-01	4.844059050083160400e-01	4.886537280609615230e-02
2.513071730592763009e-01	4.407652914524078369e-01	4.194616371439638391e-02
2.679021523645703784e-01	4.018754959106445312e-01	3.986723772140379762e-02
2.844971316698644559e-01	3.743966519832611084e-01	3.793484812939153933e-02
3.010921109751585334e-01	3.529147207736968994e-01	3.632143704558630365e-02
3.176870902804526109e-01	3.361535072326660156e-01	3.515702831708580195e-02
3.342820695857466884e-01	3.237266838550567627e-01	3.347421206624586615e-02
3.508770488910407659e-01	3.119310736656188965e-01	3.102311089046002474e-02
3.674720281963348434e-01	3.044385910034179688e-01	2.952433653512346115e-02
3.840670075016289209e-01	2.958315312862396240e-01	2.820720955671114638e-02
4.006619868069229984e-01	2.894432842731475830e-01	2.705258965905788307e-02
4.172569661122170759e-01	2.847431600093841553e-01	2.611652416696131490e-02
4.338519454175111534e-01	2.789273560047149658e-01	2.528236990577026333e-02
4.504469247228052309e-01	2.735072374343872070e-01	2.451198046373705836e-02
4.670419040280993084e-01	2.693194150924682617e-01	2.385579100479346196e-02
4.836368833333933859e-01	2.630124986171722412e-01	2.313864548877107852e-02
5.002318626386874634e-01	2.580870985984802246e-01	2.244980259523004368e-02
5.168268419439815409e-01	2.538535296916961670e-01	2.182713598719446604e-02
5.334218212492756184e-01	2.482208311557769775e-01	2.122683421509260690e-02
5.500168005545698069e-01	2.426318973302841187e-01	2.064970800515758542e-02
5.666117798598637734e-01	2.370368391275405884e-01	2.057809235943148726e-02
5.832067591651579619e-01	2.327397316694259644e-01	2.054642714906566164e-02
5.998017384704519284e-01	2.265100777149200439e-01	2.025565124933837585e-02
6.163967177757461169e-01	2.217903584241867065e-01	1.997510638450594039e-02
6.329916970810400834e-01	2.166215479373931885e-01	1.957698434207486016e-02
6.495866763863342719e-01	2.111786305904388428e-01	1.913319877100352201e-02
6.661816556916282384e-01	2.059174329042434692e-01	1.876933386902552431e-02
6.827766349969224269e-01	2.014040648937225342e-01	1.845222462898632801e-02
6.993716143022163934e-01	1.965850442647933960e-01	1.811966255557395308e-02
7.159665936075105819e-01	1.911049634218215942e-01	1.743201444104640688e-02
7.325615729128045484e-01	1.871889233589172363e-01	1.671355314054965777e-02
7.491565522180987369e-01	1.830493360757827759e-01	1.619555820751222494e-02
7.657515315233927033e-01	1.781585067510604858e-01	1.572244292143682581e-02
7.823465108286868919e-01	1.739575415849685669e-01	1.536032565157256086e-02
7.989414901339808583e-01	1.695778965950012207e-01	1.496426227654799532e-02
8.155364694392750469e-01	1.654368937015533447e-01	1.457805906369813095e-02
8.321314487445690133e-01	1.622285097837448120e-01	1.424929687969791331e-02
8.487264280498632019e-01	1.580702662467956543e-01	1.388945903470762550e-02
