# q in nm-1	I	poisson_error
1.289189696504384197e-01	1.756333589553833008e+00	3.234729323280032820e-01
1.430183876667701914e-01	1.437499761581420898e+00	1.586780121437621482e-01
1.571178056831019632e-01	1.160249114036560059e+00	1.095952622802879306e-01
1.712172236994337071e-01	9.545736908912658691e-01	8.398065370252706663e-02
1.853166417157655066e-01	7.994022965431213379e-01	6.636386878389133326e-02
1.994160597320972506e-01	6.917400360107421875e-01	5.419586964761739095e-02
2.135154777484290223e-01	6.142454147338867188e-01	4.574403858204420525e-02
2.276148957647607940e-01	5.494191050529479980e-01	4.320684031807687370e-02
2.417143137810925657e-01	5.021221041679382324e-01	4.078713970902306252e-02
2.558137317974243374e-01	4.639959335327148438e-01	3.871241940328325887e-02
2.699131498137561369e-01	4.342937171459197998e-01	3.718988716171939268e-02
2.840125678300878809e-01	4.107488095760345459e-01	3.506133626172696499e-02
2.981119858464196248e-01	3.904628157615661621e-01	3.217828443448520620e-02
3.122114038627513688e-01	3.758687078952789307e-01	3.035236917412950652e-02
3.263108218790831683e-01	3.613891899585723877e-01	2.880506954570958081e-02
3.404102398954149677e-01	3.497664928436279297e-01	2.743077860091190645e-02
3.545096579117467117e-01	3.403979837894439697e-01	2.629715018099517548e-02
3.686090759280784557e-01	3.318521976470947266e-01	2.537039672535785356e-02
3.827084939444102551e-01	3.238492906093597412e-01	2.451420830128660938e-02
3.968079119607419991e-01	3.175843060016632080e-01	2.378436093604228280e-02
4.109073299770737986e-01	3.106314241886138916e-01	2.307326475999231519e-02
4.250067479934055426e-01	3.046358525753021240e-01	2.235693010343402926e-02
4.391061660097373420e-01	2.990876436233520508e-01	2.169381916667115912e-02
4.532055840260690860e-01	2.936541140079498291e-01	2.112988513477565347e-02
4.673050020424008300e-01	2.878514528274536133e-01	2.057518759236614050e-02
4.814044200587326294e-01	2.820407450199127197e-01	2.057156793912552628e-02
4.955038380750643734e-01	2.770883142948150635e-01	2.057698138757962925e-02
5.096032560913961174e-01	2.715093493461608887e-01	2.037808884889278846e-02
5.237026741077279723e-01	2.668485939502716064e-01	2.014606741284717673e-02
5.378020921240597163e-01	2.614154219627380371e-01	1.978023991914161853e-02
5.519015101403914603e-01	2.563014328479766846e-01	1.939118576841654742e-02
5.660009281567233153e-01	2.510749101638793945e-01	1.907643761945990515e-02
5.801003461730549482e-01	2.459569424390792847e-01	1.877713061180956433e-02
5.941997641893868032e-01	2.410850375890731812e-01	1.848713111268923334e-02
