# Normalized	7000.0 eV	empty Kapton Hexane
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189696504384197e-01	1.756333589553833008e+00	3.353448509392576993e-01
1.430183876667701914e-01	1.437499761581420898e+00	1.683947768146055457e-01
1.571178056831019632e-01	1.160249114036560059e+00	1.174379540858470350e-01
1.712172236994337071e-01	9.545736908912658691e-01	9.043308462687367488e-02
1.853166417157655066e-01	7.994022965431213379e-01	7.176742028382061822e-02
1.994160597320972506e-01	6.917400360107421875e-01	5.887167921848138197e-02
2.135154777484290223e-01	6.142454147338867188e-01	4.989602406727847161e-02
2.276148957647607940e-01	5.494191050529479980e-01	4.692063303800874524e-02
2.417143137810925657e-01	5.021221041679382324e-01	4.418122884393956701e-02
2.558137317974243374e-01	4.639959335327148438e-01	4.184879508476911647e-02
2.699131498137561369e-01	4.342937171459197998e-01	4.012549102080476687e-02
2.840125678300878809e-01	4.107488095760345459e-01	3.783778856324849366e-02
2.981119858464196248e-01	3.904628157615661621e-01	3.481761377204010272e-02
3.122114038627513688e-01	3.758687078952789307e-01	3.289304979151932984e-02
3.263108218790831683e-01	3.613891899585723877e-01	3.124787601237018209e-02
3.404102398954149677e-01	3.497664928436279297e-01	2.979502156744214328e-02
3.545096579117467117e-01	3.403979837894439697e-01	2.859806680812064517e-02
3.686090759280784557e-01	3.318521976470947266e-01	2.761354820003473348e-02
3.827084939444102551e-01	3.238492906093597412e-01	2.670326420916996346e-02
3.968079119607419991e-01	3.175843060016632080e-01	2.593106874570232090e-02
4.109073299770737986e-01	3.106314241886138916e-01	2.517297463743198987e-02
4.250067479934055426e-01	3.046358525753021240e-01	2.441611297698075000e-02
4.391061660097373420e-01	2.990876436233520508e-01	2.371549897957634864e-02
4.532055840260690860e-01	2.936541140079498291e-01	2.311483706082064979e-02
4.673050020424008300e-01	2.878514528274536133e-01	2.252091649058016523e-02
4.814044200587326294e-01	2.820407450199127197e-01	2.247801941841685858e-02
4.955038380750643734e-01	2.770883142948150635e-01	2.244995696295047291e-02
5.096032560913961174e-01	2.715093493461608887e-01	2.221335346878261854e-02
5.237026741077279723e-01	2.668485939502716064e-01	2.194982770516731505e-02
5.378020921240597163e-01	2.614154219627380371e-01	2.154727474198341389e-02
5.519015101403914603e-01	2.563014328479766846e-01	2.112365263508510227e-02
5.660009281567233153e-01	2.510749101638793945e-01	2.077357586046501767e-02
5.801003461730549482e-01	2.459569424390792847e-01	2.043967400326830372e-02
5.941997641893868032e-01	2.410850375890731812e-01	2.011674291404171380e-02
6.082991822057185471e-01	2.353751957416534424e-01	1.939892206820438905e-02
6.223986002220502911e-01	2.309229075908660889e-01	1.861670247156055336e-02
6.364980182383821461e-01	2.258931100368499756e-01	1.804352861515835099e-02
6.505974362547137790e-01	2.208141088485717773e-01	1.755786070997211387e-02
6.646968542710456340e-01	2.160035818815231323e-01	1.717053601511130470e-02
6.787962722873774890e-01	2.109429538249969482e-01	1.674409818607348541e-02
6.928956903037091219e-01	2.057742476463317871e-01	1.631127797197055515e-02
7.069951083200409769e-01	2.012795358896255493e-01	1.592196839242899023e-02
7.210945263363726099e-01	1.965641379356384277e-01	1.553892171894653319e-02
7.351939443527044649e-01	1.921584159135818481e-01	1.517938815181509374e-02
7.492933623690363198e-01	1.876476556062698364e-01	1.482297962901085557e-02
7.633927803853679528e-01	1.836709827184677124e-01	1.450076149840360575e-02
7.774921984016998078e-01	1.798396706581115723e-01	1.418900197419708381e-02
7.915916164180314407e-01	1.752663850784301758e-01	1.385630393865742299e-02
8.056910344343632957e-01	1.718288213014602661e-01	1.357979058523706151e-02
8.197904524506951507e-01	1.679396927356719971e-01	1.328695164082778317e-02
8.338898704670267836e-01	1.641856878995895386e-01	1.300678959873968407e-02
8.479892884833586386e-01	1.609606146812438965e-01	1.275252569445819474e-02
8.620887064996902716e-01	1.578586101531982422e-01	1.250473064655034661e-02
8.761881245160221265e-01	1.546574383974075317e-01	1.226647289747138589e-02
8.902875425323539815e-01	1.518236398696899414e-01	1.204355496060418446e-02
9.043869605486856145e-01	1.486038863658905029e-01	1.180563983952616879e-02
9.184863785650174695e-01	1.460117548704147339e-01	1.160313459770029830e-02
9.325857965813491024e-01	1.434212028980255127e-01	1.140118621527272912e-02
9.466852145976809574e-01	1.406779736280441284e-01	1.119546376825773619e-02
9.607846326140128124e-01	1.381995081901550293e-01	1.100467689606695124e-02
9.748840506303444453e-01	1.358275562524795532e-01	1.082242889707452603e-02
9.889834686466763003e-01	1.335906386375427246e-01	1.065442013346439530e-02
1.003082886663008155e+00	1.313571631908416748e-01	1.049462805688541368e-02
1.017182304679339788e+00	1.290023326873779297e-01	1.051447371331452538e-02
1.031281722695671643e+00	1.272940635681152344e-01	1.050399720002895450e-02
1.045381140712003276e+00	1.253917217254638672e-01	1.040840532962675029e-02
1.059480558728335131e+00	1.233326196670532227e-01	1.030905292807910746e-02
1.073579976744666986e+00	1.214179322123527527e-01	1.021825894308504845e-02
1.087679394760998619e+00	1.199011504650115967e-01	1.013987599546074120e-02
1.101778812777330474e+00	1.180220842361450195e-01	1.004159386428544326e-02
1.115878230793662107e+00	1.164757758378982544e-01	9.956626282357152954e-03
1.129977648809993962e+00	1.150101125240325928e-01	9.873745770834994537e-03
1.144077066826325817e+00	1.134654134511947632e-01	9.617897794249694043e-03
1.158176484842657450e+00	1.122335195541381836e-01	9.391019143222864574e-03
1.172275902858989305e+00	1.107053905725479126e-01	9.243548424758118304e-03
1.186375320875321160e+00	1.093348935246467590e-01	9.125887387086332667e-03
1.200474738891652793e+00	1.080504730343818665e-01	9.020733049551581118e-03
1.214574156907984648e+00	1.069848015904426575e-01	8.928706132092562378e-03
1.228673574924316503e+00	1.055751591920852661e-01	8.826071054583385991e-03
1.242772992940648136e+00	1.044448614120483398e-01	8.735416901437370249e-03
1.256872410956979991e+00	1.033670231699943542e-01	8.648181983965918737e-03
1.270971828973311624e+00	1.020265519618988037e-01	8.551233931652984024e-03
1.285071246989643479e+00	1.010162308812141418e-01	8.471783598955671610e-03
1.299170665005975334e+00	1.000353023409843445e-01	8.392921761153332438e-03
1.313270083022306967e+00	9.903910756111145020e-02	8.313463657369870446e-03
1.327369501038638822e+00	9.777215123176574707e-02	8.224793766499430975e-03
1.341468919054970454e+00	9.682036936283111572e-02	8.148739458726485946e-03
1.355568337071302309e+00	9.603784233331680298e-02	8.071393688175913447e-03
1.369667755087634164e+00	9.535040706396102905e-02	7.989682624493222446e-03
1.383767173103965797e+00	9.437788277864456177e-02	7.877966819326415876e-03
1.397866591120297652e+00	9.354599565267562866e-02	7.765206295737098197e-03
1.411966009136629285e+00	9.273597598075866699e-02	7.658250543084765653e-03
