# Normalized	8239.0 eV	empty Kapton Hexane
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517373003233184192e-01	1.076665759086608887e+00	2.610732731356137926e-01
1.683322808144483151e-01	8.939246535301208496e-01	1.316135647585176538e-01
1.849272613055782111e-01	7.435638308525085449e-01	9.312803576208665557e-02
2.015222417967081348e-01	6.324688196182250977e-01	7.294559627410705793e-02
2.181172222878380307e-01	5.446437001228332520e-01	5.872780252792179218e-02
2.347122027789679266e-01	4.844058752059936523e-01	4.886536612050330908e-02
2.513071832700978225e-01	4.407652616500854492e-01	4.194615885756251134e-02
2.679021637612277185e-01	4.018754363059997559e-01	3.986723490437003858e-02
2.844971442523576144e-01	3.743966221809387207e-01	3.793484417285451771e-02
3.010921247434875103e-01	3.529146909713745117e-01	3.632143446135325388e-02
3.176871052346174062e-01	3.361534774303436279e-01	3.515702590279366768e-02
3.342820857257473022e-01	3.237266540527343750e-01	3.347420681677969884e-02
3.508770662168771981e-01	3.119310438632965088e-01	3.102310759347469762e-02
3.674720467080071495e-01	3.044385612010955811e-01	2.952433385524846562e-02
3.840670271991369900e-01	2.958315014839172363e-01	2.820720668748392945e-02
4.006620076902669414e-01	2.894432544708251953e-01	2.705258653935268057e-02
4.172569881813967818e-01	2.847431302070617676e-01	2.611652177814229384e-02
4.338519686725267333e-01	2.789273262023925781e-01	2.528236733628502764e-02
4.504469491636565737e-01	2.735072374343872070e-01	2.451197884389349699e-02
4.670419296547865251e-01	2.693193852901458740e-01	2.385578790359964632e-02
4.836369101459163655e-01	2.630124688148498535e-01	2.313864318804895875e-02
5.002318906370463170e-01	2.580870687961578369e-01	2.244980028388707249e-02
5.168268711281761574e-01	2.538534998893737793e-01	2.182713371294340426e-02
5.334218516193061088e-01	2.482208013534545898e-01	2.122683183124755152e-02
5.500168321104360603e-01	2.426318824291229248e-01	2.064970627149461876e-02
5.666118126015659007e-01	2.370368093252182007e-01	2.057809103871413928e-02
5.832067930926958521e-01	2.327397018671035767e-01	2.054642514506769754e-02
5.998017735838256925e-01	2.265100628137588501e-01	2.025565019468671471e-02
6.163967540749556440e-01	2.217903286218643188e-01	1.997510385283349579e-02
6.329917345660854844e-01	2.166215330362319946e-01	1.957698294067455186e-02
6.495867150572154358e-01	2.111786156892776489e-01	1.913319648110167054e-02
6.661816955483452762e-01	2.059174031019210815e-01	1.876933250933596545e-02
6.827766760394752277e-01	2.014040499925613403e-01	1.845222269407615495e-02
6.993716565306051791e-01	1.965850144624710083e-01	1.811966037439837612e-02
7.159666370217350195e-01	1.911049336194992065e-01	1.743201113631751356e-02
7.325616175128649710e-01	1.871889084577560425e-01	1.671355068580935438e-02
7.491565980039948114e-01	1.830493211746215820e-01	1.619555623192885443e-02
7.657515784951247628e-01	1.781584918498992920e-01	1.572244118830050386e-02
7.823465589862546032e-01	1.739575266838073730e-01	1.536032443653772249e-02
7.989415394773845547e-01	1.695778667926788330e-01	1.496426013140642226e-02
8.155365199685143951e-01	1.654368788003921509e-01	1.457805682875735163e-02
8.321315004596443465e-01	1.622284799814224243e-01	1.424929508792347616e-02
