# Normalized	empty Kapton Hexane	8304.0 eV
# q in nm-1	I in cm-1	poisson_error
1.529343905150668814e-01	1.047224640846252441e+00	2.525435465385711398e-01
1.696602923870779989e-01	8.687547445297241211e-01	1.256503353469193007e-01
1.863861942590890886e-01	7.241245508193969727e-01	8.849312361520735026e-02
2.031120961311002060e-01	6.138681173324584961e-01	6.896698467006023847e-02
2.198379980031113234e-01	5.256381630897521973e-01	5.520161985913291103e-02
2.365638998751224409e-01	4.650826752185821533e-01	4.566661184781802690e-02
2.532898017471335583e-01	4.222171306610107422e-01	3.904039051693448253e-02
2.700157036191446203e-01	3.837942779064178467e-01	3.712528155322385864e-02
2.867416054911557932e-01	3.580715954303741455e-01	3.538869976074023038e-02
3.034675073631668551e-01	3.366476893424987793e-01	3.386364265707812043e-02
3.201934092351780281e-01	3.197021782398223877e-01	3.275264654709703765e-02
3.369193111071890900e-01	3.068807423114776611e-01	3.111608512596725565e-02
3.536452129792002075e-01	2.973524034023284912e-01	2.886592246334379608e-02
3.703711148512113249e-01	2.893885672092437744e-01	2.739684005557136565e-02
3.870970167232223869e-01	2.827658057212829590e-01	2.622638039400424642e-02
4.038229185952335598e-01	2.761442363262176514e-01	2.510261778963366816e-02
4.205488204672446217e-01	2.713938057422637939e-01	2.419754695363105293e-02
4.372747223392557947e-01	2.668948173522949219e-01	2.345702792078014146e-02
4.540006242112668566e-01	2.615623772144317627e-01	2.272165516989006068e-02
4.707265260832780296e-01	2.575685977935791016e-01	2.209957327802836852e-02
4.874524279552890915e-01	2.524618804454803467e-01	2.146763544455901687e-02
5.041783298273001535e-01	2.478635013103485107e-01	2.082087173388196336e-02
5.209042316993113264e-01	2.435338050127029419e-01	2.021871938353927978e-02
5.376301335713223883e-01	2.387603819370269775e-01	1.968331596290594926e-02
5.543560354433335613e-01	2.336523979902267456e-01	1.915419014009098198e-02
5.710819373153446232e-01	2.278114110231399536e-01	1.908993653732648718e-02
