# Normalized	8304 eV	empty Kapton Hexane
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.529344028781202680e-01	1.047224521636962891e+00	2.525432998065087475e-01
1.696603047191850566e-01	8.687546253204345703e-01	1.256502940652859113e-01
1.863862065602498452e-01	7.241244912147521973e-01	8.849310224315160012e-02
2.031121084013146616e-01	6.138680577278137207e-01	6.896697053386471876e-02
2.198380102423794225e-01	5.256381630897521973e-01	5.520161096373147475e-02
2.365639120834442388e-01	4.650826454162597656e-01	4.566660542330211459e-02
2.532898139245089997e-01	4.222171008586883545e-01	3.904038755834764174e-02
2.700157157655738160e-01	3.837942481040954590e-01	3.712528072475310137e-02
2.867416176066386324e-01	3.580715656280517578e-01	3.538869847662231422e-02
3.034675194477033933e-01	3.366476893424987793e-01	3.386364156606833098e-02
3.201934212887681541e-01	3.197021782398223877e-01	3.275264632430523876e-02
3.369193231298329705e-01	3.068807423114776611e-01	3.111608346594848737e-02
3.536452249708977869e-01	2.973523736000061035e-01	2.886592090547809852e-02
3.703711268119626032e-01	2.893885970115661621e-01	2.739683957656063179e-02
3.870970286530273641e-01	2.827658057212829590e-01	2.622637909575083193e-02
4.038229304940921249e-01	2.761442363262176514e-01	2.510261766133882119e-02
4.205488323351569413e-01	2.713938057422637939e-01	2.419754607973107277e-02
4.372747341762217577e-01	2.668948173522949219e-01	2.345702730447036741e-02
4.540006360172865185e-01	2.615623772144317627e-01	2.272165510722638435e-02
4.707265378583513349e-01	2.575685977935791016e-01	2.209957266547385793e-02
4.874524396994160957e-01	2.524618804454803467e-01	2.146763510871565334e-02
5.041783415404809121e-01	2.478635013103485107e-01	2.082087127171404484e-02
5.209042433815456175e-01	2.435338050127029419e-01	2.021871821326636648e-02
5.376301452226104338e-01	2.387603819370269775e-01	1.968331621104466370e-02
5.543560470636752502e-01	2.336523979902267456e-01	1.915419020536800535e-02
5.710819489047400666e-01	2.278114110231399536e-01	1.908993668866634449e-02
